YY,MM,DD,hh,mm_mn,WD,WSPD,GST,WVHT,DPD,APD,MWD,BAR,ATMP,WTMP,DEWP,VIS,TIDE_ft
1997,1,1,0,,341,12.8,16.4,,,,,1022.0,-6.1,5.8,,,
1997,1,1,1,,345,14.0,17.2,,,,,1022.3,-6.1,5.8,,,
1997,1,1,2,,343,14.7,18.9,,,,,1023.4,-7.0,5.8,,,
1997,1,1,3,,353,14.6,18.0,,,,,1023.7,-6.9,5.9,,,
1997,1,1,4,,347,15.2,18.8,,,,,1023.8,-7.4,5.9,,,
1997,1,1,5,,345,13.2,16.4,,,,,1023.6,-7.0,5.9,,,
1997,1,1,6,,337,14.0,17.8,,,,,1023.9,999.0,5.8,,,
1997,1,1,7,,336,14.9,18.9,,,,,1024.2,999.0,5.9,,,
1997,1,1,8,,339,14.1,17.5,,,,,1024.2,999.0,5.9,,,
1997,1,1,9,,344,14.1,16.7,,,,,1024.2,999.0,5.9,,,
1997,1,1,10,,346,13.4,15.8,,,,,1024.6,999.0,5.8,,,
1997,1,1,11,,338,14.1,18.1,,,,,1024.9,999.0,5.8,,,
1997,1,1,12,,344,13.1,17.1,,,,,1025.8,999.0,5.8,,,
1997,1,1,13,,342,12.1,15.1,,,,,1026.6,999.0,5.8,,,
1997,1,1,14,,329,11.2,15.5,,,,,1026.9,999.0,5.8,,,
1997,1,1,15,,329,10.7,14.4,,,,,1026.8,999.0,5.8,,,
1997,1,1,16,,329,9.0,13.3,,,,,1026.7,999.0,5.8,,,
1997,1,1,17,,322,7.4,9.8,,,,,1025.2,999.0,5.8,,,
1997,1,1,18,,324,7.7,9.6,,,,,1024.4,999.0,5.6,,,
1997,1,1,19,,326,7.1,9.2,,,,,1023.6,999.0,5.6,,,
1997,1,1,20,,319,8.4,9.9,,,,,1023.5,999.0,5.6,,,
1997,1,1,21,,307,6.8,9.1,,,,,1023.5,999.0,5.6,,,
1997,1,1,22,,269,5.1,7.2,,,,,1023.4,999.0,5.6,,,
1997,1,1,23,,253,5.4,7.5,,,,,1023.4,999.0,5.6,,,
1997,1,2,0,,262,6.8,10.0,,,,,1022.7,999.0,5.6,,,
1997,1,2,1,,256,7.6,10.3,,,,,1022.5,999.0,5.6,,,
1997,1,2,2,,238,7.0,8.8,,,,,1021.1,999.0,5.6,,,
1997,1,2,3,,234,8.4,10.1,,,,,1019.6,999.0,5.6,,,
1997,1,2,4,,235,7.1,9.5,,,,,1018.9,999.0,5.6,,,
1997,1,2,5,,228,9.0,12.0,,,,,1018.3,999.0,5.6,,,
1997,1,2,6,,214,9.5,11.5,,,,,1017.2,999.0,5.6,,,
1997,1,2,7,,213,9.1,10.9,,,,,1015.7,999.0,5.6,,,
1997,1,2,8,,207,9.9,11.9,,,,,1014.5,999.0,5.6,,,
1997,1,2,9,,202,10.0,11.8,,,,,1013.3,999.0,5.6,,,
1997,1,2,10,,198,10.7,12.7,,,,,1011.9,999.0,5.6,,,
1997,1,2,11,,212,9.6,11.5,,,,,1011.1,999.0,5.6,,,
1997,1,2,12,,206,9.5,11.4,,,,,1010.3,999.0,5.6,,,
1997,1,2,13,,213,8.3,10.3,,,,,1009.6,999.0,5.8,,,
1997,1,2,14,,227,10.1,11.9,,,,,1008.8,999.0,5.6,,,
1997,1,2,15,,230,9.6,12.2,,,,,1007.9,999.0,5.8,,,
1997,1,2,16,,234,8.7,10.7,,,,,1007.0,999.0,5.8,,,
1997,1,2,17,,246,8.2,9.8,,,,,1005.6,999.0,5.8,,,
1997,1,2,18,,261,7.5,9.7,,,,,1004.9,999.0,5.8,,,
1997,1,2,19,,278,5.9,7.1,,,,,1004.8,999.0,5.8,,,
1997,1,2,20,,292,5.8,7.1,,,,,1004.6,999.0,5.8,,,
1997,1,2,21,,305,6.2,7.6,,,,,1004.8,999.0,5.8,,,
1997,1,2,22,,321,6.2,7.6,,,,,1005.4,999.0,5.8,,,
1997,1,2,23,,329,5.7,6.9,,,,,1005.6,999.0,5.8,,,
1997,1,3,0,,347,5.0,6.3,,,,,1005.6,999.0,5.8,,,
1997,1,3,1,,354,4.0,4.9,,,,,1005.9,999.0,5.8,,,
1997,1,3,2,,353,4.8,6.3,,,,,1006.3,999.0,5.8,,,
1997,1,3,3,,25,6.0,7.4,,,,,1006.3,999.0,5.8,,,
1997,1,3,4,,43,2.7,3.8,,,,,1006.4,999.0,5.8,,,
1997,1,3,5,,38,3.2,4.4,,,,,1005.7,999.0,5.8,,,
1997,1,3,6,,61,3.9,5.1,,,,,1005.5,999.0,5.8,,,
1997,1,3,7,,89,4.1,5.5,,,,,1005.1,999.0,5.8,,,
1997,1,3,8,,101,2.9,4.4,,,,,1005.4,999.0,5.8,,,
1997,1,3,9,,120,4.3,5.4,,,,,1004.1,999.0,5.8,,,
1997,1,3,10,,146,4.3,5.4,,,,,1003.3,999.0,5.8,,,
1997,1,3,11,,165,5.0,5.8,,,,,1002.9,999.0,5.9,,,
1997,1,3,12,,168,5.2,6.9,,,,,1002.3,999.0,5.9,,,
1997,1,3,13,,172,3.7,5.0,,,,,1002.8,999.0,5.9,,,
1997,1,3,14,,143,4.2,5.1,,,,,1002.3,999.0,5.9,,,
1997,1,3,15,,,,,,,,,,999.0,,,,
1997,1,3,16,,,,,,,,,,999.0,,,,
1997,1,3,17,,96,5.8,6.6,,,,,1000.0,999.0,5.8,,,
1997,1,3,18,,59,6.0,6.9,,,,,1000.0,999.0,5.8,,,
1997,1,3,19,,52,6.2,7.1,,,,,1000.6,999.0,5.8,,,
1997,1,3,20,,60,7.5,9.0,,,,,1001.0,999.0,5.9,,,
1997,1,3,21,,69,6.5,7.8,,,,,1002.0,999.0,5.9,,,
1997,1,3,22,,40,5.0,5.9,,,,,1003.6,999.0,5.9,,,
1997,1,3,23,,47,6.1,7.2,,,,,1003.9,999.0,5.9,,,
1997,1,4,0,,50,4.7,5.8,,,,,1005.5,999.0,5.9,,,
1997,1,4,1,,53,4.5,5.3,,,,,1006.4,999.0,5.9,,,
1997,1,4,2,,49,3.3,4.1,,,,,1007.4,999.0,5.9,,,
1997,1,4,3,,56,3.1,4.1,,,,,1007.9,999.0,5.8,,,
1997,1,4,4,,54,3.0,3.9,,,,,1008.7,999.0,5.8,,,
1997,1,4,5,,55,2.9,4.0,,,,,1009.1,999.0,5.8,,,
1997,1,4,6,,32,2.4,3.4,,,,,1009.5,999.0,5.8,,,
1997,1,4,7,,23,1.3,2.4,,,,,1010.3,999.0,5.8,,,
1997,1,4,8,,35,2.4,3.3,,,,,1011.0,999.0,5.6,,,
1997,1,4,9,,73,0.8,1.8,,,,,1011.7,999.0,5.8,,,
1997,1,4,10,,11,0.9,1.5,,,,,1011.8,999.0,5.8,,,
1997,1,4,11,,14,0.4,1.4,,,,,1012.7,999.0,5.8,,,
1997,1,4,12,,301,1.0,1.5,,,,,1013.5,999.0,5.8,,,
1997,1,4,13,,356,4.3,5.1,,,,,1014.2,999.0,5.8,,,
1997,1,4,14,,360,4.5,5.6,,,,,1014.5,999.0,5.8,,,
1997,1,4,15,,356,3.8,4.4,,,,,1015.7,999.0,5.8,,,
1997,1,4,16,,330,1.8,2.6,,,,,1016.3,999.0,5.6,,,
1997,1,4,17,,320,3.2,3.9,,,,,1015.8,999.0,5.6,,,
1997,1,4,18,,345,3.8,4.6,,,,,1015.8,999.0,5.6,,,
1997,1,4,19,,352,4.8,5.8,,,,,1015.8,999.0,5.8,,,
1997,1,4,20,,13,3.7,4.9,,,,,1015.7,999.0,5.8,,,
1997,1,4,21,,15,3.1,3.8,,,,,1016.5,999.0,5.8,,,
1997,1,4,22,,42,3.1,4.3,,,,,1016.5,999.0,5.8,,,
1997,1,4,23,,65,2.5,3.5,,,,,1017.2,999.0,5.8,,,
1997,1,5,0,,72,3.0,3.9,,,,,1017.3,999.0,5.6,,,
1997,1,5,1,,86,3.0,4.0,,,,,1017.5,999.0,5.8,,,
1997,1,5,2,,101,2.9,4.1,,,,,1017.3,999.0,5.8,,,
1997,1,5,3,,97,4.2,5.1,,,,,1017.2,999.0,5.8,,,
1997,1,5,4,,109,4.8,5.8,,,,,1016.6,999.0,5.8,,,
1997,1,5,5,,116,5.6,6.7,,,,,1015.8,999.0,5.6,,,
1997,1,5,6,,123,5.7,6.8,,,,,1015.6,999.0,5.6,,,
1997,1,5,7,,119,6.5,7.5,,,,,1015.0,999.0,5.8,,,
1997,1,5,8,,112,7.1,8.3,,,,,1014.2,999.0,5.8,,,
1997,1,5,9,,120,9.1,10.7,,,,,1012.7,999.0,5.8,,,
1997,1,5,10,,118,9.2,10.8,,,,,1011.9,999.0,5.6,,,
1997,1,5,11,,127,9.4,10.8,,,,,1011.4,999.0,5.8,,,
1997,1,5,12,,117,7.5,9.6,,,,,1010.7,999.0,5.8,,,
1997,1,5,13,,121,6.5,7.6,,,,,1010.2,999.0,5.6,,,
