#YY_#yr,MM_mo,DD_dy,hh_hr,mm_mn,WDIR_degT,WSPD_m/s,GST_m/s,WVHT_m,DPD_sec,APD_sec,MWD_degT,PRES_hPa,ATMP_degC,WTMP_degC,DEWP_degC,VIS_nmi,TIDE_ft
2007,1,3,9,0,237,1.9,3.7,0.0,0.0,0.0,,1024.2,-0.1,5.2,-5.1,,
2007,1,3,10,0,211,2.4,3.6,0.0,0.0,0.0,,1024.3,0.0,4.8,-5.5,,
2007,1,3,11,0,208,1.4,2.1,0.0,0.0,0.0,,1025.0,-0.3,4.7,-5.6,,
2007,1,3,12,0,204,2.3,3.0,0.0,0.0,0.0,,1024.3,-0.4,5.1,-5.5,,
2007,1,3,13,0,228,3.2,4.6,0.0,0.0,0.0,,1025.0,-0.1,5.5,-5.0,,
2007,1,3,14,0,224,3.7,5.7,0.0,0.0,0.0,,1024.3,0.9,5.2,-4.5,,
2007,1,3,15,0,232,5.3,7.6,0.0,0.0,0.0,,1023.7,2.4,4.7,-4.0,,
2007,1,3,16,0,225,3.6,5.2,0.0,0.0,0.0,,1022.4,3.5,4.7,-3.6,,
2007,1,3,17,0,215,4.7,7.1,0.0,0.0,0.0,,1021.1,5.3,4.7,-4.7,,
2007,1,3,18,0,221,4.6,7.2,0.0,0.0,0.0,,1019.6,6.7,4.8,-4.7,,
2007,1,3,19,0,218,4.8,6.7,0.0,0.0,0.0,,1018.8,7.9,4.8,999.0,,
2007,1,3,20,0,164,1.7,2.8,0.0,0.0,0.0,,1018.6,8.4,5.1,-2.7,,
2007,1,3,21,0,200,2.6,3.5,0.0,0.0,0.0,,1018.1,8.3,5.5,999.0,,
2007,1,3,22,0,211,2.3,3.7,0.0,0.0,0.0,,1017.4,7.4,5.7,-4.3,,
2007,1,3,23,0,229,0.2,0.9,0.0,0.0,0.0,,1017.9,6.7,5.8,-7.5,,
2007,1,4,0,0,174,0.2,0.9,0.0,0.0,0.0,,1017.9,6.3,5.3,-6.6,,
2007,1,4,1,0,217,2.6,3.8,0.0,0.0,0.0,,1017.9,7.0,5.5,-5.1,,
2007,1,4,2,0,220,4.4,6.0,0.0,0.0,0.0,,1017.2,6.7,5.6,-5.1,,
2007,1,4,3,0,230,5.1,7.1,0.0,0.0,0.0,,1016.8,6.4,5.5,-4.1,,
2007,1,4,4,0,235,4.9,6.8,0.0,0.0,0.0,,1016.9,6.0,5.5,-3.0,,
2007,1,4,5,0,248,6.0,8.4,0.0,0.0,0.0,,1016.5,6.2,5.2,-3.1,,
2007,1,4,6,0,261,2.9,4.1,0.0,0.0,0.0,,1016.5,5.8,5.2,-1.7,,
2007,1,4,7,0,259,2.2,3.0,0.0,0.0,0.0,,1016.5,5.6,5.0,-2.6,,
2007,1,4,8,0,254,2.4,3.5,0.0,0.0,0.0,,1017.2,5.2,4.9,-3.5,,
2007,1,4,9,0,234,2.1,3.3,0.0,0.0,0.0,,1017.2,4.9,5.1,-2.6,,
2007,1,4,10,0,217,0.4,1.0,0.0,0.0,0.0,,1017.9,4.4,5.5,-2.8,,
2007,1,4,11,0,251,0.1,0.5,0.0,0.0,0.0,,1017.9,3.9,5.5,-3.5,,
2007,1,4,12,0,152,0.3,0.8,,,,,1018.1,3.0,5.5,-4.0,,
2007,1,4,13,0,230,2.2,3.7,0.0,0.0,0.0,,1018.7,3.5,5.5,-3.1,,
2007,1,4,14,0,235,2.3,3.2,0.0,0.0,0.0,,1018.8,4.9,5.6,-2.7,,
2007,1,4,15,0,235,3.5,4.8,0.0,0.0,0.0,,1018.8,6.3,5.2,-4.0,,
2007,1,4,16,0,218,3.8,5.6,0.0,0.0,0.0,,1017.9,7.4,5.5,-4.7,,
2007,1,4,17,0,222,3.4,4.6,0.0,0.0,0.0,,1016.6,7.0,5.4,-3.7,,
