YYYY,MM,DD,hh,mm,WD,WSPD,GST,WVHT,DPD,APD,MWD,BAR,ATMP,WTMP,DEWP,VIS,TIDE
2005,1,1,0,0,190,12.8,15.5,2.7,6.67,5.33,,1022.2,7.9,6.3,6.3,,
2005,1,1,1,0,192,12.5,15.4,2.7,6.67,5.4,,1021.2,7.9,6.3,6.8,,
2005,1,1,2,0,196,12.9,16.9,2.88,7.14,5.44,,1020.7,8.2,6.3,7.7,,
2005,1,1,3,0,201,12.5,15.1,2.96,6.67,5.52,,1020.1,8.0,6.3,7.8,,
2005,1,1,4,0,209,11.8,14.5,2.76,7.14,5.32,,1019.6,7.8,6.3,7.7,,
2005,1,1,5,0,211,11.6,14.4,2.67,6.67,5.27,,1018.4,8.1,6.3,7.3,,
2005,1,1,6,0,218,11.5,13.9,2.57,6.67,5.21,,1017.3,7.9,6.3,6.3,,
2005,1,1,7,0,221,11.5,14.2,2.2,6.67,4.88,,1016.5,7.9,6.3,5.9,,
2005,1,1,8,0,218,10.7,13.3,2.21,5.88,4.92,,1016.4,8.2,6.3,5.9,,
2005,1,1,9,0,218,10.7,12.9,2.16,6.25,4.98,,1015.9,8.0,6.3,5.7,,
2005,1,1,10,0,218,10.7,13.0,2.32,6.25,5.05,,1015.6,7.9,6.3,5.8,,
2005,1,1,11,0,211,10.7,12.9,2.34,6.25,5.04,,1014.9,7.9,6.3,6.1,,
2005,1,1,12,0,218,11.3,13.2,2.37,6.25,5.05,,1015.4,7.9,6.3,6.1,,
2005,1,1,13,0,223,10.6,12.6,2.24,5.88,4.9,,1015.9,7.9,6.3,5.6,,
2005,1,1,14,0,247,9.9,12.1,2.16,6.25,5.01,,1017.1,7.9,6.3,4.6,,
2005,1,1,15,0,250,7.5,9.3,2.17,6.25,5.04,,1017.8,7.5,6.3,4.0,,
2005,1,1,16,0,269,8.7,10.3,2.06,6.25,4.96,,1018.0,7.4,6.3,3.0,,
2005,1,1,17,0,306,9.3,11.5,2.04,6.25,5.05,,1018.3,7.5,6.3,0.8,,
2005,1,1,18,0,316,11.1,14.5,1.93,6.25,4.92,,1018.8,7.3,6.3,-0.7,,
2005,1,1,19,0,296,8.2,9.5,1.78,5.88,4.77,,1020.4,7.1,6.3,-0.5,,
