#YY_#yr,MM_mo,DD_dy,hh_hr,mm_mn,WDIR_degT,WSPD_m/s,GST_m/s,WVHT_m,DPD_sec,APD_sec,MWD_deg,PRES_hPa,ATMP_degC,WTMP_degC,DEWP_degC,VIS_nmi,TIDE_ft
2009,12,31,23,50,66,1.8,2.5,0.92,4.17,4.07,,9999.0,2.0,7.4,999.0,,
2010,1,1,0,50,78,2.5,3.2,0.9,4.35,4.21,,9999.0,2.5,7.4,999.0,,
2010,1,1,1,50,88,2.8,3.9,0.82,4.76,4.23,,9999.0,3.2,7.4,999.0,,
2010,1,1,2,50,105,1.6,2.3,0.94,4.76,4.45,,9999.0,4.0,7.4,999.0,,
2010,1,1,3,50,146,1.6,5.0,0.99,4.76,4.52,,9999.0,4.7,7.4,999.0,,
2010,1,1,4,50,194,4.9,6.4,1.12,4.76,4.2,,9999.0,5.6,7.4,999.0,,
2010,1,1,5,50,295,2.0,2.9,1.09,5.0,4.36,,9999.0,4.8,7.4,999.0,,
2010,1,1,6,50,281,2.7,3.5,1.21,5.0,4.48,,9999.0,4.6,7.4,999.0,,
2010,1,1,7,50,273,2.2,3.0,1.34,5.56,4.76,,9999.0,4.7,7.4,999.0,,
2010,1,1,8,50,167,1.2,5.1,1.57,6.25,4.79,,9999.0,5.0,7.4,999.0,,
2010,1,1,9,50,196,1.9,4.1,1.69,6.25,4.79,,9999.0,5.2,7.4,999.0,,
2010,1,1,10,50,292,4.4,5.4,2.01,6.67,5.14,,9999.0,4.3,7.4,999.0,,
2010,1,1,11,50,311,4.9,6.0,1.96,6.67,5.37,,9999.0,4.2,7.4,999.0,,
2010,1,1,12,50,313,4.8,5.8,2.01,7.14,5.47,,9999.0,4.1,7.4,999.0,,
2010,1,1,13,50,96,2.5,4.1,2.25,7.14,5.63,,9999.0,4.8,7.4,999.0,,
2010,1,1,14,50,97,7.1,8.5,2.33,7.69,5.85,,9999.0,4.5,7.4,999.0,,
2010,1,1,15,50,85,8.4,9.8,2.33,7.69,5.59,,9999.0,4.0,7.4,999.0,,
2010,1,1,16,50,78,8.7,10.4,2.47,8.33,5.67,,9999.0,3.3,7.4,999.0,,
2010,1,1,17,50,72,7.8,9.9,2.48,8.33,5.74,,9999.0,3.4,7.4,999.0,,
2010,1,1,18,50,80,7.9,10.4,2.53,8.33,5.8,,9999.0,3.2,7.4,999.0,,
2010,1,1,19,50,74,8.6,10.4,2.53,8.33,6.03,,9999.0,3.3,7.4,999.0,,
2010,1,1,20,50,78,8.7,10.3,2.59,8.33,5.92,,9999.0,2.9,7.4,999.0,,
2010,1,1,21,50,85,8.6,10.0,2.32,8.33,5.6,,9999.0,2.8,7.4,999.0,,
2010,1,1,22,50,72,8.1,9.9,2.37,7.69,5.57,,9999.0,3.2,7.4,999.0,,
2010,1,1,23,50,66,8.0,9.5,2.63,8.33,5.85,,9999.0,3.1,7.4,999.0,,
2010,1,2,0,50,56,8.7,10.8,2.29,8.33,5.78,,9999.0,2.8,7.4,999.0,,
2010,1,2,1,50,60,9.7,11.8,2.28,9.09,5.53,,9999.0,2.7,7.4,999.0,,
2010,1,2,2,50,46,9.5,11.7,2.44,7.69,5.63,,9999.0,2.5,7.4,999.0,,
2010,1,2,3,50,56,9.1,11.6,2.68,9.09,5.75,,9999.0,2.4,7.4,999.0,,
2010,1,2,4,50,37,9.7,13.3,2.4,7.14,5.25,,9999.0,2.1,7.4,999.0,,
2010,1,2,5,50,30,11.9,14.5,2.79,9.09,5.63,,9999.0,1.5,7.4,999.0,,
2010,1,2,6,50,32,11.8,13.7,2.75,9.09,5.74,,9999.0,1.5,7.4,999.0,,
2010,1,2,7,50,40,10.4,13.0,3.21,10.0,6.13,,9999.0,1.8,7.4,999.0,,
2010,1,2,8,50,22,12.3,14.8,3.07,9.09,5.95,,9999.0,1.3,7.4,999.0,,
2010,1,2,10,50,20,12.7,15.1,3.21,7.14,6.01,,9999.0,0.1,7.4,999.0,,
2010,1,2,11,50,13,13.1,16.2,3.29,7.69,5.86,,9999.0,0.1,7.4,999.0,,
2010,1,2,12,50,12,12.6,15.7,3.15,7.69,5.76,,9999.0,-0.1,7.4,999.0,,
2010,1,2,13,50,10,13.3,15.7,3.07,7.14,5.6,,9999.0,-0.2,7.4,999.0,,
