YYYY,MM,DD,hh,mm,WD,WSPD,GST,WVHT,DPD,APD,MWD,BAR,ATMP,WTMP,DEWP,VIS,TIDE
2006,1,1,0,0,23,6.3,8.1,1.28,11.11,6.29,,1012.3,-2.4,6.2,-7.2,,
2006,1,1,1,0,54,4.6,6.1,1.19,11.11,5.58,,1012.9,-2.1,6.2,-6.5,,
2006,1,1,2,0,52,5.5,7.1,0.99,10.0,5.37,,1012.1,-1.9,6.2,-6.3,,
2006,1,1,3,0,62,5.9,7.0,1.0,10.0,5.37,,1011.8,-1.6,6.0,-5.8,,
2006,1,1,4,0,55,6.2,8.0,1.05,10.0,5.43,,1011.0,-1.2,6.0,-5.7,,
2006,1,1,5,0,40,8.4,10.6,1.15,10.0,5.24,,1009.9,-0.7,6.0,-4.6,,
2006,1,1,6,0,42,8.3,9.9,1.33,10.0,4.82,,1010.2,-0.7,6.2,-4.2,,
2006,1,1,7,0,35,8.8,10.6,,,,,1010.4,-0.5,6.2,-4.0,,
2006,1,1,8,0,34,8.8,11.2,1.7,9.09,4.9,,1011.1,-1.1,6.3,-3.0,,
2006,1,1,9,0,16,8.6,11.2,1.72,4.76,4.84,,1012.1,-1.8,6.2,-3.4,,
2006,1,1,10,0,4,9.3,11.1,1.71,4.76,4.75,,1013.1,-2.1,6.2,-4.1,,
2006,1,1,11,0,360,9.1,10.5,1.7,5.0,4.8,,1013.7,-2.3,6.2,-4.0,,
2006,1,1,12,0,2,8.8,11.8,1.56,4.76,4.62,,1014.0,-1.9,6.2,-4.0,,
2006,1,1,13,0,4,8.1,10.0,1.39,4.35,4.43,,1014.5,-1.8,6.2,-3.7,,
2006,1,1,14,0,15,7.1,8.8,1.3,4.76,4.39,,1014.9,-1.4,6.2,-3.8,,
2006,1,1,15,0,15,6.3,8.3,1.31,4.55,4.32,,1015.6,-1.1,6.2,-4.2,,
2006,1,1,16,0,3,7.1,9.5,1.38,5.0,4.48,,1015.6,-0.8,6.2,-3.6,,
2006,1,1,17,0,350,5.9,7.7,1.27,5.26,4.39,,1015.6,-1.1,6.2,-3.9,,
2006,1,1,18,0,358,4.9,6.8,1.19,5.0,4.37,,1015.7,-1.0,6.2,-4.4,,
2006,1,1,19,0,352,5.2,7.3,1.1,10.0,4.59,,1016.4,-1.0,6.2,-4.7,,
2006,1,1,20,0,360,4.6,6.4,1.18,9.09,4.66,,1017.3,-1.0,6.2,-4.9,,
2006,1,1,21,0,14,4.5,6.2,1.13,10.0,4.77,,1018.7,-0.8,6.2,-4.3,,
2006,1,1,22,0,10,4.1,5.7,1.11,9.09,4.74,,1019.4,-0.8,6.2,-4.3,,
2006,1,1,23,0,19,3.2,4.7,1.04,8.33,4.92,,1019.6,-0.6,6.2,-4.1,,
2006,1,2,0,0,2,2.8,4.2,1.02,9.09,4.94,,1020.4,-0.3,6.2,-4.0,,
2006,1,2,1,0,321,2.2,3.5,0.95,10.0,4.98,,1021.0,-0.3,6.2,-4.2,,
2006,1,2,2,0,295,1.4,2.5,0.98,5.88,5.07,,1021.0,0.0,6.2,-4.5,,
2006,1,2,3,0,277,1.2,2.5,0.95,5.88,5.05,,1021.0,0.0,6.1,-3.6,,
2006,1,2,4,0,307,1.4,2.3,0.92,5.56,5.01,,1021.0,0.1,6.0,-4.3,,
2006,1,2,5,0,267,3.0,4.3,0.86,5.88,5.06,,1020.5,0.5,6.2,-3.6,,
2006,1,2,6,0,268,3.4,4.7,0.82,5.0,5.08,,1020.4,0.5,6.3,-3.4,,
2006,1,2,7,0,271,5.0,6.2,0.82,5.26,5.32,,1021.0,0.8,6.3,-3.1,,
2006,1,2,8,0,268,5.0,6.5,0.82,9.09,5.68,,1021.4,0.9,6.2,-2.8,,
2006,1,2,9,0,270,4.0,5.5,0.86,9.09,5.63,,1021.4,0.9,6.3,-2.6,,
2006,1,2,10,0,259,4.9,6.0,0.87,9.09,5.97,,1021.4,1.5,6.3,-1.9,,
2006,1,2,11,0,287,5.4,6.7,0.99,8.33,5.56,,1021.4,1.6,6.3,-1.0,,
2006,1,2,12,0,268,5.4,6.5,1.0,7.69,5.63,,1021.5,1.7,6.3,-1.1,,
2006,1,2,13,0,291,5.8,7.0,1.01,10.0,5.13,,1021.7,2.0,6.3,-1.3,,
2006,1,2,14,0,300,6.3,8.3,1.01,8.33,5.28,,1022.0,2.3,6.3,-1.0,,
