YYYY,MM,DD,hh,mm_mn,WD,WSPD,GST,WVHT,DPD,APD,MWD,BAR,ATMP,WTMP,DEWP,VIS,TIDE
2003,2,5,14,,320,4.7,5.8,0.0,0.0,0.0,,,999.0,,,,
2003,2,5,15,,326,4.6,5.7,0.0,0.0,0.0,,1018.4,999.0,,,,
2003,2,5,16,,333,5.5,7.0,,,,,1018.8,999.0,,,,
2003,2,5,17,,325,5.2,6.9,,,,,1018.8,999.0,,,,
2003,2,5,18,,306,5.5,7.5,,,,,1018.1,999.0,,,,
2003,2,5,19,,327,4.7,6.8,0.0,0.0,0.0,,1018.0,999.0,,,,
2003,2,5,20,,358,4.7,6.3,0.0,0.0,0.0,,1018.1,999.0,,,,
2003,2,5,21,,339,6.6,7.8,0.0,0.0,0.0,,1019.0,999.0,,,,
2003,2,5,22,,339,4.4,5.8,0.0,0.0,0.0,,1019.7,999.0,,,,
2003,2,5,23,,336,2.7,3.7,0.0,0.0,0.0,,1021.0,999.0,,,,
2003,2,6,0,,346,1.7,2.3,0.0,0.0,0.0,,1022.1,999.0,,,,
2003,2,6,1,,350,3.2,4.1,0.0,0.0,0.0,,1022.9,999.0,,,,
2003,2,6,2,,35,3.3,4.5,0.0,0.0,0.0,,1022.9,999.0,,,,
2003,2,6,3,,37,2.9,3.7,0.0,0.0,0.0,,1023.9,999.0,,,,
2003,2,6,4,,29,2.6,4.1,0.0,0.0,0.0,,1024.8,999.0,,,,
2003,2,6,5,,31,2.2,3.6,0.0,0.0,0.0,,1024.2,999.0,,,,
2003,2,6,6,,40,3.7,5.0,0.0,0.0,0.0,,1025.1,999.0,,,,
2003,2,6,7,,42,3.8,5.0,0.0,0.0,0.0,,1024.3,999.0,,,,
2003,2,6,8,,39,3.2,4.7,0.0,0.0,0.0,,1024.3,999.0,,,,
2003,2,6,9,,31,3.7,5.0,0.0,0.0,0.0,,1024.3,999.0,,,,
2003,2,6,10,,20,3.9,4.7,0.0,0.0,0.0,,1025.2,999.0,,,,
2003,2,6,11,,37,4.0,5.4,0.0,0.0,0.0,,1025.3,999.0,,,,
2003,2,6,12,,29,4.8,5.8,0.0,0.0,0.0,,1025.7,999.0,,,,
2003,2,6,13,,18,5.4,6.6,0.0,0.0,0.0,,1025.9,999.0,,,,
2003,2,6,14,,26,6.8,8.1,0.0,0.0,0.0,,1026.6,999.0,,,,
