#YY_#yr,MM_mo,DD_dy,hh_hr,mm_mn,WDIR_degT,WSPD_m/s,GST_m/s,WVHT_m,DPD_sec,APD_sec,MWD_degT,PRES_hPa,ATMP_degC,WTMP_degC,DEWP_degC,VIS_mi,TIDE_ft
2020,8,31,23,50,236,0.4,2.0,0.06,,11.71,,1020.7,999.0,,,,
2020,9,1,0,50,212,0.6,2.4,0.1,,13.96,,1020.9,999.0,,,,
2020,9,1,1,50,165,0.0,0.6,0.07,,11.77,,1021.1,999.0,,,,
2020,9,1,2,50,165,0.0,0.3,0.06,,10.81,,1021.1,999.0,,,,
2020,9,1,3,50,165,0.0,0.0,0.11,,14.6,,1021.6,999.0,,,,
2020,9,1,4,50,346,0.5,1.8,0.09,,13.52,,1021.3,999.0,,,,
2020,9,1,5,50,209,0.2,1.5,0.08,,13.18,,1021.0,999.0,,,,
2020,9,1,6,50,165,0.1,1.3,0.05,,10.34,,1021.5,999.0,,,,
2020,9,1,7,50,165,0.0,0.9,0.08,,12.84,,1022.0,999.0,,,,
2020,9,1,8,50,165,0.1,1.0,0.06,,11.56,,1022.6,999.0,,,,
2020,9,1,9,50,165,0.0,0.4,0.14,,15.68,,1023.3,999.0,,,,
2020,9,1,10,50,165,0.0,0.0,0.07,,12.6,,1023.4,999.0,,,,
2020,9,1,11,50,165,0.0,0.5,0.06,,10.54,,1023.2,999.0,,,,
2020,9,1,12,50,222,0.3,1.7,0.14,,16.31,,1023.5,999.0,,,,
2020,9,1,13,50,1,0.8,2.6,0.07,,12.77,,1023.6,999.0,,,,
2020,9,1,14,50,158,0.7,3.5,0.12,,15.6,,1023.9,999.0,,,,
2020,9,1,15,50,300,1.4,3.7,0.06,,11.39,,1023.8,999.0,,,,
2020,9,1,16,50,190,1.6,4.1,0.06,,11.72,,1023.7,999.0,,,,
2020,9,1,17,50,211,1.3,4.0,0.13,,14.94,,1023.4,999.0,,,,
2020,9,1,18,50,10,1.6,3.7,0.06,,11.18,,1023.1,999.0,,,,
2020,9,1,19,50,359,1.1,3.6,0.06,,10.95,,1022.7,999.0,,,,
2020,9,1,20,50,79,0.9,2.6,0.08,,12.97,,1022.7,999.0,,,,
