#YY_#yr,MM_mo,DD_dy,hh_hr,mm_mn,WDIR_degT,WSPD_m/s,GST_m/s,WVHT_m,DPD_sec,APD_sec,MWD_deg,PRES_hPa,ATMP_degC,WTMP_degC,DEWP_degC,VIS_nmi,TIDE_ft
2008,1,1,0,0,277,12.3,15.2,2.58,6.25,5.34,,1012.8,4.3,6.0,-0.9,,
2008,1,1,1,0,278,12.2,14.8,2.6,6.67,5.34,,1014.5,4.0,6.0,-1.6,,
2008,1,1,2,0,293,12.4,15.6,2.64,6.25,5.52,,1015.7,3.6,6.0,-2.5,,
2008,1,1,3,0,305,9.7,11.6,2.48,7.14,5.45,,1017.1,3.1,6.0,-2.6,,
2008,1,1,4,0,308,7.9,10.0,2.27,6.67,5.32,,1018.1,2.8,6.0,-2.6,,
2008,1,1,5,0,307,6.1,7.8,2.14,6.67,5.34,,1018.9,2.4,6.2,-4.6,,
2008,1,1,6,0,310,5.2,6.5,1.9,6.25,5.36,,1018.8,2.0,6.0,-4.3,,
2008,1,1,7,0,316,5.2,6.6,1.85,6.25,5.39,,1020.0,2.0,6.0,-5.4,,
2008,1,1,8,0,307,4.0,5.2,1.79,5.88,5.3,,1020.6,1.9,5.9,-5.1,,
2008,1,1,9,0,311,2.0,3.1,1.48,10.0,5.46,,1020.7,1.7,6.0,-5.1,,
2008,1,1,10,0,246,1.2,2.1,1.34,10.0,5.51,,1021.3,1.8,6.0,-4.5,,
2008,1,1,11,0,202,2.5,3.8,1.3,10.0,5.75,,1022.0,2.1,5.9,-3.7,,
2008,1,1,12,0,165,1.2,2.2,1.4,9.09,6.2,,1021.2,2.4,5.9,-4.3,,
2008,1,1,13,0,159,1.7,3.1,1.38,9.09,6.6,,1021.2,2.7,5.9,-5.0,,
2008,1,1,14,0,148,3.9,5.5,1.31,9.09,6.68,,1020.6,3.1,6.0,-5.1,,
2008,1,1,15,0,127,4.5,5.8,1.35,10.0,6.98,,1019.9,3.2,6.0,-4.3,,
2008,1,1,16,0,135,6.5,9.2,1.07,9.09,6.28,,1018.7,3.2,5.9,-2.8,,
2008,1,1,17,0,129,8.9,10.3,1.18,9.09,5.04,,1015.9,3.5,6.0,-2.2,,
2008,1,1,18,0,131,9.3,11.3,1.38,11.11,4.98,,1014.5,3.9,6.0,-1.4,,
2008,1,1,19,0,122,10.9,12.6,1.57,4.55,4.79,,1011.7,4.0,6.0,-0.9,,
2008,1,1,20,0,113,12.9,15.6,1.86,5.26,4.81,,1008.9,3.7,6.2,0.3,,
2008,1,1,21,0,113,11.3,13.9,2.11,5.88,5.07,,1008.0,4.3,6.0,1.4,,
2008,1,1,22,0,123,11.4,14.3,2.48,6.25,5.41,,1006.5,4.7,6.0,2.3,,
