#YY_#yr,MM_mo,DD_dy,hh_hr,mm_mn,WDIR_degT,WSPD_m/s,GST_m/s,WVHT_m,DPD_sec,APD_sec,MWD_degT,PRES_hPa,ATMP_degC,WTMP_degC,DEWP_degC,VIS_mi,TIDE_ft
2014,12,31,23,50,282,7.5,12.5,1.38,5.56,4.21,,1021.8,-2.2,8.4,,,
2015,1,1,0,50,284,7.9,10.3,1.24,5.26,4.32,,1021.4,-2.0,8.4,,,
2015,1,1,1,50,276,8.4,11.5,1.18,5.26,4.16,,1021.0,-1.8,8.4,,,
2015,1,1,2,50,253,5.8,,,,,,1020.6,-2.0,,,,
2015,1,1,3,50,249,9.0,12.8,0.96,5.0,3.84,,1019.9,-1.7,8.4,,,
2015,1,1,4,50,261,9.0,12.3,1.1,4.76,3.8,,1018.9,-1.4,8.3,,,
2015,1,1,5,50,247,9.2,12.1,1.25,4.76,4.04,,1018.1,-1.8,8.3,,,
2015,1,1,6,50,244,8.2,12.3,1.23,5.0,4.11,,1016.8,-1.2,8.3,,,
2015,1,1,7,50,236,10.1,13.4,1.26,5.0,4.13,,1015.8,-1.7,8.3,,,
2015,1,1,8,50,251,8.3,11.0,1.27,5.0,4.06,,1015.1,-2.1,8.4,,,
2015,1,1,9,50,250,10.9,14.0,1.45,5.26,4.26,,1014.2,-1.2,8.4,,,
2015,1,1,10,50,267,10.4,12.7,1.74,5.56,4.49,,1014.0,-1.1,8.4,,,
2015,1,1,11,50,268,12.2,16.0,1.89,5.56,4.66,,1014.2,-0.8,8.4,,,
2015,1,1,12,50,273,12.3,15.2,2.04,5.56,4.82,,1014.8,-1.1,8.4,,,
2015,1,1,13,50,277,11.0,13.6,,,,,1015.2,-1.2,8.4,,,
2015,1,1,14,50,261,12.2,15.7,2.13,6.25,4.99,,1015.7,-0.9,8.4,,,
2015,1,1,15,50,265,11.0,14.0,2.11,6.67,4.97,,1014.3,-0.6,8.4,,,
2015,1,1,16,50,258,10.2,12.7,2.12,5.88,5.04,,1013.4,-0.8,8.4,,,
2015,1,1,17,50,253,11.3,14.3,2.0,7.14,4.93,,1013.5,-0.3,8.4,,,
2015,1,1,18,50,252,10.3,12.6,,,,,1013.3,-0.2,8.4,,,
2015,1,1,19,50,241,10.9,14.3,1.85,7.14,4.86,,1012.9,0.3,8.4,,,
2015,1,1,20,50,228,10.1,13.4,1.7,6.67,4.61,,1012.2,0.8,8.3,,,
2015,1,1,21,50,227,9.7,13.0,1.99,6.67,4.97,,1011.8,1.3,8.4,,,
2015,1,1,22,50,217,9.4,12.4,1.81,6.67,4.93,,1011.5,1.6,8.4,,,
2015,1,1,23,50,221,12.0,14.9,,,,,1010.8,2.4,8.4,,,
2015,1,2,0,50,242,13.8,17.6,2.07,5.88,4.74,,1011.2,2.4,8.4,,,
2015,1,2,1,50,257,13.3,16.5,2.43,6.67,5.02,,1011.1,2.5,8.4,,,
2015,1,2,2,50,256,13.6,16.9,,,,,1011.1,3.2,8.4,,,
2015,1,2,3,50,255,13.4,16.2,2.96,6.67,5.55,,1010.8,4.0,8.3,,,
2015,1,2,4,50,259,13.8,17.4,3.0,7.69,5.63,,1010.8,4.5,8.4,,,
2015,1,2,5,50,274,13.8,18.6,3.14,7.69,5.91,,1011.0,4.2,8.3,,,
2015,1,2,6,50,266,13.3,16.6,3.01,8.33,5.65,,1011.5,4.0,8.4,,,
2015,1,2,7,50,266,13.9,17.3,3.0,7.69,5.91,,1011.2,3.8,8.4,,,
2015,1,2,8,50,264,12.0,14.6,2.61,7.69,5.57,,1011.4,3.7,8.4,,,
2015,1,2,9,50,264,13.1,16.2,2.46,7.14,5.34,,1011.6,3.7,8.4,,,
2015,1,2,10,50,261,11.8,14.6,2.44,6.67,5.21,,1012.2,3.7,8.4,,,
2015,1,2,11,50,266,11.9,15.2,2.17,6.67,5.13,,1012.8,4.0,8.3,,,
2015,1,2,12,50,263,13.4,16.7,2.35,7.14,5.27,,1013.9,3.9,8.3,,,
2015,1,2,13,50,263,12.7,16.2,,,,,1014.9,3.8,8.3,,,
2015,1,2,14,50,260,11.8,14.3,2.38,7.14,5.27,,1015.1,3.7,8.4,,,
2015,1,2,15,50,264,12.8,15.8,2.29,7.14,5.26,,1015.0,3.8,8.4,,,
