#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2020 08 31 23 50 236  0.4  2.0  0.06 99.00 11.71 999 1020.7 999.0 999.0 999.0 99.0 99.00
2020 09 01 00 50 212  0.6  2.4  0.10 99.00 13.96 999 1020.9 999.0 999.0 999.0 99.0 99.00
2020 09 01 01 50 165  0.0  0.6  0.07 99.00 11.77 999 1021.1 999.0 999.0 999.0 99.0 99.00
2020 09 01 02 50 165  0.0  0.3  0.06 99.00 10.81 999 1021.1 999.0 999.0 999.0 99.0 99.00
2020 09 01 03 50 165  0.0  0.0  0.11 99.00 14.60 999 1021.6 999.0 999.0 999.0 99.0 99.00
2020 09 01 04 50 346  0.5  1.8  0.09 99.00 13.52 999 1021.3 999.0 999.0 999.0 99.0 99.00
2020 09 01 05 50 209  0.2  1.5  0.08 99.00 13.18 999 1021.0 999.0 999.0 999.0 99.0 99.00
2020 09 01 06 50 165  0.1  1.3  0.05 99.00 10.34 999 1021.5 999.0 999.0 999.0 99.0 99.00
2020 09 01 07 50 165  0.0  0.9  0.08 99.00 12.84 999 1022.0 999.0 999.0 999.0 99.0 99.00
2020 09 01 08 50 165  0.1  1.0  0.06 99.00 11.56 999 1022.6 999.0 999.0 999.0 99.0 99.00
2020 09 01 09 50 165  0.0  0.4  0.14 99.00 15.68 999 1023.3 999.0 999.0 999.0 99.0 99.00
2020 09 01 10 50 165  0.0  0.0  0.07 99.00 12.60 999 1023.4 999.0 999.0 999.0 99.0 99.00
2020 09 01 11 50 165  0.0  0.5  0.06 99.00 10.54 999 1023.2 999.0 999.0 999.0 99.0 99.00
2020 09 01 12 50 222  0.3  1.7  0.14 99.00 16.31 999 1023.5 999.0 999.0 999.0 99.0 99.00
2020 09 01 13 50   1  0.8  2.6  0.07 99.00 12.77 999 1023.6 999.0 999.0 999.0 99.0 99.00
2020 09 01 14 50 158  0.7  3.5  0.12 99.00 15.60 999 1023.9 999.0 999.0 999.0 99.0 99.00
2020 09 01 15 50 300  1.4  3.7  0.06 99.00 11.39 999 1023.8 999.0 999.0 999.0 99.0 99.00
2020 09 01 16 50 190  1.6  4.1  0.06 99.00 11.72 999 1023.7 999.0 999.0 999.0 99.0 99.00
2020 09 01 17 50 211  1.3  4.0  0.13 99.00 14.94 999 1023.4 999.0 999.0 999.0 99.0 99.00
