YY,MM,DD,hh,mm_mn,WD,WSPD,GST,WVHT,DPD,APD,MWD,BAR,ATMP,WTMP,DEWP,VIS,TIDE_ft
1985,1,1,0,,109,6.7,8.4,1.2,4.0,3.7,,1031.1,4.7,7.9,999.0,,
1985,1,1,1,,108,7.0,8.9,1.1,4.3,3.7,,1030.0,5.2,7.9,999.0,,
1985,1,1,2,,117,6.5,8.7,1.1,4.5,3.9,,1030.3,5.7,7.9,999.0,,
1985,1,1,3,,124,6.9,9.1,1.2,4.5,3.9,,1029.7,5.7,7.9,999.0,,
1985,1,1,4,,124,6.0,7.6,1.4,5.0,4.1,,1029.8,5.5,7.9,999.0,,
1985,1,1,5,,98,6.2,8.4,1.2,4.8,3.9,,1029.0,5.1,7.9,999.0,,
1985,1,1,6,,93,7.3,9.6,1.4,4.8,4.1,,1027.9,5.1,7.8,999.0,,
1985,1,1,7,,76,7.7,10.4,1.6,5.3,4.3,,1027.6,5.1,7.8,999.0,,
1985,1,1,8,,73,8.0,11.0,1.8,5.6,4.4,,1026.5,5.5,7.9,999.0,,
1985,1,1,9,,66,8.3,11.4,1.8,5.6,4.4,,1026.0,5.1,7.9,999.0,,
1985,1,1,11,,73,9.1,12.5,2.0,5.9,4.6,,1025.3,5.3,7.9,999.0,,
1985,1,1,12,,64,9.2,13.2,2.2,6.7,4.7,,1026.0,5.1,7.9,999.0,,
1985,1,1,13,,62,9.4,13.0,2.4,6.7,5.0,,1026.3,4.9,7.9,999.0,,
1985,1,1,14,,70,10.1,14.4,2.5,7.1,5.1,,1026.0,4.9,8.0,999.0,,
1985,1,1,15,,77,9.9,14.8,2.6,7.1,5.2,,1025.7,4.9,8.1,999.0,,
1985,1,1,16,,74,9.7,13.5,3.0,7.7,5.6,,1024.9,4.7,8.1,999.0,,
1985,1,1,17,,84,9.0,12.6,3.1,7.7,5.7,,1024.9,4.6,8.1,999.0,,
1985,1,1,19,,90,9.6,13.6,3.2,8.3,5.9,,1023.6,4.6,8.1,999.0,,
1985,1,1,20,,98,9.7,13.8,3.5,8.3,6.2,,1023.2,4.7,8.1,999.0,,
1985,1,1,21,,109,9.9,14.3,3.7,8.3,6.3,,1022.7,5.1,8.1,999.0,,
1985,1,1,22,,119,9.4,13.3,3.6,9.1,6.4,,1022.0,5.5,8.1,999.0,,
1985,1,1,23,,120,8.9,12.8,3.9,10.0,6.5,,1021.8,6.0,8.1,999.0,,
1985,1,2,0,,121,7.1,9.9,3.6,9.1,6.3,,1022.2,6.8,8.1,999.0,,
1985,1,2,1,,124,6.1,7.8,4.1,9.1,6.9,,1020.7,7.6,8.1,999.0,,
1985,1,2,2,,129,5.3,6.9,4.2,10.0,7.3,,1019.9,8.2,8.1,999.0,,
1985,1,2,3,,160,4.6,6.2,3.9,10.0,7.2,,1019.0,8.6,8.1,999.0,,
1985,1,2,4,,177,6.8,9.1,3.9,10.0,7.2,,1017.8,9.1,8.0,999.0,,
1985,1,2,5,,194,7.1,8.9,3.7,9.1,6.9,,1017.8,9.8,8.0,999.0,,
1985,1,2,6,,204,6.4,9.1,3.3,9.1,6.4,,1017.7,9.8,8.0,999.0,,
1985,1,2,7,,207,6.0,8.1,3.1,10.0,6.7,,1017.1,10.0,8.0,999.0,,
1985,1,2,8,,211,7.3,9.5,3.0,10.0,6.2,,1016.5,10.0,8.0,999.0,,
1985,1,2,9,,212,7.3,9.5,2.8,10.0,6.0,,1016.1,9.8,8.0,999.0,,
1985,1,2,10,,244,5.1,6.6,3.2,10.0,6.9,,1017.0,9.1,7.9,999.0,,
1985,1,2,11,,253,3.5,4.8,2.9,10.0,6.6,,1017.8,8.3,7.9,999.0,,
1985,1,2,12,,267,4.0,5.2,2.9,9.1,6.9,,1018.4,7.3,7.9,999.0,,
1985,1,2,13,,284,3.1,4.4,2.7,10.0,6.7,,1019.3,6.9,7.9,999.0,,
1985,1,2,14,,300,3.3,4.6,2.7,10.0,6.7,,1019.7,6.3,7.9,999.0,,
1985,1,2,15,,304,3.7,5.1,2.7,10.0,6.8,,1019.9,6.1,8.0,999.0,,
1985,1,2,16,,309,3.5,4.7,2.4,11.1,6.7,,1019.5,6.3,8.0,999.0,,
1985,1,2,17,,329,3.4,4.8,2.5,10.0,6.6,,1019.3,5.9,8.1,999.0,,
1985,1,2,18,,321,3.9,5.4,2.3,11.1,6.3,,1019.7,5.8,8.1,999.0,,
1985,1,2,19,,320,4.8,6.4,2.3,10.0,6.2,,1020.2,5.8,8.1,999.0,,
1985,1,2,20,,345,3.3,5.0,2.2,10.0,6.2,,1020.8,5.3,8.1,999.0,,
1985,1,2,21,,48,2.0,2.8,1.8,10.0,5.7,,1020.0,5.7,8.1,999.0,,
1985,1,2,22,,31,3.0,4.4,2.0,10.0,6.4,,1019.7,5.7,8.1,999.0,,
1985,1,2,23,,31,2.5,3.5,1.9,9.1,6.2,,1019.6,5.7,8.1,999.0,,
1985,1,3,0,,16,1.8,2.6,2.0,9.1,6.5,,1020.5,5.7,8.1,999.0,,
1985,1,3,1,,356,4.4,5.9,2.0,9.1,6.5,,1020.6,5.7,8.1,999.0,,
1985,1,3,2,,346,5.1,7.1,1.9,9.1,6.0,,1020.8,5.3,8.1,999.0,,
1985,1,3,3,,339,7.7,10.1,1.9,9.1,5.3,,1021.0,4.8,8.1,999.0,,
1985,1,3,4,,338,7.3,9.8,1.9,9.1,4.9,,1021.3,4.2,8.1,999.0,,
1985,1,3,5,,329,7.7,10.8,2.0,9.1,4.9,,1021.9,3.8,8.1,999.0,,
1985,1,3,6,,330,8.0,10.6,2.0,9.1,4.8,,1022.4,3.4,8.1,999.0,,
1985,1,3,7,,329,9.4,12.8,2.1,5.0,4.8,,1023.6,2.9,8.1,999.0,,
1985,1,3,8,,325,9.9,13.0,2.2,5.6,4.8,,1024.2,2.7,8.1,999.0,,
1985,1,3,9,,328,10.3,13.8,2.2,6.3,4.9,,1024.5,2.0,8.1,999.0,,
1985,1,3,10,,330,9.8,13.2,2.6,6.7,5.2,,1024.9,1.5,8.1,999.0,,
1985,1,3,11,,332,9.6,13.4,2.7,7.1,5.4,,1025.8,0.8,8.0,999.0,,
1985,1,3,12,,336,8.5,11.8,2.3,7.7,5.1,,1026.8,-0.3,8.0,999.0,,
1985,1,3,13,,338,7.9,12.1,2.3,7.1,5.2,,1027.3,-0.5,7.9,999.0,,
1985,1,3,14,,350,8.1,11.4,2.3,7.7,5.0,,1027.6,-0.8,7.8,999.0,,
1985,1,3,15,,346,8.3,11.3,2.5,6.7,5.2,,1027.7,-1.3,7.8,999.0,,
1985,1,3,16,,352,6.6,9.3,2.3,6.7,5.0,,1027.5,-1.2,7.8,999.0,,
1985,1,3,17,,336,6.0,9.3,2.0,6.7,4.8,,1027.1,-1.2,7.8,999.0,,
1985,1,3,18,,331,6.2,9.2,1.8,6.3,4.7,,1026.7,-1.4,7.7,999.0,,
1985,1,3,19,,341,5.7,8.7,1.6,5.9,4.5,,1026.3,-1.6,7.7,999.0,,
1985,1,3,21,,346,5.1,7.6,1.5,5.9,4.5,,1026.0,-1.3,7.7,999.0,,
1985,1,3,22,,329,4.3,8.0,1.4,5.6,4.5,,1026.0,-1.0,7.6,999.0,,
1985,1,3,23,,326,4.7,7.3,1.3,5.6,4.4,,1025.7,-0.9,7.7,999.0,,
1985,1,4,0,,313,4.4,6.9,1.2,5.6,4.2,,1025.2,-0.7,7.7,999.0,,
1985,1,4,1,,295,3.4,6.0,1.1,5.3,4.2,,1024.5,-0.7,7.7,999.0,,
1985,1,4,2,,279,3.6,5.6,1.0,5.0,4.1,,1023.6,-0.4,7.7,999.0,,
1985,1,4,3,,298,4.8,6.8,1.0,4.5,4.0,,1023.0,0.1,7.8,999.0,,
1985,1,4,4,,294,3.6,5.6,1.0,4.3,4.1,,1022.5,0.4,7.6,999.0,,
1985,1,4,5,,306,3.1,5.3,0.9,7.7,3.9,,1021.8,0.8,7.6,999.0,,
1985,1,4,6,,301,2.4,4.0,0.9,4.0,3.9,,1020.6,0.9,7.6,999.0,,
1985,1,4,7,,303,2.3,3.8,0.8,4.2,3.9,,1020.0,0.8,7.6,999.0,,
1985,1,4,8,,340,1.1,2.3,0.8,7.7,4.0,,1018.7,0.8,7.6,999.0,,
1985,1,4,9,,6,1.8,3.8,0.7,7.7,4.2,,1017.5,0.8,7.6,999.0,,
1985,1,4,10,,59,1.1,2.2,0.6,3.8,4.2,,1016.5,0.8,7.6,999.0,,
1985,1,4,11,,133,0.3,1.5,0.5,8.3,4.4,,1016.3,0.8,7.6,999.0,,
1985,1,4,12,,96,0.7,2.6,0.5,8.3,3.9,,1016.1,0.9,7.6,999.0,,
1985,1,4,13,,78,0.5,2.0,0.5,7.7,4.1,,1015.4,1.0,7.7,999.0,,
1985,1,4,14,,166,1.7,3.8,0.5,7.7,4.0,,1014.5,1.2,7.7,999.0,,
1985,1,4,15,,81,1.0,2.0,0.5,7.7,4.3,,1013.5,1.2,7.7,999.0,,
1985,1,4,16,,157,1.5,2.6,0.5,7.7,4.4,,1012.7,1.6,7.7,999.0,,
1985,1,4,17,,147,2.1,3.8,0.5,7.7,4.1,,1010.9,1.7,7.7,999.0,,
1985,1,4,18,,133,1.3,3.1,0.5,7.7,4.2,,1009.5,2.5,7.7,999.0,,
1985,1,4,19,,164,1.9,3.2,0.5,7.1,4.4,,1008.6,2.1,7.7,999.0,,
1985,1,4,20,,172,2.8,3.9,0.5,8.3,4.6,,1008.0,2.5,7.7,999.0,,
1985,1,4,21,,177,3.3,4.8,0.5,7.7,4.6,,1007.2,2.9,7.7,999.0,,
1985,1,4,22,,173,2.9,3.8,0.4,7.7,4.3,,1006.1,3.3,7.7,999.0,,
1985,1,4,23,,176,3.0,4.6,0.4,8.3,3.5,,1005.6,3.8,7.7,999.0,,
1985,1,5,0,,185,2.1,3.4,0.4,7.7,3.4,,1004.5,4.1,7.7,999.0,,
1985,1,5,1,,170,2.3,3.2,0.5,7.1,3.5,,1003.3,4.3,7.7,999.0,,
1985,1,5,2,,153,3.2,4.8,0.5,7.7,3.5,,1002.0,4.4,7.7,999.0,,
1985,1,5,3,,132,3.3,4.4,0.5,7.7,3.5,,1000.1,4.5,7.7,999.0,,
1985,1,5,4,,114,3.3,4.7,0.5,7.7,3.7,,999.3,4.5,7.7,999.0,,
1985,1,5,5,,70,3.5,4.4,0.5,8.3,3.8,,997.6,4.5,7.7,999.0,,
1985,1,5,6,,4,3.2,4.1,0.5,6.7,3.9,,996.9,4.5,7.7,999.0,,
1985,1,5,7,,0,5.6,6.9,0.6,4.8,3.8,,995.7,4.7,7.7,999.0,,
1985,1,5,8,,358,6.9,9.3,0.7,2.5,3.3,,994.1,4.0,7.7,999.0,,
1985,1,5,9,,2,8.5,11.4,1.0,3.2,3.3,,991.8,3.2,7.7,999.0,,
1985,1,5,10,,8,8.2,11.2,1.2,3.8,3.6,,990.5,3.2,7.7,999.0,,
1985,1,5,11,,7,10.5,14.0,1.6,4.3,3.9,,987.6,2.7,7.7,999.0,,
1985,1,5,12,,15,10.4,14.2,1.9,4.8,4.2,,985.8,3.4,7.7,999.0,,
1985,1,5,13,,20,10.2,13.9,2.1,5.0,4.5,,984.6,3.5,7.7,999.0,,
1985,1,5,14,,346,12.9,17.4,2.4,6.3,4.8,,984.7,2.1,7.7,999.0,,
1985,1,5,15,,345,13.0,18.4,3.2,6.7,5.2,,985.0,1.4,8.0,999.0,,
1985,1,5,16,,330,12.5,17.2,3.6,7.1,5.7,,986.6,0.8,7.9,999.0,,
1985,1,5,17,,329,11.9,16.5,3.8,7.7,5.9,,987.5,0.2,7.8,999.0,,
1985,1,5,18,,318,13.6,17.3,3.8,7.7,6.0,,988.8,-0.3,7.7,999.0,,
1985,1,5,19,,326,13.6,17.9,3.7,7.7,5.7,,990.5,0.3,8.1,999.0,,
1985,1,5,20,,320,12.7,16.5,4.0,7.7,6.0,,992.4,0.5,8.1,999.0,,
1985,1,5,21,,314,11.7,16.6,3.6,7.7,5.9,,994.5,0.9,8.1,999.0,,
1985,1,5,22,,315,11.0,15.6,3.5,8.3,5.9,,996.3,0.8,8.1,999.0,,
1985,1,5,23,,320,10.9,14.6,3.2,8.3,5.9,,997.5,0.5,8.1,999.0,,
1985,1,6,0,,310,9.9,13.9,3.3,8.3,5.9,,,0.4,8.1,999.0,,
1985,1,6,1,,308,10.4,14.9,3.4,7.7,5.8,,1000.6,-0.8,7.8,999.0,,
1985,1,6,2,,307,11.4,14.8,3.3,7.7,5.6,,1001.8,-1.8,7.7,999.0,,
1985,1,6,3,,302,11.7,16.9,4.3,7.7,6.2,,1003.1,-2.3,7.8,999.0,,
1985,1,6,4,,310,11.9,16.5,3.8,8.3,6.2,,1004.0,-1.8,7.9,999.0,,
1985,1,6,5,,303,13.2,18.4,3.8,7.7,6.0,,1005.0,-1.9,8.0,999.0,,
1985,1,6,6,,305,12.9,19.3,4.1,7.7,6.1,,1006.5,-2.6,8.0,999.0,,
1985,1,6,7,,303,11.4,16.5,4.2,8.3,6.5,,1008.0,-2.6,8.0,999.0,,
1985,1,6,8,,298,9.0,13.0,3.5,7.7,6.1,,1008.9,-2.6,7.9,999.0,,
1985,1,6,9,,286,11.8,15.7,3.6,7.7,6.1,,1008.7,-2.0,7.9,999.0,,
1985,1,6,10,,276,10.8,14.6,3.6,7.7,6.0,,1009.0,-1.8,7.9,999.0,,
1985,1,6,11,,281,12.2,18.1,3.4,7.1,5.7,,1009.5,-1.6,7.9,999.0,,
1985,1,6,12,,286,13.9,18.4,3.6,7.7,6.1,,1010.3,-1.2,7.9,999.0,,
1985,1,6,13,,287,12.8,18.2,4.3,8.3,6.6,,1011.4,-1.0,7.9,999.0,,
1985,1,6,14,,289,12.4,17.5,3.8,8.3,6.2,,1012.8,-1.4,7.9,999.0,,
1985,1,6,15,,283,11.7,16.7,3.7,8.3,6.2,,1013.8,-1.4,7.9,999.0,,
1985,1,6,16,,281,11.9,16.6,3.5,8.3,6.1,,1013.9,-1.1,7.9,999.0,,
1985,1,6,17,,296,12.1,15.9,3.6,7.7,6.1,,1013.2,-1.3,7.8,999.0,,
1985,1,6,18,,289,11.4,15.4,3.4,8.3,5.8,,1013.4,-1.0,7.8,999.0,,
1985,1,6,19,,287,11.1,15.4,3.6,7.7,5.9,,1014.0,-0.5,7.8,999.0,,
1985,1,6,20,,289,11.0,14.9,,,,,1014.2,-0.2,7.8,999.0,,
1985,1,6,21,,294,11.1,14.2,3.3,7.7,5.6,,1014.4,-0.4,7.8,999.0,,
1985,1,6,22,,291,10.0,13.8,2.8,7.1,5.4,,1014.9,0.3,7.8,999.0,,
1985,1,6,23,,286,9.3,12.6,2.6,7.1,5.2,,1015.5,0.3,7.8,999.0,,
1985,1,7,0,,285,8.8,13.2,2.4,6.3,5.1,,1016.1,0.3,7.8,999.0,,
1985,1,7,1,,293,8.4,11.7,2.2,6.7,4.9,,1016.5,0.1,7.8,999.0,,
1985,1,7,2,,296,8.1,11.1,2.1,6.7,4.9,,1016.4,0.1,7.8,999.0,,
1985,1,7,3,,296,8.1,11.1,2.2,6.7,5.0,,1016.1,-0.4,7.8,999.0,,
1985,1,7,4,,313,6.4,9.5,2.2,6.7,5.1,,1016.3,-0.8,7.8,999.0,,
1985,1,7,5,,330,6.9,10.1,2.0,6.3,4.9,,1016.4,-1.8,7.8,999.0,,
1985,1,7,6,,330,6.6,9.2,1.9,6.3,4.7,,1016.9,-2.1,7.8,999.0,,
1985,1,7,7,,336,6.0,8.6,1.9,5.6,4.8,,1017.3,-2.9,7.7,999.0,,
1985,1,7,8,,344,4.7,8.3,1.8,5.3,4.9,,1017.2,-3.1,7.6,999.0,,
1985,1,7,9,,351,3.3,6.2,1.8,5.6,4.9,,1016.7,-3.7,7.6,999.0,,
1985,1,7,10,,354,3.8,6.2,1.5,5.9,4.7,,1016.0,-3.7,7.6,999.0,,
1985,1,7,11,,358,2.4,5.1,1.5,5.6,4.8,,1016.2,-4.0,7.6,999.0,,
1985,1,7,12,,349,2.5,4.4,1.4,5.3,5.0,,1016.1,-3.8,7.8,999.0,,
1985,1,7,13,,3,2.9,4.7,1.2,5.6,4.8,,1015.7,-3.5,7.7,999.0,,
1985,1,7,14,,39,1.9,4.2,1.2,5.3,5.0,,1015.4,-3.1,7.8,999.0,,
1985,1,7,15,,48,3.6,6.0,1.2,11.1,5.0,,1014.1,-3.0,7.7,999.0,,
1985,1,7,16,,64,2.5,4.8,1.1,5.0,4.7,,1013.5,-2.8,7.8,999.0,,
1985,1,7,17,,71,2.8,4.6,1.2,5.6,4.8,,1012.0,-2.6,7.8,999.0,,
1985,1,7,18,,56,3.3,5.6,1.1,10.0,4.9,,1011.0,-2.4,7.8,999.0,,
1985,1,7,19,,75,4.8,6.9,1.0,8.3,4.6,,1009.5,-2.4,7.7,999.0,,
1985,1,7,20,,72,5.2,7.9,1.0,10.0,4.3,,1009.0,-1.9,7.5,999.0,,
1985,1,7,21,,65,6.0,8.9,1.1,5.3,4.2,,1007.9,-1.8,7.5,999.0,,
1985,1,7,22,,53,6.3,8.7,1.1,5.3,3.7,,1006.4,-1.4,7.5,999.0,,
1985,1,7,23,,64,7.2,9.4,1.1,5.0,3.7,,1005.6,-0.9,7.6,999.0,,
