#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2009 12 31 23 50 126  8.1  9.5  0.98  3.85  3.60 999 1022.2   2.2   7.6   1.1 99.0 99.00
2010 01 01 00 50 113 10.0 12.0  1.10  4.55  3.71 999 1021.4   2.1   7.7   1.7 99.0 99.00
2010 01 01 01 50 109 10.0 11.9  1.38  4.76  3.93 999 1020.6   2.4   7.7   2.1 99.0 99.00
2010 01 01 02 50 121 11.1 13.6  1.44  5.26  4.06 999 1020.0   2.9   7.6   2.2 99.0 99.00
2010 01 01 03 50 118 10.6 13.1  1.80  5.88  4.44 999 1019.2   3.0   7.6   2.0 99.0 99.00
2010 01 01 04 50 115 10.3 12.0  1.68  5.88  4.47 999 1017.8   2.8   7.5   1.6 99.0 99.00
2010 01 01 05 50 109 10.7 12.4  1.79  5.56  4.58 999 1017.0   2.6   7.5   1.4 99.0 99.00
2010 01 01 06 50  97 10.7 12.5  1.69  5.56  4.45 999 1017.1   2.4   7.6   0.9 99.0 99.00
2010 01 01 07 50  92 10.5 12.4  1.92  5.56  4.70 999 1016.4   2.5   7.7   1.0 99.0 99.00
2010 01 01 08 50  85 10.9 13.4  1.78  5.88  4.47 999 1015.4   1.9   7.7   0.7 99.0 99.00
2010 01 01 09 50  80 10.9 12.8  1.57  5.56  4.37 999 1014.7   1.5   7.6   0.9 99.0 99.00
2010 01 01 10 50  68 10.4 12.0  1.87  5.00  4.57 999 1014.4   1.3   7.6   0.5 99.0 99.00
2010 01 01 11 50  65 10.9 12.5  1.83  5.26  4.63 999 1014.1   1.0   7.6   0.2 99.0 99.00
2010 01 01 12 50  61 11.6 13.8  2.03  6.25  4.92 999 1013.7   0.7   7.6   0.3 99.0 99.00
2010 01 01 13 50  63 12.5 14.8  2.23  6.25  5.05 999 1013.1   0.3   7.5  -0.1 99.0 99.00
2010 01 01 14 50  64 12.7 14.7  2.47  5.88  5.30 999 1012.5   0.3   7.5  -0.7 99.0 99.00
2010 01 01 15 50  61 12.0 15.3  2.43  5.88  5.05 999 1011.8   0.4   7.4  -0.3 99.0 99.00
2010 01 01 16 50  69 12.0 14.5  2.52  6.25  5.11 999 1011.1  -0.1   7.5  -0.5 99.0 99.00
2010 01 01 17 50  58 12.5 14.8  2.46  6.67  4.91 999 1010.6  -0.3   7.5  -0.7 99.0 99.00
2010 01 01 18 50  50 12.5 14.9  2.27  5.56  4.73 999 1010.5  -0.2   7.6  -0.6 99.0 99.00
2010 01 01 19 50  53 13.5 15.5 99.00 99.00 99.00 999 1009.6   0.1   7.7  -0.2 99.0 99.00
2010 01 01 20 50  60 12.8 15.6  2.29  5.56  4.56 999 1009.9   0.2   7.6  -0.8 99.0 99.00
2010 01 01 21 50  57 12.1 14.1  2.25  5.88  4.80 999 1010.1   0.9   7.5   0.1 99.0 99.00
