#YY_#yr,MM_mo,DD_dy,hh_hr,mm_mn,WDIR_degT,WSPD_m/s,GST_m/s,WVHT_m,DPD_sec,APD_sec,MWD_degT,PRES_hPa,ATMP_degC,WTMP_degC,DEWP_degC,VIS_mi,TIDE_ft
2014,12,31,23,50,284,9.5,12.7,1.15,6.25,4.12,,1020.4,-3.7,7.8,-12.8,,
2015,1,1,0,50,287,8.0,11.2,1.06,6.25,4.07,,1020.2,-3.7,7.8,-11.8,,
2015,1,1,1,50,278,9.3,12.8,1.11,6.25,4.21,,1020.1,-3.7,7.8,-11.5,,
2015,1,1,2,50,281,9.1,11.9,1.09,6.25,4.24,,1020.0,-4.0,7.7,-13.6,,
2015,1,1,3,50,291,9.5,12.5,1.07,6.67,4.13,,1019.8,-3.9,7.7,-13.5,,
2015,1,1,4,50,286,6.5,9.6,1.11,5.88,4.5,,1019.4,-3.5,7.8,-14.0,,
2015,1,1,5,50,246,6.1,9.8,0.98,5.88,4.34,,1017.9,-2.9,8.0,-12.7,,
2015,1,1,6,50,230,5.0,7.3,0.96,6.25,4.45,,1016.8,-2.9,8.0,-10.9,,
2015,1,1,7,50,195,4.8,7.4,0.95,6.25,4.51,,1015.5,-2.5,8.1,-8.4,,
2015,1,1,8,50,286,8.1,10.6,1.01,5.88,3.84,,9999.0,-3.3,8.0,-4.2,,
2015,1,1,9,50,242,11.2,15.1,0.98,5.88,3.9,,1013.1,-1.9,7.6,-4.3,,
2015,1,1,11,50,270,7.8,10.6,1.35,5.88,4.28,,1012.5,-1.9,7.4,-7.1,,
2015,1,1,12,50,272,10.2,14.2,1.37,5.88,4.51,,1012.7,-1.1,7.3,-7.8,,
2015,1,1,13,50,276,11.3,13.9,1.58,6.25,4.42,,1013.0,-0.8,7.4,-8.7,,
2015,1,1,14,50,279,9.8,12.0,1.59,6.25,4.67,,1012.6,-0.8,7.4,-9.0,,
2015,1,1,15,50,270,10.7,13.4,1.65,6.67,4.93,,1012.6,-1.2,7.4,-7.6,,
2015,1,1,16,50,279,7.2,9.9,1.37,7.69,4.86,,1011.8,-1.6,7.8,-8.5,,
2015,1,1,17,50,269,7.3,9.5,1.41,6.67,5.18,,1011.4,-1.6,8.0,-9.7,,
2015,1,1,18,50,248,9.1,11.3,1.38,6.67,5.06,,1011.4,-0.9,8.2,-9.8,,
2015,1,1,19,50,261,9.6,12.2,1.66,7.14,5.15,,1011.1,-0.5,8.0,-8.0,,
2015,1,1,20,50,254,10.8,13.8,1.96,7.69,5.13,,1010.8,0.4,8.0,-6.8,,
2015,1,1,21,50,240,10.6,13.2,2.25,7.69,5.28,,1010.7,0.8,8.0,-5.9,,
2015,1,1,22,50,247,10.5,13.1,2.36,7.69,5.4,,1010.6,0.9,8.1,-5.3,,
2015,1,1,23,50,238,10.1,12.6,2.36,7.69,5.52,,1010.2,1.7,7.9,-4.3,,
2015,1,2,0,50,235,10.7,12.8,2.34,7.69,5.86,,1010.1,2.5,8.0,-3.3,,
2015,1,2,1,50,257,9.7,12.1,2.16,7.69,5.48,,1009.6,2.7,7.9,-2.6,,
2015,1,2,2,50,258,10.0,12.6,2.25,8.33,5.47,,1009.4,3.0,7.9,-2.2,,
2015,1,2,3,50,288,10.6,13.6,2.41,7.69,5.66,,1009.2,2.4,8.0,-2.6,,
2015,1,2,4,50,276,11.7,14.6,2.2,7.69,5.69,,1009.3,2.1,8.0,-5.8,,
2015,1,2,5,50,263,11.0,14.0,2.2,8.33,5.78,,1009.6,1.9,8.1,-6.1,,
2015,1,2,6,50,268,10.2,13.2,2.3,7.69,5.84,,1009.9,2.6,7.9,-6.0,,
2015,1,2,7,50,266,11.0,13.2,2.56,8.33,5.8,,1009.3,2.7,7.9,-5.7,,
2015,1,2,8,50,261,9.9,12.1,2.67,8.33,6.01,,1009.0,3.0,7.9,-5.2,,
2015,1,2,9,50,265,10.3,13.2,2.76,7.69,6.18,,1009.1,2.9,7.9,-5.0,,
2015,1,2,10,50,269,11.5,13.8,2.66,8.33,6.03,,1009.6,2.9,7.9,-4.3,,
2015,1,2,11,50,276,10.0,12.2,2.98,9.09,6.38,,1010.5,2.7,7.9,-4.8,,
2015,1,2,12,50,285,11.3,14.0,3.36,9.09,6.8,,1011.6,2.7,7.9,-5.7,,
2015,1,2,13,50,297,10.3,12.8,3.11,9.09,6.68,,1012.7,2.4,8.0,-4.7,,
2015,1,2,14,50,280,10.1,12.2,2.39,9.09,6.2,,1012.8,2.0,7.9,-5.7,,
2015,1,2,15,50,286,9.8,12.9,2.52,9.09,6.49,,1012.7,1.9,7.9,-4.6,,
2015,1,2,16,50,296,11.1,14.1,2.47,9.09,6.44,,1012.4,1.6,7.9,-5.6,,
2015,1,2,17,50,293,12.7,15.7,2.65,9.09,6.34,,1012.8,1.6,7.9,-6.5,,
