#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2014 12 31 23 50 284  9.5 12.7  1.15  6.25  4.12 999 1020.4  -3.7   7.8 -12.8 99.0 99.00
2015 01 01 00 50 287  8.0 11.2  1.06  6.25  4.07 999 1020.2  -3.7   7.8 -11.8 99.0 99.00
2015 01 01 01 50 278  9.3 12.8  1.11  6.25  4.21 999 1020.1  -3.7   7.8 -11.5 99.0 99.00
2015 01 01 02 50 281  9.1 11.9  1.09  6.25  4.24 999 1020.0  -4.0   7.7 -13.6 99.0 99.00
2015 01 01 03 50 291  9.5 12.5  1.07  6.67  4.13 999 1019.8  -3.9   7.7 -13.5 99.0 99.00
2015 01 01 04 50 286  6.5  9.6  1.11  5.88  4.50 999 1019.4  -3.5   7.8 -14.0 99.0 99.00
2015 01 01 05 50 246  6.1  9.8  0.98  5.88  4.34 999 1017.9  -2.9   8.0 -12.7 99.0 99.00
2015 01 01 06 50 230  5.0  7.3  0.96  6.25  4.45 999 1016.8  -2.9   8.0 -10.9 99.0 99.00
2015 01 01 07 50 195  4.8  7.4  0.95  6.25  4.51 999 1015.5  -2.5   8.1  -8.4 99.0 99.00
2015 01 01 08 50 286  8.1 10.6  1.01  5.88  3.84 999 9999.0  -3.3   8.0  -4.2 99.0 99.00
2015 01 01 09 50 242 11.2 15.1  0.98  5.88  3.90 999 1013.1  -1.9   7.6  -4.3 99.0 99.00
2015 01 01 11 50 270  7.8 10.6  1.35  5.88  4.28 999 1012.5  -1.9   7.4  -7.1 99.0 99.00
2015 01 01 12 50 272 10.2 14.2  1.37  5.88  4.51 999 1012.7  -1.1   7.3  -7.8 99.0 99.00
2015 01 01 13 50 276 11.3 13.9  1.58  6.25  4.42 999 1013.0  -0.8   7.4  -8.7 99.0 99.00
2015 01 01 14 50 279  9.8 12.0  1.59  6.25  4.67 999 1012.6  -0.8   7.4  -9.0 99.0 99.00
2015 01 01 15 50 270 10.7 13.4  1.65  6.67  4.93 999 1012.6  -1.2   7.4  -7.6 99.0 99.00
2015 01 01 16 50 279  7.2  9.9  1.37  7.69  4.86 999 1011.8  -1.6   7.8  -8.5 99.0 99.00
2015 01 01 17 50 269  7.3  9.5  1.41  6.67  5.18 999 1011.4  -1.6   8.0  -9.7 99.0 99.00
2015 01 01 18 50 248  9.1 11.3  1.38  6.67  5.06 999 1011.4  -0.9   8.2  -9.8 99.0 99.00
2015 01 01 19 50 261  9.6 12.2  1.66  7.14  5.15 999 1011.1  -0.5   8.0  -8.0 99.0 99.00
2015 01 01 20 50 254 10.8 13.8  1.96  7.69  5.13 999 1010.8   0.4   8.0  -6.8 99.0 99.00
2015 01 01 21 50 240 10.6 13.2  2.25  7.69  5.28 999 1010.7   0.8   8.0  -5.9 99.0 99.00
2015 01 01 22 50 247 10.5 13.1  2.36  7.69  5.40 999 1010.6   0.9   8.1  -5.3 99.0 99.00
2015 01 01 23 50 238 10.1 12.6  2.36  7.69  5.52 999 1010.2   1.7   7.9  -4.3 99.0 99.00
2015 01 02 00 50 235 10.7 12.8  2.34  7.69  5.86 999 1010.1   2.5   8.0  -3.3 99.0 99.00
2015 01 02 01 50 257  9.7 12.1  2.16  7.69  5.48 999 1009.6   2.7   7.9  -2.6 99.0 99.00
2015 01 02 02 50 258 10.0 12.6  2.25  8.33  5.47 999 1009.4   3.0   7.9  -2.2 99.0 99.00
2015 01 02 03 50 288 10.6 13.6  2.41  7.69  5.66 999 1009.2   2.4   8.0  -2.6 99.0 99.00
2015 01 02 04 50 276 11.7 14.6  2.20  7.69  5.69 999 1009.3   2.1   8.0  -5.8 99.0 99.00
2015 01 02 05 50 263 11.0 14.0  2.20  8.33  5.78 999 1009.6   1.9   8.1  -6.1 99.0 99.00
2015 01 02 06 50 268 10.2 13.2  2.30  7.69  5.84 999 1009.9   2.6   7.9  -6.0 99.0 99.00
2015 01 02 07 50 266 11.0 13.2  2.56  8.33  5.80 999 1009.3   2.7   7.9  -5.7 99.0 99.00
2015 01 02 08 50 261  9.9 12.1  2.67  8.33  6.01 999 1009.0   3.0   7.9  -5.2 99.0 99.00
2015 01 02 09 50 265 10.3 13.2  2.76  7.69  6.18 999 1009.1   2.9   7.9  -5.0 99.0 99.00
