#YY_#yr,MM_mo,DD_dy,hh_hr,mm_mn,WDIR_degT,WSPD_m/s,GST_m/s,WVHT_m,DPD_sec,APD_sec,MWD_deg,PRES_hPa,ATMP_degC,WTMP_degC,DEWP_degC,VIS_nmi,TIDE_ft
2010,1,3,8,50,115,8.6,10.0,1.27,5.56,4.76,,977.0,3.2,7.2,999.0,,
2010,1,3,9,50,111,9.4,11.4,1.35,7.14,4.38,,978.5,2.3,7.3,999.0,,
2010,1,3,10,50,92,7.5,9.0,1.55,7.69,4.34,,980.0,2.1,7.4,999.0,,
2010,1,3,11,50,96,9.5,10.9,1.64,7.69,4.51,,981.0,1.9,7.3,999.0,,
2010,1,3,12,50,74,10.8,12.9,1.67,5.26,4.45,,981.9,2.3,7.4,999.0,,
2010,1,3,13,50,76,9.9,12.2,1.59,5.26,4.57,,982.7,2.6,7.4,999.0,,
2010,1,3,14,50,89,9.4,11.6,1.41,5.0,4.5,,983.2,2.9,7.3,999.0,,
2010,1,3,15,50,88,7.6,9.7,1.4,10.0,4.64,,982.9,3.2,7.3,999.0,,
2010,1,3,16,50,79,4.7,6.3,1.22,4.76,4.57,,982.9,2.8,7.3,999.0,,
2010,1,3,17,50,60,3.9,5.9,1.27,10.81,4.85,,983.2,2.8,7.3,999.0,,
2010,1,3,18,50,26,4.0,4.9,1.26,11.43,5.01,,983.6,1.6,7.2,999.0,,
2010,1,3,19,50,351,5.1,6.1,1.28,12.9,5.59,,983.9,1.2,7.2,999.0,,
2010,1,3,20,50,18,13.1,15.4,1.4,10.0,3.95,,983.4,2.7,7.1,999.0,,
2010,1,3,21,50,18,13.8,16.4,1.86,5.26,4.26,,983.8,2.7,7.3,999.0,,
2010,1,3,22,50,18,13.7,16.5,1.81,4.76,4.29,,984.5,2.8,7.2,999.0,,
2010,1,3,23,50,19,13.2,15.9,2.05,5.0,4.76,,984.6,3.1,7.1,999.0,,
2010,1,4,0,50,8,12.9,16.4,2.18,5.26,4.85,,984.8,3.0,7.1,999.0,,
2010,1,4,1,50,359,13.0,16.6,2.14,5.26,5.04,,984.4,2.9,7.1,999.0,,
2010,1,4,2,50,349,13.0,16.0,2.07,10.0,5.34,,984.0,2.6,7.1,999.0,,
2010,1,4,3,50,348,13.0,16.5,1.95,5.26,4.96,,983.9,2.9,7.2,999.0,,
2010,1,4,4,50,348,13.0,15.8,2.09,10.81,5.25,,983.5,3.1,7.2,999.0,,
2010,1,4,5,50,343,13.5,16.2,1.94,4.76,4.76,,983.3,3.1,7.2,999.0,,
2010,1,4,6,50,337,13.7,16.6,1.98,4.76,4.55,,983.7,3.1,7.3,999.0,,
2010,1,4,7,50,336,14.2,17.0,2.02,5.26,4.46,,984.0,2.9,7.2,999.0,,
2010,1,4,8,50,331,13.4,16.4,1.84,5.0,4.26,,984.4,3.0,7.2,999.0,,
2010,1,4,9,50,331,12.8,15.9,1.77,4.76,4.3,,985.2,2.6,7.2,999.0,,
2010,1,4,10,50,331,12.3,14.6,1.86,4.55,4.25,,986.1,2.7,7.2,999.0,,
2010,1,4,11,50,337,13.0,15.3,1.76,4.76,4.31,,986.9,3.1,7.3,999.0,,
2010,1,4,12,50,339,11.5,14.0,1.78,4.76,4.34,,988.1,3.0,7.3,999.0,,
2010,1,4,13,50,355,11.2,13.6,1.59,4.76,4.32,,989.4,3.1,7.2,999.0,,
2010,1,4,14,50,4,9.3,11.6,1.51,4.55,4.47,,990.3,3.3,7.2,999.0,,
2010,1,4,15,50,356,8.4,10.6,1.58,5.0,4.79,,990.9,3.1,7.2,999.0,,
2010,1,4,16,50,3,8.0,9.7,1.39,11.43,5.0,,991.4,3.2,7.2,999.0,,
2010,1,4,17,50,4,6.6,8.0,1.27,9.09,4.84,,991.9,3.4,7.2,999.0,,
2010,1,4,18,50,11,6.2,7.7,1.23,10.0,4.81,,992.7,3.6,7.2,999.0,,
2010,1,4,19,50,9,6.3,7.7,1.18,13.79,4.72,,993.6,3.6,7.2,999.0,,
2010,1,4,23,50,347,5.4,6.9,0.82,10.81,4.59,,996.4,3.5,7.1,999.0,,
2010,1,5,0,50,318,5.7,7.5,0.92,12.9,5.54,,996.8,3.3,7.1,999.0,,
2010,1,5,1,50,312,7.0,8.5,0.9,10.81,5.02,,996.7,3.2,7.1,999.0,,
2010,1,5,2,50,303,7.5,8.8,1.01,10.81,4.67,,996.6,2.8,7.1,999.0,,
2010,1,5,3,50,304,8.3,9.7,1.15,10.81,4.93,,996.4,2.8,7.2,999.0,,
2010,1,5,4,50,310,8.2,9.9,1.13,11.43,4.44,,996.1,2.6,7.2,999.0,,
2010,1,5,5,50,318,8.8,10.2,1.13,10.0,4.31,,996.0,2.3,7.1,999.0,,
2010,1,5,6,50,317,8.6,10.3,1.1,10.81,4.32,,996.2,2.2,7.1,999.0,,
2010,1,5,7,50,315,8.4,10.0,1.23,11.43,4.63,,996.2,2.0,7.2,999.0,,
2010,1,5,8,50,311,7.8,9.2,1.13,11.43,4.29,,996.3,1.7,7.2,999.0,,
2010,1,5,9,50,311,7.8,9.2,1.09,10.81,4.39,,996.4,1.4,7.2,999.0,,
2010,1,5,10,50,311,7.3,8.7,1.1,10.81,4.58,,996.9,1.3,7.2,999.0,,
2010,1,5,11,50,321,7.7,9.6,1.06,10.81,4.74,,997.3,1.4,7.2,999.0,,
2010,1,5,12,50,320,7.7,9.9,1.08,10.0,4.29,,997.7,1.5,7.1,999.0,,
2010,1,5,13,50,308,7.0,8.1,1.14,10.0,4.35,,998.0,1.5,7.0,999.0,,
2010,1,5,14,50,311,6.6,7.9,1.11,9.09,4.41,,998.3,1.7,7.1,999.0,,
2010,1,5,15,50,314,6.7,8.5,0.94,7.69,4.35,,997.8,1.6,7.2,999.0,,
2010,1,5,16,50,319,6.4,7.9,1.11,10.0,4.64,,997.0,2.0,7.2,999.0,,
2010,1,5,17,50,320,7.0,8.9,1.0,9.09,4.41,,996.6,1.7,7.1,999.0,,
2010,1,5,18,50,314,6.1,8.5,1.07,10.81,4.72,,996.4,2.0,7.1,999.0,,
2010,1,5,19,50,301,7.5,9.1,0.95,10.0,4.51,,996.3,2.2,7.1,999.0,,
2010,1,5,20,50,316,8.2,9.7,0.97,10.0,4.34,,996.4,2.1,7.0,999.0,,
2010,1,5,21,50,320,8.7,10.6,0.98,10.81,4.33,,996.4,2.0,7.0,999.0,,
2010,1,5,22,50,326,8.2,11.2,1.02,10.0,4.11,,996.9,2.0,7.5,999.0,,
2010,1,5,23,50,328,7.5,9.3,0.82,3.45,3.74,,997.2,1.7,7.2,999.0,,
2010,1,6,0,50,317,8.1,9.6,0.87,9.09,3.96,,997.0,1.6,7.5,999.0,,
2010,1,6,1,50,316,8.7,10.5,0.89,3.7,3.83,,996.6,1.5,7.1,999.0,,
2010,1,6,2,50,319,7.3,9.6,0.82,9.09,3.84,,996.6,1.4,7.1,999.0,,
2010,1,6,3,50,315,7.7,9.3,0.89,8.33,3.89,,996.1,1.5,7.2,999.0,,
2010,1,6,4,50,307,7.6,9.5,0.95,3.85,3.99,,995.7,0.7,7.1,999.0,,
2010,1,6,5,50,310,9.5,11.4,1.08,4.0,4.17,,995.1,0.8,7.1,999.0,,
2010,1,6,6,50,302,8.9,10.7,1.23,4.55,4.28,,995.3,0.4,7.2,999.0,,
2010,1,6,7,50,310,8.7,10.7,1.24,4.17,4.22,,995.3,0.0,7.1,999.0,,
2010,1,6,8,50,311,8.1,10.5,1.19,4.35,4.13,,995.1,0.0,7.1,999.0,,
2010,1,6,9,50,304,8.7,10.8,1.15,4.55,4.24,,994.9,0.0,7.2,999.0,,
2010,1,6,10,50,306,8.6,10.3,1.13,4.55,4.31,,995.1,-0.1,7.1,999.0,,
2010,1,6,11,50,309,8.9,11.4,1.12,4.76,4.2,,995.4,0.0,7.3,999.0,,
