YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2005 01 21 21 00 314 11.8 15.8  1.43  4.17  4.10 999 1013.0 -13.0   5.4 -15.9 99.0 99.00
2005 01 21 22 00 318 12.5 15.6  1.52  4.76  4.19 999 1013.8 -13.1   5.4 -16.0 99.0 99.00
2005 01 21 23 00 325 12.2 15.7  1.75  5.26  4.36 999 1015.2 -13.3   5.4 -16.4 99.0 99.00
2005 01 22 00 00 332 13.7 17.2  1.90  5.00  4.50 999 1016.0 -13.7   5.4 -16.5 99.0 99.00
2005 01 22 01 00 334 14.1 19.0  2.06  5.56  4.60 999 1016.6 -14.0   5.4 -16.5 99.0 99.00
2005 01 22 02 00 341 14.3 18.6  2.13  5.26  4.66 999 1017.4 -14.2   5.3 -16.5 99.0 99.00
2005 01 22 03 00 344 13.0 16.0  1.96  5.56  4.61 999 1018.2 -14.8   5.3 -17.0 99.0 99.00
2005 01 22 04 00 351 14.1 17.4  2.09  5.00  4.59 999 1018.8 -15.1   5.4 -17.5 99.0 99.00
2005 01 22 05 00 348 12.8 15.9  1.90  5.56  4.51 999 1019.5 -15.3   5.4 -17.9 99.0 99.00
2005 01 22 06 00 340 12.7 15.7  1.96  5.26  4.49 999 1019.9 -15.8   5.3 -18.4 99.0 99.00
2005 01 22 07 00 345 12.4 15.5  1.80  5.00  4.29 999 1021.0 -15.8   5.3 -18.3 99.0 99.00
2005 01 22 08 00 343 11.4 14.7  1.63  4.76  4.23 999 1022.1 -16.0   5.3 -18.6 99.0 99.00
2005 01 22 09 00 337 12.0 14.8  1.84  5.00  4.33 999 1021.9 -15.8   5.3 -18.3 99.0 99.00
2005 01 22 10 00 346 11.8 14.8  1.67  5.00  4.30 999 1022.2 -15.8   5.3 -18.4 99.0 99.00
2005 01 22 11 00 348 10.2 12.9  1.81  5.00  4.33 999 1022.4 -15.0   5.3 -17.5 99.0 99.00
2005 01 22 12 00 354  9.7 12.1  1.94  5.26  4.59 999 1023.0 -14.3   5.3 -16.7 99.0 99.00
2005 01 22 13 00   6  9.9 12.0  1.65  5.00  4.29 999 1023.5 -14.7   5.2 -17.1 99.0 99.00
2005 01 22 14 00   8  8.5 10.6  1.67  5.26  4.29 999 1024.0 -14.7   5.3 -17.1 99.0 99.00
2005 01 22 15 00   2  8.0 10.6  1.52  5.00  4.18 999 1024.6 -14.5   5.3 -17.0 99.0 99.00
2005 01 22 16 00 360  7.5  9.9  1.19  4.55  3.85 999 1024.2 -13.9   5.3 -16.2 99.0 99.00
2005 01 22 17 00   7  7.4  9.4  0.96  4.00  3.64 999 1023.5 -13.6   5.3 -15.7 99.0 99.00
2005 01 22 18 00 358  6.8  9.0  0.83  4.00  3.48 999 1023.6 -13.0   5.4 -15.2 99.0 99.00
2005 01 22 19 00 351  5.2  7.2  0.72  3.70  3.36 999 1023.1 -12.8   5.2 -15.1 99.0 99.00
2005 01 22 20 00 358  5.3  7.4  0.56  3.13  3.20 999 1022.9 -12.0   5.2 -13.0 99.0 99.00
2005 01 22 21 00   7  5.7  7.7  0.56  3.70  3.15 999 1023.1 -11.9   5.2 -14.0 99.0 99.00
2005 01 22 22 00   5  5.6  8.1  0.54  3.57  3.20 999 1023.1 -11.4   5.2 -13.5 99.0 99.00
2005 01 22 23 00  12  6.4  9.5  0.52  3.33  3.19 999 1022.6 -11.0   5.3 -13.0 99.0 99.00
2005 01 23 00 00   6  4.9  7.2  0.57  3.45  3.30 999 1023.5 -10.9   5.3 -12.9 99.0 99.00
2005 01 23 01 00  36  7.0  9.7  0.56  3.70  3.31 999 1021.8 -10.4   5.1 -12.4 99.0 99.00
2005 01 23 02 00  33  6.8  9.8  0.62  3.57  3.24 999 1021.2  -9.4   5.1 -11.2 99.0 99.00
2005 01 23 03 00  59  6.7  9.1  0.67  3.70  3.20 999 1020.1  -9.3   5.2 -11.0 99.0 99.00
2005 01 23 04 00  46  9.7 11.9  0.68  3.70  3.25 999 1018.2  -8.7   5.2 -10.5 99.0 99.00
2005 01 23 05 00  49  9.2 12.1  1.01  3.45  3.43 999 1017.8  -8.0   5.3  -9.6 99.0 99.00
2005 01 23 06 00  47 10.8 14.3  1.02  4.00  3.50 999 1016.6  -7.4   5.3  -9.1 99.0 99.00
2005 01 23 07 00  46 12.9 16.2  1.38  4.35  3.89 999 1015.3  -7.0   5.3  -8.5 99.0 99.00
2005 01 23 08 00  72 12.6 14.9  1.81  4.76  4.19 999 1014.3  -6.7   5.3  -8.2 99.0 99.00
2005 01 23 09 00  70 14.2 16.7  2.03  5.00  4.51 999 1012.6  -6.8   5.3  -8.4 99.0 99.00
2005 01 23 10 00  67 15.5 18.9  2.67  6.25  5.17 999 1011.2  -7.2   5.3  -8.8 99.0 99.00
2005 01 23 11 00  64 16.2 20.3  3.26  6.67  5.58 999 1010.2  -6.7   5.3  -8.5 99.0 99.00
2005 01 23 12 00  32 16.3 20.4  3.49  7.14  5.80 999 1009.6  -7.0   5.3  -8.6 99.0 99.00
2005 01 23 13 00  38 17.4 22.1  3.89  6.67  6.05 999 1008.5  -7.3   5.3  -9.0 99.0 99.00
2005 01 23 14 00  33 19.0 24.4  3.87  7.69  6.13 999 1006.6  -7.7   5.3  -9.4 99.0 99.00
2005 01 23 15 00  34 19.3 23.9  3.44  7.69  5.91 999 1006.1  -7.9   5.3  -9.6 99.0 99.00
2005 01 23 16 00  37 19.3 23.9  4.14  7.69  6.28 999 1004.8  -8.2   5.3  -9.8 99.0 99.00
2005 01 23 17 00  31 20.0 25.0  4.28  7.14  6.25 999 1001.9  -8.1   5.3  -9.8 99.0 99.00
2005 01 23 18 00  32 21.3 25.6  4.28  7.69  6.30 999 1000.4  -8.1   5.3  -9.8 99.0 99.00
2005 01 23 19 00  30 21.4 27.0  5.06  7.69  6.55 999  999.0  -8.0   5.3  -9.6 99.0 99.00
2005 01 23 20 00  25 21.1 25.5  5.10  8.33  6.79 999  999.3  -8.3   5.3 -10.0 99.0 99.00
2005 01 23 21 00  24 19.8 24.3  4.83  7.14  6.74 999 1000.0  -8.5   5.3 -10.3 99.0 99.00
2005 01 23 22 00  20 19.7 24.2  4.31  9.09  6.66 999 1000.0  -9.0   5.2 -10.8 99.0 99.00
2005 01 23 23 00  12 17.9 21.9  3.31  7.69  5.83 999 1001.0  -9.3   5.3 -11.1 99.0 99.00
2005 01 24 00 00   8 19.0 23.4  4.19  9.09  6.52 999 1000.7 -10.2   5.3 -12.0 99.0 99.00
2005 01 24 01 00   2 18.6 22.8  2.60  7.69  5.38 999 1001.4 -10.3   5.2 -12.1 99.0 99.00
2005 01 24 02 00  10 19.4 24.6  2.73  7.14  5.28 999 1000.8  -9.6   5.2  -9.8 99.0 99.00
2005 01 24 04 00 353 19.2 23.4  2.31  5.88  4.82 999 1000.8  -9.6   5.1 -11.0 99.0 99.00
2005 01 24 05 00 351 17.7 22.5  3.29  7.14  5.56 999 1001.3 -10.1   5.1 -11.9 99.0 99.00
2005 01 24 06 00 352 17.1 21.1  3.38  7.14  5.62 999 1001.5 -10.6   5.3 -12.6 99.0 99.00
2005 01 24 07 00 354 16.6 20.6  2.50  6.25  5.02 999 1002.1 -10.4   5.2 -12.3 99.0 99.00
2005 01 24 08 00 340 15.6 19.7  2.86  6.25  5.12 999 1002.1 -10.8   5.1 -12.9 99.0 99.00
2005 01 24 09 00 345 15.8 19.5 99.00 99.00 99.00 999 1002.5 -11.3   5.1 -13.4 99.0 99.00
2005 01 24 10 00 336 17.0 21.3 99.00 99.00 99.00 999 1002.7 -12.0   5.1 -14.2 99.0 99.00
2005 01 24 11 00 337 15.5 19.2  2.40  5.88  4.97 999 1003.5 -11.8   5.1 -13.8 99.0 99.00
2005 01 24 12 00 336 15.6 19.5  2.53  5.88  5.12 999 1003.8 -11.3   5.1 -13.4 99.0 99.00
2005 01 24 13 00 334 16.2 20.8  2.37  6.25  4.98 999 1004.1 -11.6   5.1 -13.6 99.0 99.00
2005 01 24 14 00 338 15.6 19.5  2.32  6.25  4.93 999 1004.9 -11.6   5.0 -13.7 99.0 99.00
2005 01 24 15 00 335 16.2 21.1 99.00 99.00 99.00 999 1004.4 -10.6   5.0 -12.7 99.0 99.00
2005 01 24 16 00 330 14.7 18.2 99.00 99.00 99.00 999 1003.9  -9.8   5.0 -12.0 99.0 99.00
2005 01 24 17 00 327 14.0 17.0  2.13  5.56  4.82 999 1002.4  -9.4   5.1 -11.9 99.0 99.00
2005 01 24 18 00 322 13.5 17.1  1.81  5.26  4.40 999 1001.8  -8.4   5.1 -12.0 99.0 99.00
2005 01 24 19 00 315 12.2 15.0  1.57  5.00  4.23 999 1001.3  -7.5   5.1 -12.1 99.0 99.00
2005 01 24 20 00 311 10.9 13.6 99.00 99.00 99.00 999 1001.4  -6.7   5.1 -11.6 99.0 99.00
2005 01 24 21 00 301 11.7 13.6  1.51  5.00  4.16 999 1001.1  -6.2   5.1 -10.8 99.0 99.00
2005 01 24 22 00 293 11.3 14.9  1.46  5.26  4.14 999 1001.1  -5.4   5.1  -9.9 99.0 99.00
2005 01 24 23 00 288 11.1 13.6  1.38  4.55  4.06 999 1001.0  -4.6   5.1  -9.7 99.0 99.00
2005 01 25 00 00 291 10.0 12.9 99.00 99.00 99.00 999 1000.8  -4.6   5.1  -9.4 99.0 99.00
2005 01 25 01 00 282 10.6 12.9  1.30  5.00  4.10 999 1000.3  -4.5   5.0  -9.9 99.0 99.00
2005 01 25 02 00 276  9.8 12.8  1.35  5.56  4.19 999  999.6  -4.9   5.0  -9.3 99.0 99.00
2005 01 25 03 00 270 11.3 99.0 99.00 99.00 99.00 999  998.2  -4.5 999.0  -8.0 99.0 99.00
2005 01 25 04 00 285 10.8 14.8  1.54  5.56  4.55 999  998.1  -4.4   5.0  -8.5 99.0 99.00
2005 01 25 05 00 294 12.0 14.9  1.43  5.56  4.38 999  997.6  -4.6   5.0  -9.1 99.0 99.00
2005 01 25 06 00 298 11.8 14.5  1.40  5.26  4.45 999  997.3  -4.8   5.0  -8.3 99.0 99.00
2005 01 25 07 00 306 11.4 13.9  1.31  5.00  4.17 999  997.9  -5.1   5.0  -8.2 99.0 99.00
2005 01 25 08 00 305 11.5 13.6  1.39  5.88  4.31 999  997.9  -5.1   5.0  -9.4 99.0 99.00
2005 01 25 09 00 314 11.0 13.7  1.30  5.88  4.28 999  998.0  -5.8   5.0  -9.3 99.0 99.00
2005 01 25 10 00 321 11.1 13.6  1.33  5.88  4.08 999  998.1  -6.2   5.0  -9.9 99.0 99.00
2005 01 25 11 00 306 11.1 13.8  1.26  5.56  3.88 999  998.7  -6.5   5.0 -10.4 99.0 99.00
2005 01 25 12 00 307 12.2 16.7  1.42  4.35  4.12 999  999.2  -6.8   4.9 -10.8 99.0 99.00
2005 01 25 13 00 315 15.2 17.8  1.79  4.76  4.53 999  999.5  -7.5   4.9 -11.8 99.0 99.00
2005 01 25 14 00 318 13.9 17.1  1.90  5.00  4.58 999 1000.7  -8.0   5.0 -11.9 99.0 99.00
2005 01 25 15 00 322 14.1 17.8  1.98  5.26  4.66 999 1001.1  -8.4   5.0 -13.2 99.0 99.00
2005 01 25 16 00 322 12.0 15.3 99.00 99.00 99.00 999 1001.2  -8.7   5.0 -14.2 99.0 99.00
2005 01 25 17 00 323 11.5 14.8  1.64  5.26  4.41 999 1001.3  -8.8   5.0 -14.8 99.0 99.00
2005 01 25 18 00 324 10.8 14.6  1.60  5.00  4.44 999 1001.7  -8.4   5.0 -15.1 99.0 99.00
2005 01 25 19 00 316 11.7 14.6  1.54  4.35  4.27 999 1002.3  -7.9   5.0 -14.6 99.0 99.00
2005 01 25 20 00 326 12.1 99.0 99.00 99.00 99.00 999 1003.3  -7.4 999.0 -14.8 99.0 99.00
2005 01 25 21 00 317  9.9 13.5  1.35  5.00  4.21 999 1004.9  -7.4   4.7 -15.4 99.0 99.00
2005 01 25 22 00 319 12.2 14.9  1.34  4.55  4.03 999 1006.0  -7.6   4.6 -15.8 99.0 99.00
2005 01 25 23 00 324 12.4 15.6  1.53  5.00  4.26 999 1007.4  -7.7   4.6 -16.2 99.0 99.00
2005 01 26 00 00 338  9.2 12.4  1.46  4.35  4.15 999 1008.7  -8.2   4.6 -17.9 99.0 99.00
2005 01 26 01 00 322  9.5 12.9  1.19  4.35  4.04 999 1009.7  -8.1   4.6 -17.1 99.0 99.00
2005 01 26 02 00 317  9.0 11.7  1.25  4.76  4.13 999 1009.8  -8.4   4.7 -17.0 99.0 99.00
2005 01 26 03 00 315  8.4 10.7  1.12  4.55  4.11 999 1010.0  -8.5   5.0 -17.4 99.0 99.00
2005 01 26 04 00 320  8.4 10.1  1.12  4.35  4.00 999 1010.6  -8.4   5.0 -15.9 99.0 99.00
2005 01 26 05 00 328  8.7 11.1  1.12  4.35  3.98 999 1010.9  -9.0   5.0 -15.6 99.0 99.00
2005 01 26 06 00 339  7.4 10.4  1.11  4.35  3.96 999 1011.0  -9.6   5.0 -15.3 99.0 99.00
2005 01 26 07 00 344  7.2  9.2  0.99  4.17  3.90 999 1011.4 -10.1   4.8 -16.1 99.0 99.00
2005 01 26 08 00 356  6.5  8.4  0.94  3.70  3.79 999 1012.2 -10.5   4.4 -15.9 99.0 99.00
2005 01 26 09 00 360  5.0  6.6  0.78  3.57  3.60 999 1012.8 -10.7   4.3 -16.3 99.0 99.00
2005 01 26 10 00  12  4.9  6.2  0.73  3.57  3.50 999 1013.1 -10.6   3.9 -15.4 99.0 99.00
2005 01 26 11 00  15  4.1  6.0  0.67  3.33  3.63 999 1013.4 -10.7   3.8 -16.2 99.0 99.00
2005 01 26 12 00   7  3.4  5.1  0.62  3.85  3.95 999 1014.0 -10.5   3.8 -16.2 99.0 99.00
2005 01 26 13 00  27  3.5  5.2  0.57  8.33  4.16 999 1014.0  -9.9   3.9 -15.1 99.0 99.00
2005 01 26 14 00  45  5.2  6.9  0.53  8.33  4.42 999 1013.5  -9.2   4.0 -14.3 99.0 99.00
2005 01 26 15 00  55  5.6  7.4  0.52  9.09  4.11 999 1013.3  -8.4   4.6 -13.0 99.0 99.00
2005 01 26 16 00  53  4.8  6.3  0.59  7.69  4.13 999 1013.0  -8.1   4.8 -12.0 99.0 99.00
2005 01 26 17 00  58  6.1  7.9  0.56  9.09  3.64 999 1012.4  -7.6   4.8 -10.8 99.0 99.00
2005 01 26 18 00  47  7.5  9.4  0.60 10.00  3.65 999 1012.2  -7.4   4.9 -10.2 99.0 99.00
2005 01 26 19 00  46  9.0 10.9  0.67  3.13  3.38 999 1012.2  -7.3   4.3  -9.8 99.0 99.00
2005 01 26 20 00  32  9.5 11.6  0.76  3.13  3.19 999 1012.5  -7.0   3.8  -9.3 99.0 99.00
2005 01 26 21 00  33  9.8 11.6  0.95  3.57  3.42 999 1012.8  -6.6   3.8  -8.9 99.0 99.00
2005 01 26 22 00  36 10.9 13.8  1.09  4.00  3.56 999 1012.9  -6.2   3.8  -8.4 99.0 99.00
