#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2011 12 31 23 50 253  2.9  3.4  1.06  5.56  4.75 999 1006.6   8.2   7.9   7.7 99.0 99.00
2012 01 01 00 50 329  3.5  4.4  0.96  5.56  4.66 999 1005.9   8.0   7.8   7.5 99.0 99.00
2012 01 01 01 50 313  3.0  3.7  0.92  5.56  4.71 999 1005.8   7.7   7.8   7.3 99.0 99.00
2012 01 01 02 50 318  8.1  9.7  0.86  6.25  4.65 999 1006.0   6.8   7.7   6.4 99.0 99.00
2012 01 01 03 50 333 10.3 12.2  0.82  5.26  3.90 999 1005.6   5.5   7.7   5.1 99.0 99.00
2012 01 01 04 50 328 10.6 12.6  0.91  3.57  3.80 999 1005.6   4.2   7.7   3.7 99.0 99.00
2012 01 01 05 50 337 10.5 12.4  1.22  4.35  3.91 999 1006.1   4.0   7.7   3.0 99.0 99.00
2012 01 01 06 50 335 12.1 14.3  1.33  4.76  4.07 999 1006.9   3.7   7.7   2.4 99.0 99.00
2012 01 01 07 50 335 10.5 12.7  1.53  5.00  4.36 999 1007.6   3.5   7.7   2.0 99.0 99.00
2012 01 01 08 50 330 10.3 11.8  1.43  5.00  4.32 999 1008.0   3.3   7.8   1.6 99.0 99.00
2012 01 01 09 50 320 11.0 13.2  1.43  4.55  4.26 999 1009.2   3.1   7.8   1.3 99.0 99.00
2012 01 01 10 50 328 11.3 13.6  1.50  4.55  4.07 999 1010.0   2.7   7.8   0.8 99.0 99.00
2012 01 01 11 50 337 10.8 12.5  1.41  4.35  4.02 999 1011.7   2.5   7.7   0.6 99.0 99.00
2012 01 01 12 50 333 10.1 11.9  1.35  4.35  4.04 999 1012.7   2.1   7.7   0.1 99.0 99.00
2012 01 01 13 50 324 10.7 12.6  1.22  4.17  3.90 999 1014.1   1.4   7.7  -0.7 99.0 99.00
2012 01 01 14 50 335 10.6 13.1  1.10  4.35  3.90 999 1014.5   1.3   7.7  -1.0 99.0 99.00
2012 01 01 15 50 337  8.0  9.7  1.03  4.17  3.92 999 1015.3   1.2   7.6  -1.4 99.0 99.00
2012 01 01 16 50 358  6.5  8.5  0.95  4.17  3.98 999 1014.8   1.2   7.6  -1.6 99.0 99.00
2012 01 01 17 50 338  6.2  8.1  0.80  4.00  3.98 999 1014.9   1.0   7.7  -1.7 99.0 99.00
2012 01 01 18 50   4  5.1  6.4  0.73  4.00  3.97 999 1014.4   1.0   7.7  -1.6 99.0 99.00
2012 01 01 19 50  22  2.2  4.0  0.62  8.33  4.13 999 1014.7   0.7   7.7  -1.7 99.0 99.00
2012 01 01 20 50 129  0.7  1.8  0.65  7.69  4.64 999 1014.8   0.9   7.7  -1.4 99.0 99.00
2012 01 01 21 50 120  2.0  3.2  0.69  7.69  5.23 999 1014.9   1.1   7.7  -1.1 99.0 99.00
2012 01 01 22 50 120  4.2  5.8  0.64  8.33  5.28 999 1014.0   1.5   7.7  -0.5 99.0 99.00
2012 01 01 23 50 146  3.6  5.0  0.66  9.09  5.20 999 1014.3   2.2   7.8   0.2 99.0 99.00
2012 01 02 00 50 148  7.0  8.7  0.58  8.33  4.93 999 1012.9   2.9   7.8   0.7 99.0 99.00
2012 01 02 01 50 152  8.1  9.8  0.67  8.33  4.25 999 1011.8   3.8   7.8   1.6 99.0 99.00
2012 01 02 02 50 157  8.5  9.9  0.82  8.33  3.83 999 1011.3   4.9   7.7   2.7 99.0 99.00
2012 01 02 03 50 154  9.7 11.7  1.00  4.00  4.15 999 1009.3   6.0   7.6   4.1 99.0 99.00
2012 01 02 04 50 161 10.3 12.2  1.25  4.55  4.22 999 1008.1   6.9   7.6   5.1 99.0 99.00
2012 01 02 05 50 165 10.7 12.3  1.43  4.55  4.21 999 1006.6   7.4   7.6   5.7 99.0 99.00
2012 01 02 08 50 168 12.6 15.2  1.82  5.26  4.72 999 1000.7   8.0   7.8   6.6 99.0 99.00
2012 01 02 09 50 166 11.7 14.2  2.06  5.88  4.92 999  999.1   8.1   7.8   7.0 99.0 99.00
2012 01 02 10 50 178 10.9 13.1  2.19  6.25  5.24 999  998.1   8.6   7.8   7.5 99.0 99.00
2012 01 02 11 50 185 10.7 12.5  2.22  6.67  5.34 999  997.5   9.0   7.8   8.1 99.0 99.00
2012 01 02 12 50 187  8.8 10.5  2.28  6.67  5.57 999  996.8   9.0   7.8   8.1 99.0 99.00
2012 01 02 13 50 208  9.5 11.3  2.24  7.14  5.72 999  996.1   9.1   7.8   8.0 99.0 99.00
2012 01 02 14 50 231 10.0 12.7  2.15  6.67  5.63 999  996.0   8.7   7.9   7.4 99.0 99.00
2012 01 02 15 50 234  9.4 11.2  2.09  7.14  5.54 999  995.4   8.0   7.8   5.8 99.0 99.00
2012 01 02 16 50 244 13.8 17.6  2.30  7.14  5.52 999  994.7   7.3   7.7   4.0 99.0 99.00
2012 01 02 17 50 242 13.3 15.5  2.31  6.67  5.24 999  994.9   6.8   7.7   2.1 99.0 99.00
2012 01 02 18 50 242 14.2 16.9  2.71  6.25  5.41 999  995.4   6.5   7.7   1.0 99.0 99.00
2012 01 02 19 50 241 13.5 16.1  2.94  6.67  5.63 999  995.9   6.5   7.7  -0.2 99.0 99.00
2012 01 02 20 50 239 14.1 17.5  3.20  7.14  5.78 999  996.3   5.9   7.7  -0.9 99.0 99.00
2012 01 02 21 50 246 12.4 15.1  3.48  7.14  6.00 999  997.5   6.0   7.7  -0.9 99.0 99.00
2012 01 02 22 50 249 12.7 15.2  2.96  7.69  5.93 999  998.6   5.9   7.7  -1.7 99.0 99.00
2012 01 02 23 50 249 12.0 14.1  2.81  8.33  6.02 999  999.5   5.8   7.7  -2.5 99.0 99.00
2012 01 03 00 50 260 12.2 14.8  3.01  7.69  6.08 999 1000.0   5.6   7.7  -2.9 99.0 99.00
2012 01 03 01 50 260 11.1 13.9  2.74  8.33  6.23 999 1000.6   5.3   7.7  -2.6 99.0 99.00
2012 01 03 02 50 259 10.4 12.2  2.97  8.33  6.29 999 1001.1   5.0   7.7  -2.5 99.0 99.00
2012 01 03 03 50 261 10.7 12.8  2.57  8.33  6.10 999 1001.1   4.5   7.6  -2.8 99.0 99.00
2012 01 03 04 50 254 10.7 12.9  2.74  7.69  6.03 999 1001.3   4.4   7.6  -3.2 99.0 99.00
2012 01 03 05 50 263 10.6 12.7  2.97  7.69  6.20 999 1001.4   4.1   7.7  -3.8 99.0 99.00
2012 01 03 06 50 270  9.2 12.1  3.14  9.09  6.46 999 1001.7   4.0   7.7  -3.6 99.0 99.00
2012 01 03 07 50 263  9.4 11.5  2.94  8.33  6.41 999 1001.9   3.6   7.6  -4.2 99.0 99.00
2012 01 03 08 50 284  8.7 11.0  2.63  8.33  6.22 999 1002.2   2.9   7.6  -3.6 99.0 99.00
2012 01 03 09 50 305  8.2 11.3  2.72  8.33  6.56 999 1002.5   1.4   7.6  -4.6 99.0 99.00
