#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2011 11 10 18 50  68  1.5  2.0  0.00 99.00  4.28 999 1010.9  11.8  12.6  10.9 99.0 99.00
2011 11 10 19 50  51  3.1  3.8  0.00 99.00  4.42 999 1009.8  11.8  12.4  11.1 99.0 99.00
2011 11 10 20 50  55  2.0  3.0  0.00 99.00  4.10 999 1008.8  11.9  12.3  11.3 99.0 99.00
2011 11 10 21 50 125  6.1  7.4  0.00 99.00  4.23 999 1007.2  12.3  12.3  11.5 99.0 99.00
2011 11 10 22 50 141  6.5  9.5  0.00 99.00  4.18 999 1005.9  12.8  12.5  11.7 99.0 99.00
2011 11 10 23 50 138  6.8  9.2  0.00 99.00  4.20 999 1004.6  13.3  12.8  12.4 99.0 99.00
2011 11 11 00 50 128  4.8  6.4  0.00 99.00  4.25 999 1003.1  12.4  12.5  11.7 99.0 99.00
2011 11 11 01 50 112  3.4  4.9  0.00 99.00  4.61 999 1001.3  12.0  12.3  11.3 99.0 99.00
2011 11 11 02 50 127  6.4  8.2  0.00 99.00  4.31 999  998.9  12.8  12.5  12.1 99.0 99.00
2011 11 11 03 50 171  4.2  5.9  0.00 99.00  4.46 999  997.4  12.6  12.6  11.9 99.0 99.00
2011 11 11 04 50 195  5.4  8.5  0.00 99.00  4.38 999  996.4  13.0  12.9  12.4 99.0 99.00
2011 11 11 05 50 216  2.6  7.5  0.00 99.00  4.35 999  995.3  12.8  12.9  12.3 99.0 99.00
2011 11 11 06 50 240  0.8  2.7  0.00 99.00  4.29 999  994.6  12.4  12.6  11.9 99.0 99.00
2011 11 11 07 50 269  1.0  2.0  0.00 99.00  4.27 999  993.9  12.6  12.6  12.1 99.0 99.00
2011 11 11 08 50 329  3.5  8.5  0.00 99.00  4.21 999  993.9   9.6  11.3   7.9 99.0 99.00
2011 11 11 09 50 341  3.5  6.4  0.00 99.00  4.18 999  993.6   8.6   9.9   6.4 99.0 99.00
2011 11 11 10 50 339  3.4  6.9  0.00 99.00  4.20 999  992.9   8.5   9.6   5.8 99.0 99.00
2011 11 11 11 50 335  2.6  5.2  0.00 99.00  4.21 999  993.3   8.2   9.3   5.1 99.0 99.00
2011 11 11 12 50   5  2.3  4.2  0.00 99.00  4.32 999  992.2   8.4   9.1   4.6 99.0 99.00
2011 11 11 13 50 281  1.8  3.7  0.00 99.00  4.24 999  992.4   8.3   9.1   4.7 99.0 99.00
2011 11 11 14 50 304  3.9 10.2  0.00 99.00  4.20 999  992.7   7.6   8.7   3.4 99.0 99.00
2011 11 11 15 50 310  3.0  6.4  0.00 99.00  4.23 999  992.5   7.8   8.6   3.3 99.0 99.00
2011 11 11 16 50 301  2.8  6.6  0.00 99.00  4.24 999  992.3   7.8   8.7   2.2 99.0 99.00
2011 11 11 17 50 292  3.1  7.3  0.00 99.00  4.55 999  992.4   7.3   8.6   3.0 99.0 99.00
2011 11 11 18 50 309  3.3  7.1  0.00 99.00  4.54 999  993.0   5.6   7.6   2.4 99.0 99.00
2011 11 11 19 50 290  2.1  5.3  0.00 99.00  4.12 999  993.9   5.5   7.1   2.8 99.0 99.00
2011 11 11 20 50 313  1.9  4.5  0.00 99.00  4.08 999  995.1   5.4   6.8   2.3 99.0 99.00
2011 11 11 21 50 241  1.0  2.7  0.00 99.00  4.25 999  995.8   5.3   6.7   2.6 99.0 99.00
2011 11 11 22 50 268  2.8  4.7  0.00 99.00  4.11 999  997.0   5.7   6.6  -0.5 99.0 99.00
2011 11 11 23 50 266  3.9  6.9  0.00 99.00  4.18 999  998.5   4.9   6.1  -1.6 99.0 99.00
2011 11 12 00 50 262  3.6  6.7  0.00 99.00  4.30 999  999.7   4.7   5.7  -1.6 99.0 99.00
2011 11 12 01 50 259  3.6  6.3  0.00 99.00  4.23 999 1000.9   4.5   5.5  -2.2 99.0 99.00
2011 11 12 02 50 254  3.4  6.3  0.00 99.00  4.34 999 1001.8   3.9   5.1  -2.7 99.0 99.00
2011 11 12 03 50 258  4.0  6.0  0.00 99.00  4.34 999 1002.8   3.5   4.6  -2.7 99.0 99.00
2011 11 12 04 50 273  3.3  7.1  0.00 99.00  4.26 999 1004.7   3.1   4.5  -2.4 99.0 99.00
2011 11 12 05 50 272  3.2  6.8  0.00 99.00  4.17 999 1006.2   2.9   4.1  -4.6 99.0 99.00
2011 11 12 06 50 237  1.0  2.8  0.00 99.00  4.20 999 1007.6   2.7   3.9  -3.0 99.0 99.00
2011 11 12 07 50 257  2.9  4.9  0.00 99.00  4.53 999 1008.8   2.6   3.8  -4.8 99.0 99.00
2011 11 12 08 50 255  1.4  2.8  0.00 99.00  4.16 999 1010.0   2.2   3.6  -4.8 99.0 99.00
2011 11 12 09 50 237  1.0  2.8  0.00 99.00  4.25 999 1011.2   1.9   3.4  -4.6 99.0 99.00
2011 11 12 10 50 260  1.0  2.6  0.00 99.00  4.14 999 1012.3   1.7   3.0  -5.1 99.0 99.00
2011 11 12 11 50 245  0.9  2.1  0.00 99.00  4.44 999 1013.3   1.8   2.9  -4.6 99.0 99.00
2011 11 12 12 50 250  2.3  4.7  0.00 99.00  4.19 999 1013.7   2.8   3.1  -3.4 99.0 99.00
2011 11 12 13 50 247  1.7  4.7  0.00 99.00  4.31 999 1013.8   3.7   3.6  -2.9 99.0 99.00
2011 11 12 14 50 226  0.6  2.1  0.00 99.00  4.17 999 1014.4   5.3   4.5  -2.7 99.0 99.00
2011 11 12 15 50 246  1.5  4.8  0.00 99.00  4.25 999 1014.2   6.2   5.5  -3.1 99.0 99.00
2011 11 12 16 50 250  0.9  3.4  0.00 99.00  4.14 999 1013.7   6.6   6.2  -2.3 99.0 99.00
2011 11 12 17 50 244  1.2  5.0  0.00 99.00  3.97 999 1013.3   7.3   6.6   0.0 99.0 99.00
2011 11 12 18 50 225  1.2  7.2  0.00 99.00  4.38 999 1012.9   7.7   7.2   0.0 99.0 99.00
2011 11 12 19 50 215  1.4  4.6  0.00 99.00  4.19 999 1013.0   7.9   7.5   0.6 99.0 99.00
2011 11 12 20 50 200  3.5  7.0  0.00 99.00  4.40 999 1012.9   8.2   7.9   1.0 99.0 99.00
2011 11 12 21 50 208  0.9  3.0  0.00 99.00  4.19 999 1013.1   8.4   7.9   0.6 99.0 99.00
2011 11 12 22 50 225  0.5  2.0  0.00 99.00  4.22 999 1013.6   8.0   7.7   1.0 99.0 99.00
2011 11 12 23 50 222  0.6  2.2  0.00 99.00  4.34 999 1013.8   7.8   7.5   1.5 99.0 99.00
2011 11 13 00 50 243  1.2  2.9  0.00 99.00  4.61 999 1014.5   8.1   7.6  -0.3 99.0 99.00
2011 11 13 01 50 250  2.2  4.0  0.00 99.00  4.29 999 1015.4   7.9   7.4  -0.8 99.0 99.00
2011 11 13 02 50 257  1.4  2.4  0.00 99.00  4.41 999 1016.0   7.5   7.4  -0.2 99.0 99.00
2011 11 13 03 50 253  1.4  2.3  0.00 99.00  4.25 999 1016.7   6.7   7.0  -0.4 99.0 99.00
2011 11 13 04 50 261  2.0  2.8  0.00 99.00  4.48 999 1017.5   5.8   6.6  -0.1 99.0 99.00
2011 11 13 05 50 267  2.3  3.3  0.00 99.00  4.25 999 1017.8   5.9   6.4  -0.4 99.0 99.00
2011 11 13 06 50 265  2.3  3.3  0.00 99.00  4.23 999 1018.2   5.5   6.2  -0.4 99.0 99.00
2011 11 13 07 50 257  1.4  2.3  0.00 99.00  4.16 999 1018.3   5.1   6.0  -0.2 99.0 99.00
2011 11 13 08 50 188  0.3  1.0  0.00 99.00  4.23 999 1018.6   3.6   5.6   0.4 99.0 99.00
2011 11 13 09 50 249  0.4  1.2  0.00 99.00  4.30 999 1019.2   3.9   5.3   0.8 99.0 99.00
2011 11 13 10 50 276  0.7  1.2  0.00 99.00  4.21 999 1019.7   4.0   5.1   1.4 99.0 99.00
2011 11 13 11 50 237  0.3  1.3  0.00 99.00  4.36 999 1020.4   5.0   5.1   2.7 99.0 99.00
2011 11 13 12 50 180  0.1  0.6  0.00 99.00  4.19 999 1020.5   7.0   5.3   3.8 99.0 99.00
2011 11 13 13 50 204  1.4  4.1  0.00 99.00  4.18 999 1020.5  10.2   6.2   5.3 99.0 99.00
2011 11 13 14 50 180  3.6  5.2  0.00 99.00  4.27 999 1020.3  11.2   8.6   5.6 99.0 99.00
2011 11 13 15 50 185  3.7  5.3  0.00 99.00  4.26 999 1019.7  11.2   9.8   6.4 99.0 99.00
2011 11 13 16 50 179  3.3  4.9  0.00 99.00  4.47 999 1018.5  11.5  10.2   6.4 99.0 99.00
2011 11 13 17 50 195  4.1  6.5  0.00 99.00  4.31 999 1017.9  11.2  10.5   6.9 99.0 99.00
2011 11 13 18 50 195  3.9  5.6  0.00 99.00  4.45 999 1017.3  11.7  11.0   7.1 99.0 99.00
2011 11 13 19 50 200  3.4  5.9  0.00 99.00  4.31 999 1016.9  11.3  10.9   8.6 99.0 99.00
2011 11 13 20 50 185  2.8  3.5  0.00 99.00  4.41 999 1016.1  10.8  10.6   9.0 99.0 99.00
2011 11 13 21 50 200  2.1  2.8  0.00 99.00  4.54 999 1015.8  10.5  10.4   9.1 99.0 99.00
2011 11 13 22 50 202  3.5  6.9  0.00 99.00  4.14 999 1015.2  11.2  10.4   9.0 99.0 99.00
2011 11 13 23 50 198  2.9  5.9  0.00 99.00  4.23 999 1014.6  11.3  10.6   8.7 99.0 99.00
2011 11 14 00 50 198  3.3 10.2  0.00 99.00  4.47 999 1013.8  12.2  11.0   8.2 99.0 99.00
2011 11 14 01 50 189  1.9  5.1  0.00 99.00  4.31 999 1013.6  12.0  11.2   7.9 99.0 99.00
2011 11 14 02 50 202  1.8  5.8  0.00 99.00  4.05 999 1012.7  11.9  11.4   7.9 99.0 99.00
2011 11 14 03 50 206  1.2  7.1  0.00 99.00  4.31 999 1011.9  12.0  11.5   7.3 99.0 99.00
2011 11 14 04 50 176  0.8  4.2  0.00 99.00  4.27 999 1011.7  11.9  11.5   7.3 99.0 99.00
2011 11 14 05 50 231  0.6  2.3  0.00 99.00  4.46 999 1011.2  11.6  11.3   7.8 99.0 99.00
2011 11 14 06 50 214  0.8  3.0  0.00 99.00  4.19 999 1010.7  12.0  11.5   7.2 99.0 99.00
2011 11 14 07 50 183  0.7  5.9  0.00 99.00  4.34 999 1010.3  11.8  11.5   7.6 99.0 99.00
2011 11 14 08 50 190  0.6  3.5  0.00 99.00  4.50 999 1009.9  11.7  11.5   7.6 99.0 99.00
2011 11 14 09 50 205  1.2  4.3  0.00 99.00  4.36 999 1009.4  12.1  11.6   8.4 99.0 99.00
2011 11 14 10 50 234  1.8  7.6  0.00 99.00  4.17 999 1009.3  12.0  11.6   8.7 99.0 99.00
2011 11 14 11 50 207  0.9  2.2  0.00 99.00  4.35 999 1009.3  11.8  11.5   8.5 99.0 99.00
2011 11 14 12 50 224  1.3  4.3  0.00 99.00  4.26 999 1009.1  12.2  11.7   8.3 99.0 99.00
2011 11 14 13 50 150  2.3  5.5 99.00 99.00 99.00 999 1008.6  12.8  12.6   7.5 99.0 99.00
2011 11 14 14 50 224  6.0  8.5 99.00 99.00 99.00 999 1008.5  12.6  13.1   7.2 99.0 99.00
2011 11 14 16 50 157  4.7  6.5 99.00 99.00 99.00 999 1006.6  11.6  13.6   7.8 99.0 99.00
2011 11 14 17 50 168  5.5  7.0 99.00 99.00 99.00 999 1006.6  12.0  13.6   7.8 99.0 99.00
2011 11 14 18 50 138  3.1  4.9 99.00 99.00 99.00 999 1006.8  11.9  13.1   8.2 99.0 99.00
2011 11 14 19 50 166  0.5  3.3 99.00 99.00 99.00 999 1006.8  12.6  12.8   8.0 99.0 99.00
2011 11 14 20 50  55  0.4  1.1 99.00 99.00 99.00 999 1006.6  12.6  12.8   8.2 99.0 99.00
2011 11 14 21 50  33  0.4  1.1 99.00 99.00 99.00 999 1006.8  12.5  12.7   8.5 99.0 99.00
2011 11 14 22 50   6  0.7  1.6 99.00 99.00 99.00 999 1006.9  12.4  12.6   8.9 99.0 99.00
2011 11 14 23 50 185  0.8  1.3 99.00 99.00 99.00 999 1007.1  12.5  12.5   9.2 99.0 99.00
2011 11 15 00 50 299  0.3  1.2 99.00 99.00 99.00 999 1007.0  12.5  12.5   9.6 99.0 99.00
2011 11 15 01 50 210  0.4  2.0 99.00 99.00 99.00 999 1006.5  12.4  12.5   9.8 99.0 99.00
2011 11 15 02 50 180  0.1  0.6 99.00 99.00 99.00 999 1006.0  12.0  12.4   9.7 99.0 99.00
2011 11 15 03 50 172  0.6  1.9 99.00 99.00 99.00 999 1005.7  11.9  12.3   9.7 99.0 99.00
2011 11 15 04 50  15  0.6  2.0 99.00 99.00 99.00 999 1005.5  12.2  12.3   9.9 99.0 99.00
2011 11 15 05 50 248  0.2  1.8 99.00 99.00 99.00 999 1005.1  11.7  12.1  10.3 99.0 99.00
