#YY_#yr,MM_mo,DD_dy,hh_hr,mm_mn,WDIR_degT,WSPD_m/s,GST_m/s,WVHT_m,DPD_sec,APD_sec,MWD_degT,PRES_hPa,ATMP_degC,WTMP_degC,DEWP_degC,VIS_mi,TIDE_ft
2008,12,31,23,50,358,14.7,17.8,1.42,4.17,3.78,,996.9,-6.9,6.3,-7.7,,
2009,1,1,0,50,355,15.4,18.5,1.88,5.26,4.22,,996.4,-6.5,6.2,-8.5,,
2009,1,1,1,50,345,15.9,19.9,2.27,5.56,4.58,,995.8,-7.3,6.3,-9.2,,
2009,1,1,2,50,346,16.8,19.5,2.25,5.88,4.78,,995.4,-7.7,6.3,-9.4,,
2009,1,1,3,50,337,17.2,20.8,2.88,5.88,5.25,,995.2,-8.4,6.2,-9.5,,
2009,1,1,4,50,341,17.1,20.3,2.79,6.25,5.31,,995.2,-8.8,6.3,-9.8,,
2009,1,1,5,50,340,16.3,19.5,3.12,6.67,5.4,,995.3,-9.0,6.3,-9.8,,
2009,1,1,6,50,332,17.8,21.7,3.0,6.67,5.23,,996.0,-9.9,6.3,-10.6,,
2009,1,1,7,50,335,17.1,20.9,3.14,6.25,5.37,,996.9,-10.4,6.3,-11.0,,
2009,1,1,8,50,333,18.1,22.6,3.34,6.25,5.38,,997.7,-11.4,6.3,-12.1,,
2009,1,1,9,50,330,17.8,21.4,3.47,5.88,5.32,,998.8,-11.5,6.3,-12.4,,
2009,1,1,10,50,320,17.0,21.1,2.87,5.88,4.96,,999.8,-12.1,6.2,-12.8,,
2009,1,1,11,50,322,16.9,20.6,2.98,6.25,5.06,,1001.0,-12.4,6.3,-13.2,,
2009,1,1,12,50,322,17.5,20.7,2.96,5.26,5.03,,1001.3,-12.5,6.3,-13.3,,
2009,1,1,13,50,322,16.6,20.0,3.01,6.25,5.18,,1002.1,-12.6,6.3,-13.3,,
2009,1,1,14,50,326,15.7,19.9,2.83,6.67,5.15,,1003.0,-12.4,6.3,-13.2,,
2009,1,1,15,50,324,15.7,19.3,2.92,6.67,5.23,,1002.3,-11.8,6.3,-12.5,,
2009,1,1,16,50,324,16.5,20.3,2.96,6.67,5.24,,1001.9,-11.1,6.3,-11.7,,
2009,1,1,17,50,320,16.5,20.9,2.86,6.67,5.28,,1001.6,-10.2,6.3,-10.8,,
2009,1,1,18,50,312,15.5,18.5,2.6,5.88,5.03,,1002.9,-9.4,6.3,-10.7,,
2009,1,1,19,50,311,16.0,19.8,2.67,6.25,5.1,,9999.0,-8.2,6.3,-10.8,,
