YYYY,MM,DD,hh,mm_mn,WD,WSPD,GST,WVHT,DPD,APD,MWD,BAR,ATMP,WTMP,DEWP,VIS,TIDE
2004,1,1,0,,290,8.5,10.1,1.72,7.69,5.15,,1013.4,3.6,6.9,999.0,,
2004,1,1,1,,267,7.2,8.9,1.5,7.14,5.11,,1012.7,3.7,6.9,999.0,,
2004,1,1,2,,260,5.3,6.7,1.43,7.69,5.4,,1012.1,4.0,6.9,999.0,,
2004,1,1,3,,234,4.0,5.2,1.3,7.14,5.36,,1011.0,4.3,6.9,999.0,,
2004,1,1,4,,241,3.6,4.7,1.2,7.14,5.18,,1010.0,4.8,6.9,999.0,,
2004,1,1,5,,241,4.2,5.2,1.18,7.14,5.1,,1008.1,5.5,6.9,999.0,,
2004,1,1,6,,248,5.8,8.4,1.3,6.67,5.15,,1007.0,5.1,6.9,999.0,,
2004,1,1,7,,281,8.2,9.6,1.18,6.67,4.73,,1006.5,6.3,6.9,999.0,,
2004,1,1,8,,293,10.2,12.5,1.34,4.55,4.36,,1007.1,4.9,6.8,999.0,,
2004,1,1,9,,314,8.5,10.8,1.4,8.33,4.66,,1007.9,2.4,6.8,999.0,,
2004,1,1,10,,303,8.3,10.1,1.69,6.67,4.82,,1008.6,1.7,6.8,999.0,,
2004,1,1,11,,315,11.9,15.2,2.01,7.14,5.08,,1009.7,1.5,6.8,999.0,,
2004,1,1,12,,321,11.5,14.6,2.32,9.09,5.34,,1011.1,1.1,6.8,999.0,,
2004,1,1,13,,315,11.1,14.0,2.34,9.09,5.54,,1012.9,1.3,6.8,999.0,,
2004,1,1,14,,318,10.6,12.7,2.37,9.09,5.68,,1014.7,1.6,6.8,999.0,,
2004,1,1,15,,308,10.8,13.2,2.17,8.33,5.58,,1015.9,1.5,6.8,999.0,,
2004,1,1,16,,304,11.7,13.8,1.9,8.33,5.04,,1015.9,2.2,6.9,999.0,,
2004,1,1,17,,296,10.5,12.6,1.89,8.33,5.11,,1015.8,3.0,6.9,999.0,,
2004,1,1,18,,298,10.7,13.1,2.11,7.69,5.07,,1016.0,3.5,6.9,999.0,,
2004,1,1,19,,310,10.1,12.1,2.08,7.69,5.23,,1016.3,3.7,6.9,999.0,,
2004,1,1,20,,307,10.1,12.8,1.97,8.33,5.21,,1016.8,4.0,6.8,999.0,,
2004,1,1,21,,306,10.4,13.3,2.03,7.69,5.08,,1017.6,3.9,6.8,999.0,,
2004,1,1,22,,312,10.2,12.3,1.86,7.14,4.78,,1018.7,3.5,6.8,999.0,,
2004,1,1,23,,308,11.1,13.7,1.89,7.14,4.71,,1019.2,2.8,6.8,999.0,,
2004,1,2,0,,313,10.9,13.4,1.83,5.0,4.61,,1020.2,2.0,6.8,999.0,,
2004,1,2,1,,317,10.8,12.4,1.69,4.76,4.62,,1020.8,1.2,6.8,999.0,,
2004,1,2,2,,322,10.7,12.6,1.63,4.0,4.46,,1021.6,0.6,6.7,999.0,,
2004,1,2,3,,324,8.7,10.4,1.46,4.0,4.29,,1022.6,0.1,6.7,999.0,,
2004,1,2,4,,327,9.1,10.8,1.28,3.57,4.2,,1022.1,-0.2,6.7,999.0,,
2004,1,2,5,,319,7.6,9.6,1.21,3.85,4.04,,1023.0,-1.0,6.7,999.0,,
2004,1,2,6,,323,8.9,10.2,1.11,3.7,3.94,,1023.2,-1.3,6.7,999.0,,
2004,1,2,7,,327,5.8,7.2,1.06,3.85,4.03,,1023.9,-1.8,6.7,999.0,,
2004,1,2,8,,344,8.6,10.2,0.93,4.0,3.88,,1023.8,-2.4,6.7,999.0,,
2004,1,2,9,,349,5.8,7.5,0.88,3.7,4.0,,1024.0,-3.1,6.6,999.0,,
2004,1,2,10,,360,4.9,6.4,0.78,3.85,4.09,,1024.1,-3.3,6.6,999.0,,
2004,1,2,11,,4,3.8,5.9,0.77,4.0,4.01,,1024.7,-3.6,6.6,999.0,,
2004,1,2,12,,22,5.2,6.8,0.77,8.33,3.92,,1024.7,-4.7,6.5,999.0,,
2004,1,2,13,,4,5.3,7.0,0.78,8.33,3.91,,1026.0,-5.0,6.5,999.0,,
2004,1,2,14,,13,5.7,7.7,0.87,7.69,3.97,,1026.0,-5.5,6.5,999.0,,
2004,1,2,15,,3,5.4,7.6,0.86,3.7,3.72,,1026.7,-5.8,6.6,999.0,,
2004,1,2,16,,341,5.1,7.0,0.75,3.45,3.69,,1026.1,-5.6,6.6,999.0,,
2004,1,2,17,,4,4.0,6.0,0.69,3.33,3.59,,1024.6,-5.5,6.6,999.0,,
2004,1,2,18,,355,2.9,4.7,0.6,7.69,3.79,,1024.6,-5.0,6.5,999.0,,
2004,1,2,19,,353,4.0,5.4,0.54,8.33,4.15,,1024.5,-4.5,6.5,999.0,,
2004,1,2,20,,346,4.1,5.5,0.47,7.69,4.28,,1024.4,-4.5,6.5,999.0,,
2004,1,2,21,,357,3.9,5.2,0.48,9.09,4.21,,1024.4,-4.0,6.5,999.0,,
2004,1,2,22,,345,1.9,3.9,0.5,7.69,4.7,,1024.5,-3.7,6.5,999.0,,
2004,1,2,23,,21,1.6,3.3,0.47,7.69,4.68,,1024.1,-3.3,6.5,999.0,,
2004,1,3,0,,46,4.0,5.4,0.49,7.69,4.93,,1023.9,-2.9,6.4,999.0,,
2004,1,3,1,,64,4.0,5.1,0.5,8.33,5.06,,1023.6,-2.0,6.5,999.0,,
2004,1,3,2,,66,4.4,5.7,0.46,8.33,4.93,,1023.7,-1.3,6.5,999.0,,
2004,1,3,3,,73,3.3,5.0,0.49,7.14,5.05,,1024.4,-0.9,6.5,999.0,,
2004,1,3,4,,62,4.8,6.2,0.5,7.14,4.82,,1023.7,-0.6,6.5,999.0,,
2004,1,3,5,,91,4.0,5.7,0.49,6.67,4.12,,1023.7,0.1,6.6,999.0,,
2004,1,3,6,,102,3.6,5.6,0.52,7.69,4.2,,1024.0,0.7,6.6,999.0,,
2004,1,3,7,,122,4.8,6.4,0.51,7.14,4.27,,1024.0,1.3,6.6,999.0,,
2004,1,3,8,,115,6.9,8.5,0.6,7.14,3.49,,1022.8,1.0,6.6,999.0,,
2004,1,3,9,,121,6.8,8.4,0.77,3.23,3.54,,1022.1,0.9,6.6,999.0,,
2004,1,3,10,,124,7.0,9.0,0.89,3.45,3.6,,1021.5,1.6,6.6,999.0,,
2004,1,3,11,,118,8.6,10.6,1.0,4.0,3.78,,1020.1,2.4,6.6,999.0,,
2004,1,3,12,,131,9.9,11.5,1.29,4.55,3.93,,1019.8,3.1,6.6,999.0,,
2004,1,3,13,,131,9.6,11.5,1.54,5.0,4.1,,1020.0,3.5,6.7,999.0,,
2004,1,3,14,,127,9.7,11.2,1.6,5.26,4.32,,1019.9,3.6,6.7,999.0,,
2004,1,3,15,,128,10.8,14.2,1.8,5.56,4.51,,1018.8,3.7,6.7,999.0,,
2004,1,3,16,,135,11.3,13.0,2.06,5.88,4.91,,1017.4,3.9,6.7,999.0,,
2004,1,3,17,,134,11.6,13.2,2.29,5.88,4.99,,1014.7,4.1,6.7,999.0,,
2004,1,3,18,,134,11.6,13.4,2.52,6.25,5.23,,1013.6,4.3,6.7,999.0,,
2004,1,3,19,,140,10.5,12.8,2.54,6.67,5.23,,1013.1,5.1,6.7,999.0,,
2004,1,3,20,,145,9.1,11.1,2.55,6.25,5.34,,1012.9,5.7,6.7,999.0,,
2004,1,3,21,,140,9.2,11.5,2.45,7.14,5.37,,1011.0,6.2,6.8,999.0,,
2004,1,3,22,,179,5.6,6.6,2.45,7.14,5.42,,1011.7,6.9,6.8,999.0,,
2004,1,3,23,,212,4.4,5.2,2.04,6.67,5.31,,1011.5,6.9,6.8,999.0,,
2004,1,4,0,,212,3.9,4.7,1.8,6.25,5.07,,1010.6,6.8,6.8,999.0,,
2004,1,4,1,,230,3.9,4.8,1.63,6.67,5.15,,1011.0,6.6,6.4,999.0,,
2004,1,4,2,,262,4.4,5.4,1.56,6.25,5.11,,1011.0,6.5,6.3,999.0,,
2004,1,4,3,,253,4.2,4.8,1.31,5.88,4.85,,1010.3,6.0,6.3,999.0,,
2004,1,4,4,,201,3.8,4.3,1.18,5.88,4.84,,1008.9,6.0,6.3,999.0,,
2004,1,4,5,,207,3.5,4.6,1.03,5.88,4.75,,1008.4,6.1,6.3,999.0,,
2004,1,4,6,,234,6.1,8.4,0.95,5.88,4.57,,1008.8,6.3,6.4,999.0,,
2004,1,4,7,,241,5.9,7.4,0.98,5.56,4.41,,1009.1,6.3,6.5,999.0,,
2004,1,4,8,,249,5.2,5.8,0.89,5.88,4.09,,1008.2,6.0,6.5,999.0,,
2004,1,4,9,,245,4.5,5.3,0.94,5.88,4.29,,1007.7,5.8,6.6,999.0,,
2004,1,4,10,,271,6.1,7.2,0.93,5.56,4.14,,1007.8,5.7,6.6,999.0,,
2004,1,4,11,,253,4.9,5.5,0.96,4.0,4.09,,1007.4,5.5,6.6,999.0,,
2004,1,4,12,,233,5.6,6.6,0.93,7.14,4.24,,1006.8,5.6,6.5,999.0,,
2004,1,4,13,,249,6.3,7.6,0.92,7.14,4.18,,1007.8,5.8,6.5,999.0,,
2004,1,4,14,,235,5.3,6.2,0.94,6.67,4.27,,1007.8,6.0,6.5,999.0,,
2004,1,4,15,,250,5.6,6.7,0.94,6.67,4.38,,1008.9,6.2,6.5,999.0,,
2004,1,4,16,,259,5.6,6.6,0.88,6.67,4.33,,1008.4,6.4,6.7,999.0,,
2004,1,4,17,,291,7.4,9.1,0.85,7.14,4.29,,1008.4,6.7,6.7,999.0,,
2004,1,4,18,,296,7.5,9.0,0.83,6.67,4.18,,1009.5,6.1,6.7,999.0,,
2004,1,4,19,,309,6.9,7.9,0.89,3.45,3.78,,1009.6,5.6,6.7,999.0,,
2004,1,4,20,,312,7.8,9.1,0.79,3.7,3.6,,1010.6,5.4,6.6,999.0,,
2004,1,4,21,,304,8.3,9.2,0.85,3.57,3.38,,1011.0,5.1,6.6,999.0,,
2004,1,4,22,,306,8.5,10.4,0.86,3.57,3.53,,1011.2,4.9,6.6,999.0,,
2004,1,4,23,,312,8.3,9.3,0.96,3.57,3.62,,1012.0,4.2,6.6,999.0,,
2004,1,5,0,,312,9.5,11.1,0.96,3.85,3.69,,1012.9,3.7,6.6,999.0,,
2004,1,5,1,,308,9.9,11.6,1.14,4.0,3.74,,1013.3,3.1,6.7,999.0,,
2004,1,5,2,,312,8.5,10.4,1.17,4.76,3.93,,1014.0,2.7,6.6,999.0,,
2004,1,5,3,,313,9.2,11.1,1.27,4.76,4.01,,1013.5,1.9,6.6,999.0,,
2004,1,5,4,,325,9.9,11.7,1.21,4.76,4.06,,1014.2,1.6,6.6,999.0,,
2004,1,5,5,,331,8.6,9.6,1.26,4.17,4.0,,1013.7,1.1,6.5,999.0,,
2004,1,5,6,,339,9.5,11.1,1.22,4.55,3.92,,1014.0,1.0,6.6,999.0,,
2004,1,5,7,,349,8.6,10.6,1.2,4.17,3.89,,1014.2,0.9,6.6,999.0,,
2004,1,5,8,,352,9.0,10.7,1.06,3.85,3.6,,1014.3,0.5,6.6,999.0,,
2004,1,5,9,,348,7.1,9.1,1.15,4.0,3.74,,1014.5,-0.1,6.6,999.0,,
2004,1,5,10,,356,6.6,8.3,1.0,4.0,3.79,,1014.0,-0.5,6.6,999.0,,
2004,1,5,11,,344,7.3,9.2,1.03,4.35,3.84,,1015.0,-0.6,6.6,999.0,,
2004,1,5,12,,348,5.9,7.7,0.95,4.35,3.92,,1015.8,-1.0,6.5,999.0,,
2004,1,5,13,,354,5.6,7.2,0.92,4.17,4.08,,1016.1,-1.3,6.5,999.0,,
2004,1,5,14,,358,5.5,7.1,0.91,7.14,3.93,,1016.2,-1.7,6.5,999.0,,
2004,1,5,15,,4,6.3,8.1,0.87,7.69,4.08,,1016.6,-2.1,6.5,999.0,,
2004,1,5,16,,1,6.2,7.9,0.87,7.69,4.18,,1016.2,-2.2,6.6,999.0,,
2004,1,5,17,,10,6.1,8.4,0.87,7.69,4.08,,1014.5,-2.5,6.6,999.0,,
2004,1,5,18,,358,5.5,6.8,0.75,7.69,3.96,,1014.4,-2.5,6.6,999.0,,
2004,1,5,19,,13,6.7,9.0,0.73,7.69,3.66,,1013.7,-1.9,6.6,999.0,,
2004,1,5,20,,26,6.2,8.3,0.73,7.14,3.71,,1013.3,-1.8,6.6,999.0,,
2004,1,5,21,,32,6.7,8.5,0.7,8.33,3.64,,1013.4,-1.3,6.6,999.0,,
2004,1,5,22,,37,6.8,8.7,0.78,7.69,3.71,,1012.7,-0.9,6.5,999.0,,
2004,1,5,23,,35,6.7,8.5,0.75,3.7,3.79,,1012.3,-0.8,6.6,999.0,,
2004,1,6,0,,54,7.1,8.6,0.83,4.0,3.83,,1011.8,-0.2,6.5,999.0,,
2004,1,6,1,,41,6.8,8.3,0.98,4.17,3.97,,1011.9,0.3,6.6,999.0,,
2004,1,6,2,,65,7.2,9.4,1.21,4.35,4.09,,1010.5,1.2,6.6,999.0,,
2004,1,6,3,,106,5.9,7.3,1.25,4.35,4.1,,1010.2,1.1,6.6,999.0,,
2004,1,6,4,,93,5.1,6.4,1.27,4.55,4.23,,1009.7,1.3,6.6,999.0,,
2004,1,6,5,,104,4.3,5.5,1.03,4.55,4.08,,1008.7,1.5,6.6,999.0,,
2004,1,6,6,,100,4.8,6.2,0.92,4.55,4.11,,1007.8,1.4,6.5,999.0,,
2004,1,6,7,,107,4.7,5.7,0.85,3.7,4.01,,1007.6,1.7,6.6,999.0,,
2004,1,6,8,,107,3.9,4.7,0.78,7.69,3.8,,1007.6,1.3,6.5,999.0,,
2004,1,6,9,,114,4.9,5.7,0.82,8.33,3.88,,1006.7,1.3,6.5,999.0,,
2004,1,6,10,,114,4.4,5.1,0.88,7.14,4.12,,1006.5,1.2,6.4,999.0,,
2004,1,6,11,,137,3.4,4.2,0.88,7.14,4.37,,1006.7,1.4,6.4,999.0,,
2004,1,6,12,,159,3.5,4.5,0.99,4.76,4.66,,1006.6,1.5,6.4,999.0,,
2004,1,6,13,,325,3.7,4.9,1.02,8.33,4.81,,1006.8,1.1,6.4,999.0,,
2004,1,6,14,,291,8.2,9.5,1.04,7.69,4.55,,1007.4,-1.2,6.4,999.0,,
2004,1,6,15,,282,9.0,10.7,1.11,7.69,4.24,,1007.4,-1.2,6.5,999.0,,
2004,1,6,16,,305,10.0,12.9,1.31,4.35,4.14,,1007.0,-1.4,6.4,999.0,,
2004,1,6,17,,303,8.4,10.0,1.36,4.55,4.35,,1007.0,-2.2,6.4,999.0,,
2004,1,6,18,,297,9.5,11.0,,,,,1006.8,-2.3,6.4,999.0,,
2004,1,6,19,,291,9.3,11.0,1.55,5.26,4.64,,1006.7,-1.8,6.5,999.0,,
2004,1,6,20,,295,8.9,11.0,1.48,5.0,4.64,,1007.1,-1.4,6.6,999.0,,
2004,1,6,21,,272,7.6,9.6,1.31,9.09,4.4,,1007.9,-1.4,6.5,999.0,,
2004,1,6,22,,274,8.5,10.6,1.32,4.55,4.25,,1008.4,-0.8,6.5,999.0,,
2004,1,6,23,,263,8.5,10.8,1.44,8.33,4.64,,1008.2,-0.2,6.5,999.0,,
2004,1,7,0,,266,9.7,11.9,1.46,5.0,4.39,,1008.3,0.5,6.5,999.0,,
2004,1,7,1,,279,11.1,13.2,1.79,4.76,4.61,,1008.5,0.5,6.5,999.0,,
2004,1,7,2,,278,10.8,12.3,1.8,5.26,4.6,,1008.5,0.0,6.5,999.0,,
2004,1,7,3,,282,11.0,13.7,1.98,5.56,4.81,,1008.5,0.1,6.5,999.0,,
2004,1,7,4,,,9.3,12.1,1.93,5.56,4.81,,1008.8,-0.7,6.5,999.0,,
2004,1,7,5,,,9.5,13.4,1.85,6.67,4.89,,1008.3,-2.0,6.4,999.0,,
2004,1,7,6,,,10.9,14.1,1.92,5.26,4.82,,1009.0,-3.6,6.5,999.0,,
2004,1,7,7,,,10.1,14.0,2.14,5.26,4.97,,1010.2,-4.6,6.5,999.0,,
2004,1,7,8,,,10.3,13.8,2.11,5.26,4.77,,1010.9,-5.4,6.6,999.0,,
2004,1,7,9,,,8.2,11.9,2.03,5.0,4.87,,1011.5,-5.8,6.6,999.0,,
2004,1,7,10,,,7.7,10.6,1.67,7.14,4.65,,1011.5,-6.7,6.6,999.0,,
2004,1,7,11,,,6.6,10.5,1.62,7.14,4.72,,1011.7,-6.9,6.6,999.0,,
2004,1,7,12,,,5.8,10.4,1.74,8.33,4.95,,1012.2,-7.0,6.5,999.0,,
2004,1,7,13,,,5.5,9.8,1.6,7.14,5.11,,1012.4,-6.9,6.5,999.0,,
2004,1,7,14,,,5.0,10.6,1.55,7.14,4.93,,1012.2,-6.6,6.5,999.0,,
2004,1,7,15,,,7.0,11.9,1.48,7.14,4.68,,1011.6,-6.6,6.6,999.0,,
2004,1,7,16,,,7.7,11.6,1.76,9.09,4.75,,1010.7,-6.3,6.6,999.0,,
2004,1,7,17,,,8.4,12.3,1.75,4.76,4.77,,1009.3,-5.8,6.5,999.0,,
