YYYY,MM,DD,hh,mm_mn,WD,WSPD,GST,WVHT,DPD,APD,MWD,BAR,ATMP,WTMP,DEWP,VIS,TIDE_ft
1999,1,3,19,,102,12.3,14.7,3.02,7.14,5.83,,1013.3,4.0,,,,
1999,1,3,20,,95,11.4,15.0,3.37,7.14,6.14,,1011.3,4.6,,,,
1999,1,3,21,,77,8.5,10.5,3.66,8.33,6.42,,1010.2,4.9,,,,
1999,1,3,22,,39,9.8,11.7,4.09,8.33,6.87,,1007.8,4.5,,,,
1999,1,3,23,,25,9.4,11.2,4.59,9.09,7.23,,1005.5,3.2,,,,
1999,1,4,0,,8,9.7,12.5,4.09,9.09,7.08,,1002.9,1.7,,,,
1999,1,4,1,,10,9.6,11.4,4.69,10.0,7.62,,999.3,3.1,,,,
1999,1,4,2,,354,9.4,11.6,4.58,10.0,7.7,,997.2,2.8,,,,
1999,1,4,3,,326,9.8,12.3,4.12,10.0,7.76,,996.6,0.9,,,,
1999,1,4,4,,296,7.3,10.4,4.57,11.11,7.92,,998.1,0.4,,,,
1999,1,4,5,,299,6.5,9.2,3.61,10.0,7.46,,998.9,0.3,,,,
1999,1,4,6,,284,5.6,8.0,3.76,10.0,8.15,,999.5,0.9,,,,
1999,1,4,7,,246,6.4,7.9,3.41,10.0,8.05,,1001.0,2.0,,,,
1999,1,4,8,,226,8.2,10.0,3.09,11.11,7.84,,1001.5,2.6,,,,
1999,1,4,9,,224,10.3,12.7,3.3,11.11,7.7,,1002.1,3.1,,,,
1999,1,4,10,,234,10.1,12.4,3.35,11.11,7.63,,1003.2,2.7,,,,
1999,1,4,11,,248,10.2,13.2,3.07,11.11,7.52,,1004.5,2.5,,,,
1999,1,4,12,,253,8.6,11.3,2.34,11.11,7.15,,1005.9,1.9,,,,
1999,1,4,13,,248,10.1,12.4,2.54,11.11,7.57,,1006.5,1.6,,,,
1999,1,4,14,,248,12.2,15.4,2.59,11.11,7.41,,1007.3,0.3,,,,
1999,1,4,15,,252,12.0,14.1,2.31,11.11,6.58,,1008.4,-0.9,,,,
1999,1,4,16,,245,11.8,14.3,2.37,12.5,6.87,,1008.7,-1.6,,,,
1999,1,4,17,,254,12.9,16.8,2.16,12.5,6.48,,1008.7,-1.8,,,,
1999,1,4,18,,244,10.0,12.3,2.11,12.5,6.42,,1009.2,-2.0,,,,
1999,1,4,19,,242,11.9,14.5,2.26,12.5,6.77,,1008.9,-2.0,,,,
1999,1,4,20,,240,10.8,13.3,2.15,12.5,6.79,,1009.9,-1.6,,,,
1999,1,4,21,,236,11.0,13.5,2.4,11.11,7.12,,1010.7,-1.9,,,,
1999,1,4,22,,242,10.6,12.7,2.29,12.5,6.85,,1011.6,-2.0,,,,
1999,1,4,23,,247,11.7,14.2,2.04,12.5,6.1,,1012.6,-2.3,,,,
1999,1,5,0,,240,11.1,13.8,2.22,12.5,6.44,,1013.6,-2.7,,,,
1999,1,5,1,,238,11.1,13.5,2.13,11.11,6.2,,1014.0,-3.0,,,,
1999,1,5,2,,238,11.0,13.4,2.02,12.5,6.23,,1013.9,-3.4,,,,
1999,1,5,3,,241,11.0,13.8,1.71,12.5,5.51,,1013.8,-3.6,,,,
1999,1,5,4,,234,11.6,14.1,1.52,11.11,5.02,,1014.0,-3.7,,,,
1999,1,5,5,,242,11.4,14.9,1.58,11.11,5.01,,1014.1,-3.9,,,,
1999,1,5,6,,245,12.1,14.2,1.63,11.11,5.08,,1013.9,-4.4,,,,
1999,1,5,7,,251,12.1,14.3,1.62,11.11,5.02,,1014.7,-4.8,,,,
1999,1,5,8,,252,11.7,13.7,1.66,11.11,5.08,,1015.3,-4.7,,,,
1999,1,5,9,,245,11.2,13.7,1.91,10.0,5.58,,1016.3,-4.9,,,,
1999,1,5,10,,252,10.6,13.0,1.83,10.0,5.84,,1016.6,-5.6,,,,
1999,1,5,11,,268,9.0,11.3,1.68,11.11,5.39,,1017.7,-6.3,,,,
1999,1,5,12,,275,8.6,10.7,1.53,11.11,6.12,,1019.3,-7.5,,,,
1999,1,5,13,,286,7.5,9.2,1.38,11.11,6.31,,1020.5,-7.8,,,,
1999,1,5,14,,289,6.7,8.5,1.13,11.11,5.81,,1021.3,-8.0,,,,
1999,1,5,15,,284,8.1,9.6,1.09,11.11,5.94,,1021.3,-7.9,,,,
1999,1,5,16,,303,5.9,7.4,0.85,11.11,5.52,,1021.6,-7.6,,,,
1999,1,5,17,,299,6.1,7.9,0.84,11.11,6.14,,1021.3,-7.1,,,,
1999,1,5,18,,300,5.6,7.8,0.76,11.11,6.21,,1020.7,-6.0,,,,
1999,1,5,19,,288,5.7,7.9,0.69,11.11,6.74,,1020.8,-5.2,,,,
1999,1,5,20,,293,3.8,5.0,0.62,11.11,6.58,,1021.1,-4.8,,,,
