#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 12 31 23 50 208 12.4 15.3  1.65  5.26  4.65 201 1014.1   4.4   7.0  -1.8 99.0 99.00
2017 01 01 00 50 209 13.4 16.4  2.09  5.88  4.98 196 1013.0   5.0   7.0  -0.1 99.0 99.00
2017 01 01 01 50 217 14.6 18.2  2.21  6.67  5.27 194 1012.0   5.2   7.3   2.6 99.0 99.00
2017 01 01 02 50 209 12.8 16.2  2.47  7.14  5.46 192 1010.5   6.2   7.4   4.4 99.0 99.00
2017 01 01 03 50 218 14.7 17.7  2.28  7.14  5.24 189 1010.0   5.4   7.6   3.0 99.0 99.00
2017 01 01 04 50 222 13.3 17.4  2.43  7.69  5.35 188 1009.0   5.2   7.5   3.1 99.0 99.00
2017 01 01 05 50 227 11.6 14.1  2.29  7.14  5.50 179 1008.9   4.6   7.2   2.7 99.0 99.00
2017 01 01 06 50 230 12.0 15.4  2.31  7.69  5.55 148 1009.3   4.2   7.1   2.1 99.0 99.00
2017 01 01 07 50 232 11.0 13.0  2.25  7.69  5.67 162 1009.1   4.2   7.0   2.0 99.0 99.00
2017 01 01 08 50 230 11.0 13.0  2.23  7.69  5.67 164 1008.8   3.9   7.0   1.7 99.0 99.00
2017 01 01 09 50 235 11.3 13.5  2.02  7.14  5.65 158 1009.1   3.8   7.0   1.6 99.0 99.00
2017 01 01 10 50 236  9.8 11.8  2.08  7.69  5.55 150 1009.7   3.5   7.1   1.4 99.0 99.00
2017 01 01 11 50 240 10.6 12.2  1.96  7.14  5.47 155 1010.6   3.4   7.1   1.3 99.0 99.00
2017 01 01 12 50 246  9.9 11.7  1.74  7.14  5.33 160 1011.3   3.4   7.2   1.2 99.0 99.00
2017 01 01 13 50 240 10.6 13.2  1.60  7.14  4.99 155 1011.8   4.0   7.1   0.9 99.0 99.00
2017 01 01 14 50 249 11.5 13.4  1.39  6.67  4.78 159 1013.0   4.4   7.2   0.9 99.0 99.00
2017 01 01 15 50 263 11.0 13.4  1.44  6.67  4.63 151 1013.7   4.7   7.3  -0.2 99.0 99.00
2017 01 01 16 50 265 13.3 15.6  1.31  5.88  4.55 170 1014.3   5.2   7.4  -1.9 99.0 99.00
2017 01 01 17 50 271 10.2 11.9  1.19  6.25  4.37 164 1015.3   5.3   7.4  -2.7 99.0 99.00
2017 01 01 18 50 271 10.5 13.3  1.08  6.67  4.39 145 1016.5   5.8   7.5  -4.1 99.0 99.00
2017 01 01 19 50 275  8.9 10.7  1.00  6.67  4.31 155 1018.1   5.9   7.6  -4.2 99.0 99.00
2017 01 01 20 50 272  9.7 12.3  0.89  9.09  4.30 155 1019.6   5.8   7.5  -4.5 99.0 99.00
2017 01 01 21 50 274  9.9 12.1  0.78 10.00  4.11 276 1021.5   5.3   7.5  -5.3 99.0 99.00
2017 01 01 22 50 294  6.7  8.0  0.74  9.09  4.35 146 1023.7   4.4   7.5  -6.7 99.0 99.00
2017 01 01 23 50 289  7.8  9.5  0.70 10.00  4.61 106 1025.4   3.7   7.5  -7.3 99.0 99.00
