YY,MM,DD,hh,mm_mn,WD,WSPD,GST,WVHT,DPD,APD,MWD,BAR,ATMP,WTMP,DEWP,VIS,TIDE_ft
90,1,1,1,,190,9.5,11.4,2.1,8.3,6.2,,1002.1,6.3,4.3,,,
90,1,1,2,,207,10.2,12.2,2.2,8.3,6.0,,1000.1,6.6,4.3,,,
90,1,1,3,,214,9.5,11.4,1.7,7.1,5.4,,998.5,6.6,4.3,,,
90,1,1,4,,255,6.3,7.9,2.1,7.7,6.2,,997.6,4.7,4.1,,,
90,1,1,5,,262,3.2,3.9,1.8,7.7,6.2,,996.5,4.3,4.0,,,
90,1,1,6,,281,2.2,3.0,1.7,7.7,6.3,,995.7,3.6,4.0,,,
90,1,1,7,,236,0.9,1.4,1.5,7.7,6.3,,994.1,3.1,4.0,,,
90,1,1,8,,217,2.2,3.0,1.5,7.1,6.1,,993.2,3.6,4.0,,,
90,1,1,9,,225,5.5,6.8,1.6,7.1,6.3,,991.6,5.6,3.9,,,
90,1,1,10,,250,4.4,5.2,1.4,7.7,6.2,,991.0,4.4,3.9,,,
90,1,1,11,,244,6.7,8.0,1.4,7.7,6.3,,990.8,4.4,3.6,,,
90,1,1,12,,235,7.3,8.4,1.5,7.7,6.3,,990.5,5.0,3.6,,,
90,1,1,13,,232,8.6,10.3,1.7,7.7,6.6,,990.1,4.8,3.6,,,
90,1,1,14,,238,11.2,13.4,1.5,8.3,6.3,,990.4,5.2,3.6,,,
90,1,1,15,,243,10.8,13.8,1.5,7.7,5.9,,990.5,4.7,3.6,,,
90,1,1,16,,262,14.0,18.8,1.4,7.7,5.3,,990.0,4.8,3.9,,,
90,1,1,17,,260,12.5,16.7,1.4,7.7,4.9,,990.0,4.3,4.0,,,
90,1,1,18,,264,13.2,16.7,1.2,7.7,4.7,,990.5,4.4,4.0,,,
90,1,1,19,,269,14.9,18.1,1.2,4.3,4.7,,990.5,4.3,4.0,,,
90,1,1,20,,278,12.3,15.9,1.3,4.3,4.8,,991.8,3.9,4.0,,,
90,1,1,21,,277,13.2,16.1,1.3,10.0,4.9,,993.8,2.4,3.9,,,
90,1,1,22,,304,14.7,18.5,1.4,10.0,5.2,,996.8,0.1,3.7,,,
90,1,1,23,,299,13.9,17.0,1.3,10.0,5.0,,999.6,-1.8,3.5,,,
90,1,2,0,,305,10.7,14.8,1.4,10.0,5.1,,1002.5,-2.6,3.5,,,
90,1,2,1,,285,9.2,12.0,1.4,11.1,6.2,,1004.6,-3.1,3.4,,,
90,1,2,2,,291,11.0,14.0,1.2,11.1,6.2,,1006.0,-3.0,3.2,,,
90,1,2,3,,288,12.6,17.0,1.2,12.5,6.4,,1007.5,-3.0,3.5,,,
90,1,2,4,,286,8.8,11.6,1.1,12.5,6.6,,1008.8,-3.4,3.6,,,
90,1,2,5,,271,10.8,13.3,0.8,12.5,5.3,,1010.1,-3.5,3.7,,,
90,1,2,6,,289,7.7,9.9,0.5,4.2,3.9,,1011.6,-3.7,3.8,,,
90,1,2,7,,286,7.9,10.3,0.8,12.5,5.3,,1012.6,-3.7,3.9,,,
90,1,2,8,,290,8.8,10.7,0.8,12.5,5.0,,1014.1,-3.7,3.9,,,
90,1,2,9,,286,10.2,12.8,0.9,11.1,5.9,,1015.6,-4.1,3.9,,,
90,1,2,10,,289,9.0,11.0,0.7,4.3,4.0,,1016.3,-4.3,3.9,,,
90,1,2,11,,288,8.8,10.3,0.6,4.5,4.0,,1018.0,-4.8,3.9,,,
90,1,2,12,,284,8.5,10.7,0.9,12.5,5.8,,1019.0,-5.0,4.0,,,
90,1,2,13,,285,8.5,10.6,0.6,4.5,4.3,,1019.8,-4.9,4.0,,,
90,1,2,14,,281,9.1,11.4,0.9,12.5,5.5,,1019.8,-4.4,3.6,,,
90,1,2,15,,286,9.1,11.5,0.9,5.0,4.7,,1020.3,-3.7,3.9,,,
90,1,2,16,,265,11.8,14.7,1.3,5.0,5.0,,1018.2,-2.7,4.3,,,
90,1,2,17,,255,10.1,12.1,0.9,5.0,4.3,,1017.3,-2.6,3.8,,,
90,1,2,18,,270,8.4,12.1,0.8,4.3,4.1,,1016.1,-1.5,3.7,,,
90,1,2,19,,240,7.6,9.7,0.9,4.2,4.7,,1015.8,-0.1,4.3,,,
90,1,2,20,,235,8.1,10.6,0.9,5.0,4.4,,1015.5,1.4,4.3,,,
90,1,2,21,,227,7.6,10.8,1.1,4.8,4.9,,1015.0,2.3,4.3,,,
90,1,2,22,,232,8.6,11.9,1.1,5.0,4.5,,1015.4,2.8,4.3,,,
90,1,2,23,,235,7.9,12.1,1.1,5.3,4.7,,1015.6,3.2,4.2,,,
90,1,3,0,,239,7.3,10.8,1.1,5.0,4.6,,1016.2,2.9,4.0,,,
90,1,3,1,,251,7.6,10.0,1.1,5.9,4.7,,1016.4,2.7,4.3,,,
90,1,3,2,,253,6.1,9.6,1.3,5.9,5.3,,1017.2,2.5,4.3,,,
90,1,3,3,,258,6.3,9.9,1.0,5.6,4.7,,1017.7,2.4,3.6,,,
90,1,3,4,,268,6.3,8.8,1.0,5.6,4.7,,1017.9,1.7,3.2,,,
90,1,3,5,,267,5.9,8.6,0.9,5.6,4.7,,1018.0,1.6,2.9,,,
90,1,3,6,,265,6.0,8.4,0.8,5.6,4.7,,1018.0,1.2,2.8,,,
90,1,3,7,,279,5.6,7.8,0.8,5.6,4.9,,1018.3,0.9,2.7,,,
90,1,3,8,,271,4.8,7.0,0.8,5.9,4.9,,1018.9,0.5,2.6,,,
90,1,3,9,,277,5.2,6.9,0.7,5.3,5.1,,1018.9,0.7,2.6,,,
90,1,3,10,,278,6.1,7.5,0.7,5.6,5.2,,1019.5,0.1,2.7,,,
90,1,3,11,,264,6.0,7.6,0.6,11.1,5.2,,1020.3,0.0,2.9,,,
90,1,3,12,,266,4.7,5.5,0.5,5.0,4.4,,1020.6,0.4,2.5,,,
90,1,3,13,,271,5.7,6.9,0.5,4.8,4.3,,1021.1,0.8,2.5,,,
