YY,MM,DD,hh,mm_mn,WD,WSPD,GST,WVHT,DPD,APD,MWD,BAR,ATMP,WTMP,DEWP,VIS,TIDE_ft
1993,1,1,0,,217,9.5,11.4,1.0,9.1,5.4,,1004.8,3.4,5.7,,,
1993,1,1,1,,225,8.6,10.0,1.1,9.1,5.4,,1005.6,3.9,5.7,,,
1993,1,1,2,,254,8.5,9.6,1.0,9.1,5.9,,1005.6,3.5,5.8,,,
1993,1,1,3,,290,4.2,5.2,1.1,9.1,6.4,,1006.5,4.0,5.8,,,
1993,1,1,4,,325,3.8,5.0,0.9,9.1,6.7,,1006.5,3.6,5.7,,,
1993,1,1,5,,290,2.7,3.2,1.0,8.3,6.9,,1007.2,3.6,5.7,,,
1993,1,1,6,,267,1.0,1.6,1.0,8.3,6.8,,1007.2,4.0,5.8,,,
1993,1,1,7,,356,1.2,1.9,1.0,9.1,7.3,,1007.5,4.1,5.8,,,
1993,1,1,8,,13,1.1,1.7,0.9,8.3,7.1,,1008.1,4.3,5.9,,,
1993,1,1,9,,22,1.9,2.6,0.9,9.1,7.2,,1007.8,3.8,5.9,,,
1993,1,1,10,,62,2.2,3.0,0.9,9.1,7.1,,1007.4,3.6,5.9,,,
1993,1,1,11,,64,2.0,2.8,0.8,10.0,7.0,,1008.0,3.3,5.9,,,
1993,1,1,12,,25,1.2,1.9,0.8,10.0,7.0,,1008.7,3.3,5.9,,,
1993,1,1,13,,297,7.0,8.3,0.7,9.1,7.1,,1009.4,3.4,5.9,,,
1993,1,1,14,,287,6.3,7.8,0.8,9.1,7.2,,1010.3,2.8,5.9,,,
1993,1,1,15,,304,12.4,15.2,0.8,9.1,5.8,,1011.3,1.4,5.8,,,
1993,1,1,16,,301,9.7,11.9,1.0,9.1,5.2,,1012.4,0.4,5.8,,,
1993,1,1,17,,307,11.8,14.7,0.9,9.1,4.9,,1012.9,-0.4,5.8,,,
1993,1,1,18,,317,10.5,13.4,0.9,9.1,4.9,,1014.1,-1.7,5.9,,,
1993,1,1,19,,318,10.4,12.8,0.9,10.0,4.5,,1014.5,-2.6,5.9,,,
1993,1,1,20,,315,8.5,11.7,0.8,10.0,4.7,,1015.8,-2.6,5.9,,,
1993,1,1,21,,324,8.9,12.2,0.7,10.0,4.5,,1016.8,-3.6,5.8,,,
1993,1,1,22,,307,9.8,12.1,0.6,3.8,4.1,,1018.0,-4.3,5.8,,,
1993,1,1,23,,322,7.3,9.3,0.6,3.7,4.1,,1019.5,-5.0,5.7,,,
1993,1,2,0,,312,8.7,11.9,0.6,3.6,4.0,,1020.9,-5.7,5.6,,,
1993,1,2,1,,331,6.9,9.4,0.5,10.0,4.0,,1021.9,-6.5,5.7,,,
1993,1,2,2,,339,5.4,7.3,0.5,9.1,4.3,,1022.5,-7.0,5.7,,,
1993,1,2,3,,350,5.4,7.6,0.5,10.0,4.2,,1023.1,-7.4,5.8,,,
1993,1,2,4,,345,5.1,7.2,0.4,3.7,4.0,,1023.5,-7.7,5.7,,,
1993,1,2,5,,332,4.7,6.5,0.4,3.7,4.0,,1023.6,-8.3,5.7,,,
1993,1,2,6,,297,6.0,8.3,0.4,3.7,4.1,,1024.0,-8.5,5.7,,,
1993,1,2,7,,297,4.1,5.9,0.3,10.0,4.8,,1024.2,-8.4,5.7,,,
1993,1,2,8,,262,6.4,8.7,0.3,9.1,4.7,,1024.2,-7.7,5.7,,,
1993,1,2,10,,270,8.6,11.4,0.5,3.7,4.0,,1023.8,-7.2,5.7,,,
1993,1,2,11,,273,7.2,10.2,0.5,4.3,4.1,,1024.9,-7.1,5.6,,,
1993,1,2,12,,266,8.1,9.4,0.4,3.7,4.0,,1025.2,-6.6,5.6,,,
1993,1,2,13,,296,6.1,7.9,0.4,4.5,4.3,,1026.6,-6.5,5.6,,,
1993,1,2,14,,305,5.3,8.0,0.4,4.2,4.3,,1027.4,-5.7,5.6,,,
1993,1,2,15,,330,9.6,12.0,0.3,4.0,3.9,,1028.8,-6.1,5.6,,,
1993,1,2,16,,336,11.5,14.1,0.6,3.7,3.7,,1029.7,-6.6,5.6,,,
1993,1,2,17,,326,12.1,14.3,0.7,3.8,3.8,,1029.8,-6.4,5.6,,,
1993,1,2,18,,342,10.0,13.3,0.6,3.8,3.8,,1030.2,-6.7,5.6,,,
1993,1,2,19,,338,7.6,10.2,0.5,3.7,3.6,,1030.5,-6.5,5.7,,,
1993,1,2,20,,347,7.1,8.9,0.4,3.6,3.7,,1031.4,-6.3,5.6,,,
1993,1,2,21,,335,7.8,10.0,0.4,3.7,3.7,,1032.1,-6.3,5.6,,,
1993,1,2,22,,334,8.0,11.1,0.3,3.4,3.7,,1033.4,-6.3,5.6,,,
1993,1,2,23,,333,9.1,10.6,0.3,3.4,3.7,,1033.8,-6.4,5.6,,,
1993,1,3,0,,342,7.3,9.6,0.3,3.2,3.5,,1034.7,-6.5,5.6,,,
1993,1,3,1,,335,7.8,10.2,0.3,3.0,3.5,,1036.0,-7.0,5.6,,,
1993,1,3,2,,345,8.1,10.7,0.3,3.2,3.4,,1036.9,-7.7,5.6,,,
1993,1,3,3,,355,9.9,12.5,0.4,3.4,3.5,,1037.7,-8.3,5.6,,,
1993,1,3,4,,5,7.5,9.2,0.3,3.4,3.5,,1038.5,-8.9,5.6,,,
1993,1,3,5,,345,6.2,7.8,0.3,3.3,3.8,,1039.1,-9.0,5.6,,,
1993,1,3,6,,6,6.2,7.7,0.3,3.3,3.9,,1039.2,-9.2,5.6,,,
1993,1,3,7,,5,5.8,7.3,0.3,10.0,4.0,,1039.2,-9.0,5.5,,,
1993,1,3,8,,354,4.6,6.5,0.3,3.4,3.9,,1039.7,-9.0,5.5,,,
1993,1,3,9,,4,4.1,5.7,0.2,3.4,4.1,,1039.3,-9.1,5.5,,,
1993,1,3,10,,31,4.4,5.9,0.2,11.1,4.5,,1039.7,-8.7,5.5,,,
1993,1,3,11,,35,2.5,3.9,0.2,9.1,4.7,,1040.7,-8.1,5.5,,,
1993,1,3,12,,67,2.5,4.0,0.2,10.0,4.6,,1040.1,-7.8,5.5,,,
1993,1,3,13,,60,1.8,3.2,0.2,10.0,4.6,,1040.8,-7.4,5.5,,,
1993,1,3,14,,78,1.3,2.8,0.2,9.1,4.8,,1041.2,-6.9,5.5,,,
1993,1,3,15,,98,2.4,3.5,0.3,10.0,5.4,,1041.0,-5.9,5.5,,,
1993,1,3,16,,170,3.6,5.0,0.2,10.0,5.3,,1040.8,-4.2,5.5,,,
1993,1,3,17,,167,4.6,6.1,0.3,9.1,5.8,,1039.3,-3.4,5.1,,,
1993,1,3,18,,227,5.0,9.4,0.3,9.1,4.6,,1038.2,-2.1,5.1,,,
1993,1,3,19,,284,2.8,3.6,0.3,9.1,4.1,,1037.6,-3.5,4.9,,,
1993,1,3,20,,224,5.0,6.8,0.4,3.4,4.0,,1036.4,-2.4,5.5,,,
1993,1,3,21,,192,9.5,12.1,0.5,3.6,3.9,,1035.0,-0.6,5.5,,,
1993,1,3,22,,192,9.8,11.4,0.8,4.2,4.1,,1034.5,0.7,5.5,,,
1993,1,3,23,,194,11.7,14.1,1.1,5.0,4.4,,1033.4,1.3,5.5,,,
1993,1,4,0,,186,12.5,14.5,1.2,5.3,4.6,,1032.9,2.0,5.5,,,
1993,1,4,1,,184,13.4,16.0,1.6,5.6,5.0,,1031.5,2.7,5.5,,,
1993,1,4,2,,185,14.2,17.0,1.8,6.2,5.2,,1030.3,3.3,5.5,,,
1993,1,4,3,,193,14.0,17.3,2.1,6.7,5.3,,1029.7,3.9,5.5,,,
1993,1,4,4,,194,14.6,17.2,2.2,7.1,5.5,,1028.3,4.1,5.5,,,
1993,1,4,5,,202,13.6,16.6,2.1,7.1,5.5,,1027.3,4.6,5.5,,,
1993,1,4,6,,201,12.8,15.4,2.1,7.1,5.5,,1025.8,4.9,5.6,,,
1993,1,4,7,,213,13.6,16.6,2.4,7.1,5.7,,1025.2,5.2,5.6,,,
