YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
83 01 01 00 243 04.9 07.2 00.60 08.30 07.10 999 1024.0  02.9  07.1 999.0 99.0
83 01 01 01 228 04.0 05.0 00.50 07.70 06.80 999 1023.1  02.8  07.2 999.0 99.0
83 01 01 02 243 04.7 05.6 00.50 07.70 06.80 999 1022.7  03.0  07.3 999.0 99.0
83 01 01 03 244 05.5 06.4 00.50 07.70 06.40 999 1021.7  03.3  07.4 999.0 99.0
83 01 01 04 250 05.5 06.4 00.50 08.30 06.10 999 1020.6  03.1  07.4 999.0 99.0
83 01 01 05 263 08.8 10.7 00.50 07.70 04.50 999 1020.2  00.5  07.5 999.0 99.0
83 01 01 06 269 08.0 10.0 00.70 03.60 04.00 999 1019.8  00.3  07.5 999.0 99.0
83 01 01 07 254 07.6 09.3 00.60 03.70 03.90 999 1019.6  00.8  07.5 999.0 99.0
83 01 01 08 252 07.4 09.1 00.60 04.00 04.00 999 1019.4  01.3  07.3 999.0 99.0
83 01 01 09 266 07.1 08.9 00.60 04.00 04.20 999 1019.2  01.1  07.2 999.0 99.0
83 01 01 10 274 07.1 08.9 00.60 03.80 04.00 999 1018.8  01.1  07.2 999.0 99.0
83 01 01 11 281 08.2 10.4 00.60 04.00 04.00 999 1018.9  00.9  07.1 999.0 99.0
83 01 01 12 276 07.5 09.0 00.60 08.30 04.00 999 1019.4  00.5  07.2 999.0 99.0
83 01 01 13 271 06.2 07.5 00.60 08.30 04.30 999 1019.8  00.5  07.2 999.0 99.0
83 01 01 14 262 07.1 08.7 00.60 07.70 04.20 999 1019.9  00.9  07.3 999.0 99.0
83 01 01 15 254 06.8 08.3 00.60 08.30 04.20 999 1019.9  01.5  07.4 999.0 99.0
83 01 01 16 255 07.9 09.6 00.60 03.70 03.90 999 1018.7  01.9  07.5 999.0 99.0
83 01 01 17 253 07.8 09.6 00.60 03.70 03.90 999 1017.3  02.2  07.5 999.0 99.0
83 01 01 18 256 06.9 08.9 00.70 04.00 04.00 999 1016.5  02.6  07.5 999.0 99.0
83 01 01 19 244 08.2 10.3 00.80 04.00 04.00 999 1016.0  03.0  07.4 999.0 99.0
83 01 01 20 243 07.4 09.1 00.70 04.30 04.10 999 1015.8  03.3  07.3 999.0 99.0
83 01 01 21 251 08.4 10.9 00.70 04.30 04.30 999 1015.9  03.9  07.2 999.0 99.0
83 01 01 22 256 08.1 10.0 00.80 04.30 04.20 999 1016.5  04.1  07.3 999.0 99.0
83 01 01 23 264 08.8 10.6 00.80 04.50 04.30 999 1016.7  04.0  07.2 999.0 99.0
83 01 02 00 259 10.0 12.5 00.90 03.80 04.20 999 1016.8  04.0  07.2 999.0 99.0
83 01 02 01 256 09.9 13.0 01.00 10.00 04.20 999 1016.8  04.1  07.3 999.0 99.0
83 01 02 02 256 09.9 13.1 01.10 04.00 04.30 999 1015.9  03.7  07.6 999.0 99.0
83 01 02 03 258 09.4 12.6 01.10 09.10 04.50 999 1016.1  03.7  07.7 999.0 99.0
83 01 02 04 255 10.1 12.7 01.00 10.00 04.40 999 1016.0  03.4  07.7 999.0 99.0
83 01 02 05 252 09.0 11.6 01.00 10.00 04.30 999 1015.5  02.8  07.7 999.0 99.0
83 01 02 06 257 09.5 11.9 00.90 10.00 04.40 999 1015.0  02.8  07.7 999.0 99.0
83 01 02 07 252 09.6 12.0 01.00 04.50 04.30 999 1015.1  02.9  07.7 999.0 99.0
83 01 02 08 246 11.0 13.8 01.10 04.80 04.20 999 1015.7  02.8  07.6 999.0 99.0
83 01 02 09 248 10.3 13.3 01.20 05.00 04.40 999 1015.2  02.7  07.6 999.0 99.0
83 01 02 10 254 09.6 12.2 01.20 05.30 04.40 999 1015.4  02.5  07.6 999.0 99.0
83 01 02 11 258 09.4 11.8 01.20 05.30 04.50 999 1015.5  02.5  07.6 999.0 99.0
83 01 02 12 264 10.0 12.0 01.20 05.30 04.50 999 1015.6  02.4  07.5 999.0 99.0
83 01 02 13 260 08.8 11.2 01.10 05.00 04.30 999 1016.0  02.7  07.5 999.0 99.0
83 01 02 14 259 09.2 11.3 01.00 05.00 04.20 999 1016.6  03.1  07.5 999.0 99.0
83 01 02 15 257 08.6 10.6 01.00 04.80 04.20 999 1016.3  03.1  07.5 999.0 99.0
83 01 02 16 255 07.8 09.4 00.90 04.00 04.20 999 1015.7  03.5  07.5 999.0 99.0
83 01 02 17 252 08.2 10.1 00.90 04.00 04.10 999 1014.4  04.0  07.6 999.0 99.0
83 01 02 18 252 07.6 09.3 00.80 04.50 04.10 999 1013.5  04.5  07.6 999.0 99.0
83 01 02 19 253 07.5 09.2 00.70 04.20 04.20 999 1013.0  04.8  07.5 999.0 99.0
83 01 02 20 242 07.5 09.3 00.80 04.50 04.10 999 1012.7  05.1  07.4 999.0 99.0
83 01 02 21 238 07.3 09.6 00.80 04.20 04.00 999 1013.3  05.3  07.3 999.0 99.0
