#YY_#yr,MM_mo,DD_dy,hh_hr,mm_mn,WDIR_degT,WSPD_m/s,GST_m/s,WVHT_m,DPD_sec,APD_sec,MWD_deg,PRES_hPa,ATMP_degC,WTMP_degC,DEWP_degC,VIS_nmi,TIDE_ft
2009,12,31,23,50,15,3.2,4.5,0.67,4.55,4.34,178,1019.9,-1.2,4.7,,,
2010,1,1,0,50,3,4.6,5.4,0.57,4.35,4.41,172,1019.2,-0.6,4.8,,,
2010,1,1,1,50,355,4.5,5.6,0.56,4.35,4.19,178,1018.7,-0.4,4.8,,,
2010,1,1,2,50,351,6.1,7.1,0.54,4.17,4.04,178,1017.7,-0.7,5.0,,,
2010,1,1,3,50,356,6.5,7.5,0.57,13.79,3.8,7,1016.5,-0.8,5.1,,,
2010,1,1,4,50,346,6.5,7.7,0.53,13.79,3.86,326,1015.9,-1.1,5.3,,,
2010,1,1,5,50,351,7.2,8.5,0.55,12.12,3.77,88,1014.7,-1.4,5.5,,,
2010,1,1,6,50,349,7.6,8.9,0.54,11.43,3.81,119,1014.8,-1.6,5.5,,,
2010,1,1,7,50,336,7.7,8.9,0.57,12.9,3.8,61,1014.3,-1.7,5.5,,,
2010,1,1,8,50,332,7.3,8.6,0.56,14.81,4.01,52,1013.5,-1.6,5.5,,,
2010,1,1,9,50,332,6.7,7.9,0.58,12.9,4.28,132,1013.3,-1.8,5.5,,,
2010,1,1,10,50,331,6.8,7.8,0.67,5.0,4.59,93,1012.9,-1.4,5.5,,,
2010,1,1,11,50,321,5.9,6.9,0.76,5.26,4.83,96,1012.8,-1.1,5.6,,,
2010,1,1,12,50,338,6.3,7.7,0.86,5.56,5.04,101,1012.3,-1.1,5.7,,,
2010,1,1,13,50,324,5.4,6.6,1.07,6.67,5.46,85,1012.3,-0.7,5.7,,,
2010,1,1,14,50,337,6.2,7.4,1.37,6.67,5.85,95,1011.7,-0.2,5.8,,,
2010,1,1,15,50,75,9.9,12.0,1.52,7.14,5.77,90,1010.2,3.7,5.9,,,
2010,1,1,16,50,80,9.3,10.9,1.95,7.69,5.48,90,1009.4,3.3,6.0,,,
2010,1,1,17,50,66,9.6,11.0,2.15,7.69,5.63,84,1009.3,3.0,6.2,,,
2010,1,1,18,50,60,10.3,12.4,2.18,8.33,5.77,94,1008.6,2.8,6.3,,,
2010,1,1,19,50,36,9.2,10.6,1.96,8.33,5.53,90,1009.5,1.4,6.5,,,
2010,1,1,20,50,30,9.5,10.7,1.91,7.69,5.49,93,1009.5,1.0,6.5,,,
2010,1,1,21,50,25,8.7,10.3,2.09,7.69,5.85,84,1009.6,0.7,6.4,,,
2010,1,1,22,50,21,9.3,10.7,2.09,8.33,5.92,83,1009.4,0.2,6.2,,,
2010,1,1,23,50,21,10.1,11.7,2.28,7.69,6.04,89,1009.2,-0.8,6.2,,,
2010,1,2,0,50,20,10.5,12.2,2.13,8.33,5.88,84,1008.2,-1.2,6.2,,,
2010,1,2,1,50,22,10.7,12.5,2.09,9.09,5.63,100,1007.4,-1.6,6.1,,,
2010,1,2,2,50,22,10.5,12.4,2.09,8.33,5.63,110,1006.6,-1.9,6.0,,,
2010,1,2,3,50,19,10.2,12.5,2.15,8.33,5.84,96,1006.3,-2.3,6.0,,,
2010,1,2,4,50,23,10.5,12.7,2.12,8.33,5.71,99,1005.3,-2.7,6.0,,,
2010,1,2,5,50,18,11.0,13.1,2.42,9.09,6.15,100,1004.3,-3.0,6.0,,,
2010,1,2,6,50,15,11.0,13.0,2.37,9.09,6.17,97,1004.3,-2.9,6.0,,,
2010,1,2,7,50,18,11.0,13.4,2.5,9.09,6.45,89,1004.2,-2.9,5.9,,,
2010,1,2,8,50,18,11.2,13.5,2.41,10.0,6.39,68,1003.5,-2.9,5.9,,,
2010,1,2,9,50,11,11.4,14.3,2.5,9.09,6.31,86,1002.6,-2.9,5.7,,,
2010,1,2,10,50,10,10.8,13.0,2.58,10.0,6.35,85,1002.2,-2.8,5.7,,,
2010,1,2,11,50,7,10.9,13.4,2.37,9.09,6.18,92,1001.6,-3.2,5.7,,,
2010,1,2,12,50,6,12.7,15.8,2.45,9.09,6.18,99,1000.7,-3.5,5.7,,,
2010,1,2,13,50,6,12.3,14.8,2.58,10.0,6.15,101,1000.1,-3.4,5.7,,,
2010,1,2,14,50,6,12.1,14.2,2.38,10.0,6.16,100,999.6,-3.5,5.7,,,
2010,1,2,15,50,3,12.2,14.8,2.14,9.09,5.82,95,998.3,-3.4,5.7,,,
2010,1,2,16,50,357,11.9,14.4,2.24,10.0,6.0,86,997.2,-3.3,5.8,,,
2010,1,2,17,50,354,12.1,15.4,2.11,10.0,5.77,89,996.3,-3.2,5.8,,,
2010,1,2,18,50,348,12.2,14.6,2.09,9.09,5.67,80,995.3,-3.0,5.8,,,
2010,1,2,19,50,345,12.5,15.2,2.04,9.09,5.91,80,994.8,-2.6,5.7,,,
2010,1,2,20,50,329,10.8,13.2,1.69,9.09,5.62,74,994.3,-2.6,5.7,,,
2010,1,2,21,50,337,12.8,15.3,1.8,10.0,6.03,59,993.3,-2.2,5.5,,,
2010,1,2,22,50,324,12.5,15.6,1.65,10.0,5.79,60,992.2,-2.7,5.4,,,
2010,1,2,23,50,318,13.0,15.4,1.6,10.0,5.39,41,990.7,-2.8,5.4,,,
2010,1,3,0,50,317,12.6,15.6,1.83,10.0,6.19,77,989.1,-3.0,5.3,,,
2010,1,3,1,50,317,12.3,15.1,1.39,10.0,5.09,94,986.8,-2.9,5.3,,,
2010,1,3,2,50,316,13.3,16.3,1.35,10.0,4.56,77,984.9,-2.8,5.3,,,
2010,1,3,3,50,308,12.9,16.8,1.25,10.81,4.58,88,983.1,-3.5,5.3,,,
2010,1,3,4,50,305,13.0,17.2,1.24,10.0,4.1,105,981.6,-3.8,5.4,,,
2010,1,3,5,50,306,13.4,16.8,1.26,10.81,4.07,106,980.3,-3.9,5.4,,,
2010,1,3,6,50,307,13.6,16.6,1.18,10.0,4.04,82,979.7,-3.5,5.4,,,
2010,1,3,7,50,310,14.0,18.1,1.09,3.57,3.67,307,979.3,-3.5,5.3,,,
2010,1,3,8,50,309,13.7,17.7,1.11,10.0,3.73,58,979.2,-3.8,5.3,,,
2010,1,3,9,50,314,12.6,16.7,1.02,10.0,3.57,76,979.4,-4.0,5.2,,,
2010,1,3,10,50,322,13.1,15.9,0.94,10.0,3.69,72,979.8,-3.5,5.1,,,
2010,1,3,11,50,329,11.3,14.3,1.05,10.81,4.05,333,980.6,-2.7,5.0,,,
2010,1,3,12,50,335,10.5,12.2,1.15,13.79,4.63,302,981.4,-1.4,5.0,,,
2010,1,3,13,50,343,11.2,12.9,1.18,12.9,4.83,83,982.3,0.1,5.0,,,
2010,1,3,14,50,354,10.5,12.3,1.17,12.9,4.74,59,983.5,0.8,5.1,,,
2010,1,3,15,50,13,11.8,13.7,1.09,12.12,4.36,99,983.6,2.6,5.1,,,
2010,1,3,16,50,342,8.9,10.4,1.3,12.9,4.36,85,983.8,1.3,5.2,,,
2010,1,3,17,50,339,10.0,11.7,1.27,12.12,4.68,79,984.3,0.9,5.4,,,
2010,1,3,18,50,336,9.2,10.9,1.21,11.43,4.72,65,985.1,0.9,5.5,,,
2010,1,3,19,50,349,9.1,10.9,1.27,11.43,5.19,73,986.1,2.4,5.5,,,
2010,1,3,20,50,332,9.1,10.5,1.28,11.43,4.98,73,987.0,1.3,5.5,,,
2010,1,3,21,50,333,10.0,12.3,1.34,11.43,5.5,72,987.8,1.6,5.5,,,
2010,1,3,22,50,333,9.4,11.4,1.48,10.81,5.89,57,988.8,1.8,5.5,,,
2010,1,3,23,50,343,10.7,13.0,1.35,10.81,5.44,82,989.5,2.2,5.5,,,
2010,1,4,0,50,341,9.7,12.2,1.41,12.12,5.42,106,989.9,2.7,5.5,,,
2010,1,4,1,50,323,8.9,10.7,1.39,12.9,6.15,111,990.1,1.8,5.5,,,
2010,1,4,2,50,325,9.1,11.5,1.25,11.43,5.61,102,990.4,1.9,5.5,,,
2010,1,4,3,50,322,10.1,12.4,1.12,12.12,5.19,97,990.4,1.9,5.6,,,
2010,1,4,4,50,324,9.8,12.5,1.06,12.12,4.79,105,990.5,2.1,5.7,,,
2010,1,4,5,50,323,10.4,12.3,1.03,12.12,4.82,89,990.7,2.2,5.9,,,
2010,1,4,6,50,320,9.3,11.3,1.06,11.43,4.92,110,991.5,2.6,5.9,,,
2010,1,4,7,50,315,9.2,11.5,1.07,11.43,5.65,84,991.7,2.3,6.0,,,
2010,1,4,8,50,321,11.8,14.1,1.07,11.43,4.82,87,991.6,2.2,5.9,,,
2010,1,4,9,50,315,11.7,14.4,1.08,11.43,4.68,287,992.2,1.9,5.9,,,
2010,1,4,10,50,318,12.6,15.6,1.19,10.0,5.01,103,992.5,1.6,5.7,,,
2010,1,4,11,50,318,12.3,14.7,1.18,10.81,4.58,47,993.1,1.3,5.5,,,
2010,1,4,12,50,319,10.9,13.4,1.19,13.79,5.79,314,994.0,0.8,5.4,,,
2010,1,4,13,50,319,10.1,12.7,1.0,12.9,5.24,70,995.1,0.7,5.3,,,
2010,1,4,14,50,320,9.9,12.9,0.9,12.9,4.86,101,995.8,1.2,5.2,,,
2010,1,4,15,50,328,9.7,12.7,0.92,12.12,4.53,106,996.0,1.1,5.2,,,
2010,1,4,16,50,323,9.9,12.4,0.84,12.12,4.2,117,995.6,1.4,5.3,,,
2010,1,4,17,50,329,8.3,9.8,0.86,12.12,4.67,62,995.7,1.3,5.4,,,
2010,1,4,18,50,321,7.0,8.8,0.75,12.12,4.66,96,996.5,1.6,5.4,,,
2010,1,4,19,50,315,6.5,8.5,0.72,12.12,4.54,357,997.3,1.3,5.5,,,
