YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2003 01 01 00  16  1.6  2.5  1.51  7.14  5.44 999 1012.0   1.9   5.2   1.8 99.0 99.00
2003 01 01 01 305  3.2  3.9  1.47  7.14  5.35 999 1011.7   1.7   5.2   1.6 99.0 99.00
2003 01 01 02 308  1.9  2.6  1.59  7.69  5.79 999 1011.1   2.0   5.3   1.9 99.0 99.00
2003 01 01 03 252  2.7  3.4  1.41  7.14  5.52 999 1010.0   2.3   5.3   2.2 99.0 99.00
2003 01 01 04 236  4.6  5.6  1.45  7.14  5.54 999 1009.1   2.9   5.4   2.8 99.0 99.00
2003 01 01 05 236  7.9 10.0  1.40  7.14  5.43 999 1009.0   3.3   5.4   3.2 99.0 99.00
2003 01 01 06 238  6.7  7.8  1.34  7.14  5.20 999 1008.5   2.9   5.4   2.8 99.0 99.00
2003 01 01 07 242  6.2  7.5  1.44  7.14  5.48 999 1009.7   3.3   5.4   2.7 99.0 99.00
2003 01 01 08 237  5.1  6.2  1.34  7.14  5.54 999 1009.6   3.6   5.4   2.8 99.0 99.00
2003 01 01 09 250  6.3  8.0  1.20  7.69  5.14 999 1010.0   3.8   5.4   2.9 99.0 99.00
2003 01 01 10 262  5.3  6.3  1.20  7.14  4.86 999 1011.0   3.4   5.5   2.5 99.0 99.00
2003 01 01 11 291  3.4  4.5  1.11  6.67  5.10 999 1012.1   3.3   5.6   2.3 99.0 99.00
2003 01 01 12 299  3.1  3.8  1.00  7.14  4.90 999 1013.2   2.7   5.6   1.8 99.0 99.00
2003 01 01 13 296  5.8  6.7  0.95  7.14  5.04 999 1014.1   3.3   5.5   1.4 99.0 99.00
2003 01 01 14 283  4.6  5.1  0.97  7.14  5.31 999 1015.0   3.2   5.5   0.1 99.0 99.00
2003 01 01 15 329  3.0  3.8  0.84  7.14  5.33 999 1015.7   3.3   5.6   0.0 99.0 99.00
2003 01 01 16 339  5.8  7.3  0.82  6.67  5.54 999 1015.8   4.3   5.7  -1.0 99.0 99.00
2003 01 01 17 339  6.9  8.5  0.80  7.14  5.65 999 1015.5   3.9   5.7  -1.4 99.0 99.00
2003 01 01 18 346  6.6  7.6  0.72  6.67  4.83 999 1015.4   3.7   5.4  -1.8 99.0 99.00
2003 01 01 19 354  5.6  7.3  0.68  7.14  5.73 999 1016.2   3.8   5.4  -1.8 99.0 99.00
2003 01 01 20  29  5.2  6.2  0.63  7.14  5.75 999 1016.2   3.5   5.4  -0.4 99.0 99.00
2003 01 01 21  28  6.6  7.7  0.63  7.14  6.00 999 1016.0   3.3   5.5  -1.9 99.0 99.00
2003 01 01 22  23  7.5  8.8  0.71  7.69  4.31 999 1015.5   3.0   5.5  -2.3 99.0 99.00
2003 01 01 23  20  8.6 10.1  0.82  8.33  4.07 999 1015.8   2.7   5.5  -2.9 99.0 99.00
2003 01 02 00  25  8.8 10.5  0.91  3.45  3.92 999 1015.7   2.3   5.6  -2.5 99.0 99.00
2003 01 02 01  37  9.5 10.9  0.97  3.57  4.03 999 1015.9   1.8   5.7  -1.5 99.0 99.00
2003 01 02 02  34 10.7 12.8  1.03  4.00  3.93 999 1015.0   0.9   5.8  -2.4 99.0 99.00
2003 01 02 03  28 11.5 13.6  1.12  4.17  4.02 999 1014.0   0.5   5.8  -2.0 99.0 99.00
2003 01 02 04  33 12.2 14.5  1.23  4.35  4.00 999 1013.9  -0.1   5.8  -3.4 99.0 99.00
2003 01 02 05  36 12.6 15.5  1.51  4.55  4.18 999 1012.8  -0.6   5.9  -3.6 99.0 99.00
2003 01 02 06  29  9.5 11.2  1.53  5.00  4.22 999 1012.1  -1.3   5.9  -4.0 99.0 99.00
2003 01 02 07  21 11.9 14.5  1.57  5.26  4.20 999 1011.4  -1.5   5.8  -3.1 99.0 99.00
2003 01 02 08  18 13.6 15.9  1.64  5.26  4.33 999 1011.8  -2.3   5.7  -3.9 99.0 99.00
2003 01 02 09  10 15.3 18.2  2.02  5.88  4.42 999 1010.9  -3.6   5.6  -5.5 99.0 99.00
2003 01 02 10  10 14.2 17.8  2.20  6.25  4.78 999 1011.8  -5.0   5.5  -5.9 99.0 99.00
2003 01 02 11   7 15.2 18.3  2.31  5.56  4.82 999 1011.9  -5.9   5.6  -6.9 99.0 99.00
2003 01 02 12   9 14.0 17.4  2.04  5.26  4.74 999 1013.0  -5.8   5.7  -8.0 99.0 99.00
2003 01 02 13  11 13.7 17.4  1.85  5.00  4.68 999 1014.6  -5.8   5.8  -8.6 99.0 99.00
2003 01 02 14   5 13.4 16.1  2.00  5.26  4.75 999 1016.0  -6.3   5.8  -8.3 99.0 99.00
2003 01 02 15   6 12.8 16.2  1.92  7.69  4.94 999 1017.0  -5.9   5.8  -9.2 99.0 99.00
2003 01 02 16   6 11.9 14.5  1.89  7.69  4.98 999 1017.2  -5.6   5.8  -9.2 99.0 99.00
2003 01 02 17  11 11.5 14.2  1.83  7.14  4.87 999 1017.0  -5.1   5.7  -9.5 99.0 99.00
2003 01 02 18   4 11.6 14.1  1.69  7.69  4.97 999 1017.0  -4.2   5.7  -9.3 99.0 99.00
2003 01 02 19   7 11.0 13.6  1.61  8.33  5.02 999 1018.0  -3.1   5.6  -9.2 99.0 99.00
2003 01 02 20  10 10.3 12.2  1.61  8.33  5.01 999 1019.4  -2.4   5.6  -8.8 99.0 99.00
2003 01 02 21   8 11.3 14.2  1.48  8.33  4.94 999 1020.8  -2.0   5.6  -8.7 99.0 99.00
2003 01 02 22  10 11.7 14.1  1.64  8.33  4.92 999 1021.7  -2.1   5.6  -8.6 99.0 99.00
2003 01 02 23  18 11.9 14.5  1.70  8.33  4.86 999 1022.7  -1.9   5.6  -8.3 99.0 99.00
2003 01 03 00  12 11.8 14.3  1.71  7.69  4.81 999 1023.7  -2.2   5.6  -8.4 99.0 99.00
2003 01 03 01  19 12.3 14.2  1.75  8.33  4.71 999 1023.7  -2.5   5.7  -8.7 99.0 99.00
2003 01 03 02  28 10.8 12.5  1.82  7.69  4.84 999 1024.3  -2.7   5.6  -8.5 99.0 99.00
2003 01 03 03  28 10.8 12.8  1.86  6.67  5.02 999 1025.0  -3.1   5.6  -8.8 99.0 99.00
2003 01 03 04  30 10.1 12.2  1.88  5.56  5.22 999 1025.4  -3.9   5.6  -9.6 99.0 99.00
2003 01 03 05  36  9.3 11.9  1.75  6.67  5.14 999 1025.4  -4.0   5.6  -8.9 99.0 99.00
2003 01 03 06  43  8.6 10.9  1.84  8.33  5.30 999 1025.6  -4.3   5.5  -8.8 99.0 99.00
2003 01 03 07  34  7.9 10.2  1.78 11.11  5.62 999 1026.8  -4.5   5.4  -9.0 99.0 99.00
2003 01 03 08  32  7.0  9.1  1.65 11.11  5.80 999 1027.2  -4.6   5.4  -8.7 99.0 99.00
2003 01 03 09  36  6.8  8.9  1.77 11.11  6.11 999 1027.1  -4.6   5.4  -8.6 99.0 99.00
2003 01 03 10  27  7.4  8.7  2.03 11.11  6.34 999 1026.6  -4.7   5.4  -8.5 99.0 99.00
2003 01 03 11  21  7.7  9.4  1.96 10.00  6.32 999 1027.1  -4.8   5.4  -9.0 99.0 99.00
2003 01 03 12  25  8.8 10.5  1.76  9.09  5.98 999 1027.0  -4.6   5.4  -8.2 99.0 99.00
2003 01 03 13  24  9.0 11.0  1.83 10.00  5.80 999 1027.3  -4.5   5.4  -7.9 99.0 99.00
2003 01 03 14  28  9.0 10.7  1.83 10.00  5.80 999 1027.4  -3.9   5.5  -7.2 99.0 99.00
2003 01 03 15  23  9.0 11.0  1.68  9.09  5.38 999 1026.9  -3.7   5.6  -6.7 99.0 99.00
2003 01 03 16  32 10.0 11.9  1.71  9.09  5.24 999 1025.2  -3.6   5.7  -6.6 99.0 99.00
2003 01 03 17  32  9.9 12.0  1.77 11.11  5.17 999 1023.5  -2.7   5.9  -5.5 99.0 99.00
2003 01 03 18  34 11.0 13.0  1.81 10.00  5.11 999 1021.6  -2.0   6.0  -5.1 99.0 99.00
2003 01 03 19  28  9.4 10.9  1.83 10.00  5.20 999 1022.4  -1.9   5.7  -5.8 99.0 99.00
2003 01 03 20  46 10.0 11.9  1.98 10.00  5.31 999 1022.0  -0.7   5.6  -4.1 99.0 99.00
2003 01 03 21  50 11.0 13.0  2.05 10.00  5.46 999 1022.0   0.3   5.5  -2.5 99.0 99.00
2003 01 03 22  42 11.3 13.6  2.22  6.25  5.42 999 1020.4   0.6   5.4  -1.8 99.0 99.00
2003 01 03 23  46 11.5 14.1  2.44  5.88  5.44 999 1019.8   0.1   5.4  -2.8 99.0 99.00
2003 01 04 00  30 12.6 15.3  2.50  6.25  5.47 999 1018.5   0.0   5.4  -3.1 99.0 99.00
2003 01 04 01  27 12.4 14.6  2.44  6.67  5.38 999 1018.2  -0.8   5.4  -2.6 99.0 99.00
2003 01 04 02  30 12.9 15.3  2.44  7.69  5.43 999 1016.8  -1.2   5.5  -1.9 99.0 99.00
2003 01 04 03  33 13.7 15.8  2.65  6.67  5.49 999 1015.4  -1.1   5.5  -1.5 99.0 99.00
2003 01 04 04  31 13.5 16.2  2.62  7.69  5.69 999 1014.1  -0.9   5.7  -1.4 99.0 99.00
2003 01 04 05  31 14.4 16.9  3.08  8.33  6.09 999 1011.8  -0.5   5.8  -0.7 99.0 99.00
2003 01 04 06  31 13.8 16.9  3.29  8.33  6.35 999 1011.6  -0.6   5.9  -0.9 99.0 99.00
2003 01 04 07  24 14.8 17.3  3.33  9.09  6.40 999 1010.3  -0.9   5.7  -1.1 99.0 99.00
2003 01 04 08  22 15.4 17.8  3.73 10.00  6.65 999 1008.5  -1.0   5.5  -1.4 99.0 99.00
2003 01 04 09  17 16.3 19.1  4.30 10.00  7.11 999 1006.6  -1.0   5.3  -1.4 99.0 99.00
2003 01 04 10  21 15.1 20.2  4.02 10.00  6.76 999 1006.0  -0.8   5.2  -1.4 99.0 99.00
2003 01 04 11  27 14.8 18.0  4.54 10.00  7.46 999 1005.6  -0.5   5.2  -0.9 99.0 99.00
2003 01 04 12  19 15.0 18.2  5.09 10.00  7.81 999 1004.2  -1.2   5.2  -1.5 99.0 99.00
2003 01 04 13  18 15.8 19.3  5.04 10.00  7.83 999 1004.3  -1.4   5.3  -1.7 99.0 99.00
2003 01 04 14  17 16.9 20.1  5.29 11.11  7.86 999 1003.7  -1.7   5.4  -2.1 99.0 99.00
2003 01 04 15  11 16.3 20.1  5.59 11.11  8.02 999 1003.2  -1.5   5.6  -2.2 99.0 99.00
2003 01 04 16  10 16.1 20.1  5.15 11.11  8.15 999 1002.5  -1.6   5.8  -2.4 99.0 99.00
2003 01 04 17   6 15.7 19.6  5.28 11.11  8.33 999 1001.8  -1.3   5.7  -2.4 99.0 99.00
2003 01 04 18  10 15.8 20.0  5.18 11.11  8.24 999 1001.2  -1.2   5.7  -2.7 99.0 99.00
2003 01 04 19   8 15.4 18.5  6.15 12.50  9.10 999 1001.4  -0.5   5.7  -2.4 99.0 99.00
2003 01 04 20 359 13.8 17.4  5.82 11.11  8.86 999 1002.6  -0.4   5.9  -2.8 99.0 99.00
2003 01 04 21 354 14.3 19.5  5.41 12.50  8.95 999 1003.6  -1.1   5.8  -3.2 99.0 99.00
2003 01 04 22 354 14.1 17.5  4.89 11.11  8.56 999 1004.6  -1.4   5.7  -3.3 99.0 99.00
2003 01 04 23 352 13.8 17.8  5.36 12.50  9.06 999 1005.2  -1.3   5.6  -2.9 99.0 99.00
2003 01 05 00 346 11.5 14.9  4.46 12.50  8.80 999 1006.5  -1.4   5.6  -2.7 99.0 99.00
2003 01 05 01 354 11.9 15.2  4.41 12.50  8.82 999 1007.0  -1.7   5.7  -3.0 99.0 99.00
2003 01 05 02 343 11.8 14.4  3.60 11.11  8.25 999 1007.4  -1.9   5.7  -3.2 99.0 99.00
2003 01 05 03 342 11.5 14.8  3.25 12.50  8.07 999 1007.8  -1.9   5.8  -3.2 99.0 99.00
2003 01 05 04 348 10.7 13.7  2.79 11.11  7.50 999 1008.3  -1.5   5.9  -3.6 99.0 99.00
2003 01 05 05 351 10.4 14.0  2.71 11.11  7.65 999 1008.4  -1.3   6.0  -3.9 99.0 99.00
2003 01 05 06 344  9.4 11.7  2.68 11.11  7.61 999 1009.3  -1.2   6.0  -4.2 99.0 99.00
2003 01 05 07 334  7.9  9.9  2.56 11.11  8.20 999 1010.6  -1.3   5.9  -4.1 99.0 99.00
2003 01 05 08 327  7.2  9.0  2.22 11.11  8.28 999 1011.7  -1.2   5.9  -4.5 99.0 99.00
2003 01 05 09 328  7.0  8.8  2.36 11.11  8.91 999 1012.3  -1.1   5.5  -4.5 99.0 99.00
2003 01 05 10 325  6.4  8.3  2.24 11.11  8.75 999 1013.3  -1.5   5.5  -4.8 99.0 99.00
2003 01 05 11 331  6.4  7.8  2.26 11.11  8.75 999 1014.1  -1.6   5.4  -5.0 99.0 99.00
2003 01 05 12 340  6.6  8.1  2.13 12.50  8.67 999 1015.1  -1.5   5.3  -5.1 99.0 99.00
2003 01 05 13   5  7.4  9.7  1.81 11.11  7.58 999 1016.1  -1.2   5.4  -4.8 99.0 99.00
2003 01 05 14 354  5.0  6.6  1.74 11.11  7.10 999 1017.7  -1.4   5.5  -5.2 99.0 99.00
2003 01 05 15  12  6.8  9.2  1.41 11.11  6.80 999 1017.4  -1.3   5.6  -5.1 99.0 99.00
2003 01 05 16  33  7.0  8.6  1.33 11.11  6.21 999 1017.0  -1.1   5.7  -5.4 99.0 99.00
2003 01 05 17  28  5.1  6.5  1.26 11.11  5.95 999 1017.2  -1.0   5.8  -5.5 99.0 99.00
2003 01 05 18  41  4.5  5.8  1.19 11.11  5.98 999 1017.0  -0.9   5.8  -5.4 99.0 99.00
2003 01 05 19  46  1.9  3.8  1.14 11.11  6.25 999 1017.5  -0.8   5.6  -5.6 99.0 99.00
2003 01 05 20  31  1.3  2.9  1.02 11.11  6.32 999 1018.1  -0.6   5.6  -5.7 99.0 99.00
2003 01 05 21 130  0.5  1.3  1.00 10.00  6.33 999 1018.2  -0.6   5.5  -5.7 99.0 99.00
2003 01 05 22 117  1.1  2.2  1.08 10.00  6.74 999 1018.3  -0.5   5.3  -5.2 99.0 99.00
2003 01 05 23  53  0.8  1.8  1.17 10.00  7.32 999 1018.7  -0.3   5.4  -5.1 99.0 99.00
2003 01 06 00 120  0.2  1.4  1.16 11.11  7.45 999 1018.4  -0.2   5.4  -4.9 99.0 99.00
2003 01 06 01  76  1.0  2.5  1.24 10.00  7.86 999 1018.5   0.0   5.3  -4.5 99.0 99.00
2003 01 06 02  67  1.9  2.9  1.03 11.11  7.58 999 1018.0   0.0   5.3  -4.1 99.0 99.00
2003 01 06 03  45  2.1  3.2  1.00 11.11  7.30 999 1017.6   0.3   5.3  -3.7 99.0 99.00
2003 01 06 04 328  5.1  6.6  0.83 11.11  6.83 999 1016.9   0.0   5.0  -3.5 99.0 99.00
2003 01 06 05 333  4.8  5.8  0.75 11.11  6.59 999 1016.5  -1.3   4.9  -2.4 99.0 99.00
2003 01 06 06 348  4.8  6.0  0.74 10.00  6.65 999 1016.0  -1.5   5.1  -2.0 99.0 99.00
2003 01 06 07 345  4.1  5.1  0.70 10.00  6.35 999 1015.8  -1.3   5.1  -2.2 99.0 99.00
2003 01 06 08 345  3.6  4.7  0.63 11.11  6.29 999 1015.4  -1.2   5.1  -2.6 99.0 99.00
2003 01 06 09 355  3.7  4.6  0.73 10.00  6.93 999 1014.4  -1.0   5.0  -2.6 99.0 99.00
2003 01 06 10  11  3.3  4.4  0.67 10.00  6.75 999 1014.3  -1.0   5.1  -2.8 99.0 99.00
2003 01 06 11  13  2.8  4.1  0.83 10.00  7.44 999 1014.6  -0.7   5.1  -2.5 99.0 99.00
2003 01 06 12 357  2.5  3.4  0.73 10.00  6.61 999 1014.6  -0.7   5.0  -2.5 99.0 99.00
2003 01 06 13 355  4.3  5.5  0.76 10.00  6.76 999 1014.4  -0.8   5.0  -2.2 99.0 99.00
2003 01 06 14 357  3.5  4.3  0.71  9.09  6.09 999 1014.3  -0.9   4.9  -2.7 99.0 99.00
2003 01 06 15   2  4.1  5.1  0.74 11.11  6.17 999 1014.0  -0.9   4.9  -2.5 99.0 99.00
2003 01 06 16 354  4.5  5.6  0.71 10.00  5.89 999 1012.9  -0.9   4.9  -2.2 99.0 99.00
