YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
82 02 16 23 350 06.6 09.2 00.60 07.70 04.40 999 1016.5  03.4  03.2 999.0 99.0
82 02 17 00 354 07.3 11.4 00.70 03.40 03.90 999 1017.9  01.9  03.2 999.0 99.0
82 02 17 01 344 12.0 15.9 00.90 03.80 03.80 999 1018.0  00.9  03.2 999.0 99.0
82 02 17 02 340 10.6 16.0 00.80 03.80 03.70 999 1019.0 -00.3  03.2 999.0 99.0
82 02 17 03 344 10.4 17.1 00.90 03.80 03.70 999 1019.7 -01.7  03.1 999.0 99.0
82 02 17 04 341 10.1 14.9 01.00 04.00 03.70 999 1020.5 -02.7  03.1 999.0 99.0
82 02 17 05 349 09.4 14.7 01.00 03.70 03.80 999 1020.2 -03.3  03.1 999.0 99.0
82 02 17 06 354 08.8 13.2 00.90 10.00 04.20 999 1021.8 -03.5  03.2 999.0 99.0
82 02 17 07 349 08.3 13.0 00.90 03.70 03.90 999 1022.2 -03.7  03.2 999.0 99.0
82 02 17 08 356 07.7 11.5 00.80 03.70 03.90 999 1022.4 -04.2  03.2 999.0 99.0
82 02 17 09 000 07.3 10.9 00.70 03.70 03.90 999 1022.6 -04.6  03.2 999.0 99.0
82 02 17 10 352 06.4 09.0 00.70 09.10 04.20 999 1023.4 -05.1  03.2 999.0 99.0
82 02 17 11 357 07.3 11.1 00.70 03.60 03.90 999 1023.3 -05.6  03.2 999.0 99.0
82 02 17 12 353 07.0 10.2 00.60 03.40 03.80 999 1024.5 -06.0  03.2 999.0 99.0
82 02 17 13 009 07.3 10.1 00.60 03.40 03.90 999 1025.2 -06.6  03.2 999.0 99.0
82 02 17 14 018 06.1 09.0 00.70 03.40 03.80 999 1026.1 -06.6  03.2 999.0 99.0
82 02 17 15 020 07.1 10.5 00.70 03.40 04.00 999 1026.6 -06.8  03.2 999.0 99.0
82 02 17 16 018 06.8 10.5 00.80 04.50 04.10 999 1026.3 -06.7  03.2 999.0 99.0
82 02 17 17 032 05.1 08.1 00.80 04.80 04.20 999 1026.3 -06.5  03.2 999.0 99.0
82 02 17 18 021 03.8 06.2 00.70 08.30 04.50 999 1026.2 -05.9  03.2 999.0 99.0
82 02 17 19 029 04.2 06.6 00.60 08.30 04.60 999 1026.0 -05.0  03.2 999.0 99.0
82 02 17 20 032 04.4 06.5 00.60 08.30 04.80 999 1025.6 -04.6  03.3 999.0 99.0
82 02 17 21 029 05.6 07.6 99.00 99.00 99.00 999 1025.4 -04.0  03.3 999.0 99.0
82 02 17 22 031 05.9 07.7 00.50 08.30 04.70 999 1025.7 -03.7  03.2 999.0 99.0
82 02 17 23 039 06.2 08.7 00.50 09.10 04.20 999 1026.6 -03.4  03.2 999.0 99.0
82 02 18 00 052 06.2 08.2 00.50 05.30 04.30 999 1026.5 -03.3  03.2 999.0 99.0
82 02 18 01 049 07.0 09.6 00.60 05.30 04.30 999 1027.2 -03.2  03.2 999.0 99.0
82 02 18 02 043 07.7 10.8 00.70 03.40 04.00 999 1027.5 -03.1  03.2 999.0 99.0
82 02 18 03 047 07.8 10.4 00.80 04.30 04.10 999 1027.5 -03.3  03.2 999.0 99.0
