YY,MM,DD,hh,mm_mn,WD,WSPD,GST,WVHT,DPD,APD,MWD,BAR,ATMP,WTMP,DEWP,VIS,TIDE_ft
1997,1,1,0,,339,11.8,15.0,0.91,3.7,3.47,,1024.5,-11.2,5.6,,,
1997,1,1,1,,337,10.5,13.2,0.83,3.57,3.35,,1025.9,-12.5,5.6,,,
1997,1,1,2,,322,9.1,12.2,0.73,3.57,3.38,,1027.1,-13.0,5.6,,,
1997,1,1,3,,329,11.1,14.1,0.81,3.57,3.31,,1027.0,-13.2,5.6,,,
1997,1,1,4,,321,8.8,11.3,0.64,3.57,3.32,,1027.3,-13.8,5.6,,,
1997,1,1,5,,318,9.3,12.7,0.58,3.57,3.21,,1027.1,-13.9,5.6,,,
1997,1,1,6,,320,11.0,14.6,0.61,3.23,3.14,,1026.6,-13.6,5.6,,,
1997,1,1,7,,318,11.6,14.6,0.7,3.45,3.25,,1026.4,-12.8,5.6,,,
1997,1,1,8,,315,10.8,15.2,0.69,3.33,3.25,,1026.5,-12.5,5.5,,,
1997,1,1,9,,320,10.4,13.5,0.69,3.45,3.23,,1026.6,-12.3,5.6,,,
1997,1,1,10,,308,7.5,9.3,0.48,2.78,2.96,,1027.2,-12.7,5.5,,,
1997,1,1,11,,305,6.4,7.7,0.29,2.78,2.97,,1027.4,-13.2,5.2,,,
1997,1,1,12,,318,8.2,9.7,0.21,2.5,3.11,,1026.9,-11.9,5.2,,,
1997,1,1,13,,293,5.8,7.2,0.27,2.7,2.85,,1028.5,-11.8,4.8,,,
1997,1,1,14,,302,3.5,4.9,0.22,3.03,3.19,,1028.8,-12.7,4.9,,,
1997,1,1,15,,280,4.3,6.3,0.18,2.7,3.26,,1028.8,-11.4,4.7,,,
1997,1,1,16,,309,1.5,3.0,0.18,2.7,3.33,,1027.3,-10.1,4.7,,,
1997,1,1,17,,337,3.9,6.2,0.19,2.5,3.13,,1025.7,-7.7,4.8,,,
1997,1,1,18,,357,1.3,2.4,0.17,2.56,3.63,,1025.2,-7.0,4.8,,,
1997,1,1,19,,284,1.3,3.4,0.19,2.78,3.35,,1024.1,-6.9,4.8,,,
1997,1,1,20,,245,2.7,4.2,0.16,2.56,3.7,,1024.1,-6.9,4.7,,,
1997,1,1,21,,241,2.4,4.5,0.15,10.0,4.73,,1023.5,-6.9,4.8,,,
1997,1,1,22,,245,3.0,4.8,0.16,10.0,5.01,,1023.5,-6.6,4.7,,,
1997,1,1,23,,256,3.4,5.2,0.15,9.09,5.12,,1023.4,-6.3,4.8,,,
1997,1,2,0,,234,4.7,6.6,0.16,9.09,5.78,,1022.7,-5.9,4.8,,,
1997,1,2,1,,218,5.9,8.2,0.26,2.63,3.17,,1021.2,-5.1,5.0,,,
1997,1,2,2,,226,7.8,11.0,0.48,3.03,3.13,,1020.0,-3.9,4.8,,,
1997,1,2,3,,216,7.8,10.1,0.72,3.33,3.31,,1018.3,-3.2,5.1,,,
1997,1,2,4,,228,10.1,12.8,0.81,3.85,3.59,,1018.1,-2.2,5.1,,,
1997,1,2,5,,236,10.0,12.2,0.96,4.35,3.91,,1016.7,-2.6,5.2,,,
1997,1,2,6,,220,11.1,13.5,1.19,4.76,4.16,,1014.9,-1.1,5.2,,,
1997,1,2,7,,248,7.1,8.8,1.19,5.26,4.29,,1014.4,-3.1,5.2,,,
1997,1,2,8,,245,7.7,9.6,1.07,5.0,4.27,,1013.4,-2.7,5.2,,,
1997,1,2,9,,250,7.9,9.6,1.3,5.88,4.48,,1012.1,-2.2,5.2,,,
1997,1,2,10,,241,7.5,9.3,1.26,5.56,4.45,,1011.0,-2.4,5.2,,,
1997,1,2,11,,247,7.5,9.6,1.28,5.88,4.61,,1010.1,-1.9,5.2,,,
1997,1,2,12,,256,7.0,8.4,1.06,5.26,4.33,,1009.3,-1.5,5.2,,,
1997,1,2,13,,248,7.2,8.6,1.05,6.25,4.55,,1008.9,-1.8,5.5,,,
1997,1,2,14,,255,5.8,6.9,1.11,5.88,4.8,,1008.4,-1.9,5.5,,,
1997,1,2,15,,275,5.5,6.9,1.1,5.88,4.73,,1008.5,-2.2,5.5,,,
1997,1,2,16,,312,2.8,4.4,1.15,5.88,4.96,,1007.4,-2.7,5.5,,,
1997,1,2,17,,330,3.2,4.6,0.94,5.88,4.77,,1006.7,-2.6,4.8,,,
1997,1,2,18,,344,3.3,4.8,0.88,5.88,4.74,,1005.5,-2.7,5.0,,,
1997,1,2,19,,353,3.7,5.0,0.72,5.56,4.61,,1005.6,-2.8,5.1,,,
1997,1,2,20,,353,2.5,3.8,0.79,5.26,4.65,,1005.6,-2.6,5.1,,,
1997,1,2,21,,337,2.6,3.8,0.68,5.26,4.6,,1006.2,-2.3,5.1,,,
1997,1,2,22,,358,3.5,5.1,0.61,5.26,4.66,,1006.3,-2.0,5.2,,,
1997,1,2,23,,3,2.6,3.6,0.57,5.56,4.77,,1006.8,-2.0,5.2,,,
1997,1,3,0,,341,2.2,3.6,0.54,5.56,4.82,,1007.0,-1.8,5.1,,,
1997,1,3,1,,32,3.8,5.7,0.5,5.56,4.85,,1006.4,-1.7,5.1,,,
1997,1,3,2,,360,2.9,4.2,0.5,5.26,4.87,,1007.3,-1.5,5.1,,,
1997,1,3,3,,40,2.9,4.3,0.46,5.88,5.06,,1006.9,-1.5,5.1,,,
1997,1,3,4,,60,2.4,3.4,0.42,5.56,4.78,,1006.8,-1.4,4.8,,,
1997,1,3,5,,44,2.3,3.3,0.42,5.56,4.93,,1005.7,-1.1,4.8,,,
1997,1,3,6,,52,3.4,4.3,0.36,5.26,4.74,,1004.9,-0.7,5.1,,,
1997,1,3,7,,95,5.1,6.0,0.35,5.26,4.6,,1005.5,-0.7,4.8,,,
1997,1,3,8,,107,4.7,5.9,0.42,5.26,3.83,,1004.7,-0.4,5.1,,,
1997,1,3,9,,115,5.4,6.6,0.47,5.0,3.78,,1003.5,0.4,5.5,,,
1997,1,3,10,,131,5.0,6.4,0.49,2.94,3.65,,1002.7,0.9,5.5,,,
1997,1,3,11,,150,4.0,5.6,0.5,3.85,3.79,,1002.4,1.9,5.5,,,
1997,1,3,12,,131,2.8,3.9,0.52,3.23,3.82,,1001.9,2.3,5.5,,,
1997,1,3,13,,352,6.9,8.5,0.56,6.67,3.78,,1001.0,-0.3,5.5,,,
1997,1,3,14,,360,8.7,10.1,0.65,2.7,3.6,,1001.2,0.0,5.5,,,
1997,1,3,15,,,,,,,,,,,,,,
1997,1,3,16,,,,,,,,,,,,,,
1997,1,3,17,,360,3.1,3.7,0.85,4.0,3.74,,1001.8,-1.5,5.2,,,
1997,1,3,18,,4,2.7,3.2,0.92,4.17,3.92,,1001.8,-2.1,5.2,,,
1997,1,3,19,,356,2.8,3.4,0.95,4.76,4.03,,1002.4,-2.8,5.5,,,
1997,1,3,20,,356,2.6,3.3,0.9,4.76,4.1,,1003.2,-3.0,5.4,,,
1997,1,3,21,,357,2.2,2.9,0.97,4.76,4.22,,1004.6,-3.1,5.5,,,
1997,1,3,22,,3,2.2,2.7,1.0,5.0,4.39,,1005.0,-3.4,5.5,,,
1997,1,3,23,,5,2.0,2.6,0.96,5.26,4.28,,1006.0,-2.9,5.6,,,
1997,1,4,0,,360,1.7,2.1,0.92,5.26,4.45,,1007.5,-2.9,5.6,,,
1997,1,4,1,,5,1.9,2.3,0.89,5.26,4.54,,1007.8,-2.8,5.6,,,
1997,1,4,2,,5,1.7,2.1,0.82,5.0,4.62,,1008.5,-2.7,5.6,,,
1997,1,4,3,,5,1.7,2.1,0.77,5.0,4.62,,1009.0,-2.4,5.6,,,
1997,1,4,4,,16,1.7,2.1,0.74,5.56,4.7,,1010.0,-2.4,5.6,,,
1997,1,4,5,,24,1.2,1.7,0.72,5.0,4.7,,1010.3,-2.2,5.6,,,
1997,1,4,6,,14,0.7,1.2,0.71,5.26,4.96,,1011.0,-1.9,5.6,,,
1997,1,4,7,,353,0.9,1.3,0.74,4.76,4.8,,1011.7,-1.5,5.5,,,
1997,1,4,8,,347,1.4,2.0,0.75,4.76,4.72,,1012.0,-1.5,5.2,,,
1997,1,4,9,,349,1.7,2.2,0.72,4.76,4.88,,1012.4,-1.6,5.1,,,
1997,1,4,10,,348,1.1,1.6,0.75,5.26,5.06,,1012.9,-1.8,5.1,,,
1997,1,4,11,,334,0.4,0.7,0.69,7.69,5.11,,1014.0,-1.5,5.1,,,
1997,1,4,12,,275,0.7,1.2,0.64,5.26,4.94,,1014.2,-1.5,5.1,,,
1997,1,4,13,,274,0.3,0.7,0.65,5.26,5.03,,1014.8,-1.5,5.1,,,
1997,1,4,14,,352,1.9,2.2,0.61,5.26,4.94,,1014.9,-1.0,5.1,,,
1997,1,4,15,,336,0.4,0.7,0.56,5.0,4.97,,1016.4,-0.4,5.1,,,
1997,1,4,16,,260,1.7,2.6,0.59,5.26,5.19,,1016.8,0.0,5.1,,,
1997,1,4,17,,285,1.2,1.8,0.57,5.26,5.01,,1016.5,0.1,5.1,,,
1997,1,4,18,,304,0.6,1.2,0.54,7.69,5.12,,1016.3,0.8,5.1,,,
1997,1,4,19,,343,0.9,1.4,0.57,7.14,5.31,,1016.2,1.3,5.1,,,
