YY,MM,DD,hh,mm_mn,WD,WSPD,GST,WVHT,DPD,APD,MWD,BAR,ATMP,WTMP,DEWP,VIS,TIDE_ft
89,1,1,0,,300,10.0,12.0,0.5,3.4,3.5,,1017.1,0.1,5.5,,,
89,1,1,1,,340,7.0,9.0,0.4,3.1,3.6,,1019.0,-0.6,5.5,,,
89,1,1,2,,350,10.0,12.0,0.4,3.0,3.6,,1020.3,-1.5,5.5,,,
89,1,1,3,,340,10.0,12.0,0.4,3.2,3.5,,1022.3,-2.6,5.5,,,
89,1,1,4,,360,11.0,13.0,0.5,3.6,3.6,,1022.0,-3.4,5.5,,,
89,1,1,5,,360,10.0,12.0,0.5,3.6,3.6,,1022.3,-4.5,5.5,,,
89,1,1,6,,360,10.0,11.0,0.7,3.8,3.8,,1023.6,-5.3,5.4,,,
89,1,1,7,,10,8.0,10.0,0.5,3.8,3.7,,1024.7,-6.0,5.4,,,
89,1,1,8,,30,7.0,9.0,0.4,3.7,3.7,,1025.4,-6.8,5.4,,,
89,1,1,9,,10,7.0,9.0,0.4,3.3,3.6,,1025.7,-7.4,5.4,,,
89,1,1,10,,360,5.0,8.0,0.4,3.7,3.7,,1026.7,-7.5,5.4,,,
89,1,1,11,,10,5.0,6.0,0.3,3.3,3.7,,1027.7,-7.6,5.4,,,
89,1,1,12,,20,4.0,5.0,0.3,3.0,3.7,,1028.8,-7.6,5.1,,,
89,1,1,13,,10,4.0,5.0,0.2,3.8,4.2,,1028.9,-7.3,5.1,,,
89,1,1,14,,40,4.0,5.0,0.3,3.8,4.5,,1028.8,-7.2,5.1,,,
89,1,1,15,,60,4.0,6.0,0.2,3.6,4.7,,1028.8,-7.0,5.0,,,
89,1,1,16,,40,2.0,4.0,0.2,3.8,4.6,,1028.8,-6.9,5.0,,,
89,1,1,17,,60,2.0,3.0,0.2,3.7,4.4,,1027.4,-6.2,5.0,,,
89,1,1,18,,90,1.0,2.0,0.2,3.4,4.5,,1027.2,-4.6,5.0,,,
89,1,1,19,,0,0.0,2.0,0.2,3.6,4.4,,1027.1,-3.5,5.0,,,
89,1,1,20,,130,1.0,3.0,0.2,7.1,4.6,,1027.2,-2.8,5.0,,,
89,1,1,21,,150,2.0,3.0,0.2,8.3,5.0,,1027.1,-3.4,4.9,,,
89,1,1,22,,120,3.0,5.0,0.2,7.1,5.4,,1026.6,-3.7,5.0,,,
89,1,1,23,,130,4.0,6.0,0.3,7.1,5.5,,1025.8,-3.2,5.0,,,
89,1,2,0,,140,4.0,5.0,0.2,6.2,5.7,,1025.7,-2.5,5.1,,,
89,1,2,1,,140,5.0,7.0,0.3,6.2,5.4,,1025.2,-1.5,5.1,,,
89,1,2,2,,160,5.0,7.0,0.3,5.6,4.9,,1025.1,-0.7,5.0,,,
89,1,2,3,,160,5.0,7.0,0.3,6.2,4.4,,1024.4,-0.6,5.0,,,
89,1,2,4,,150,6.0,8.0,0.3,3.2,4.1,,1023.9,-0.4,5.0,,,
89,1,2,5,,150,7.0,9.0,0.4,3.6,3.8,,1022.7,-0.2,5.0,,,
89,1,2,6,,160,5.0,7.0,0.4,3.6,4.0,,1022.0,0.0,4.8,,,
89,1,2,7,,150,6.0,8.0,0.4,3.4,4.0,,1021.5,0.4,4.8,,,
89,1,2,8,,150,7.0,9.0,0.4,3.4,3.8,,1020.6,0.4,5.0,,,
89,1,2,9,,150,7.0,9.0,0.5,3.6,3.8,,1020.1,0.4,5.0,,,
89,1,2,10,,150,6.0,8.0,0.6,3.8,3.9,,1019.3,0.7,5.1,,,
89,1,2,11,,150,8.0,10.0,0.6,3.8,4.0,,1017.6,1.2,5.0,,,
89,1,2,12,,150,7.0,9.0,0.6,4.0,4.0,,1017.4,1.2,5.1,,,
89,1,2,13,,150,8.0,10.0,0.7,4.0,4.1,,1016.8,1.5,5.0,,,
89,1,2,14,,150,8.0,10.0,0.7,4.5,4.2,,1016.2,1.8,5.1,,,
89,1,2,15,,150,8.0,10.0,0.8,4.5,4.3,,1015.6,2.0,5.1,,,
89,1,2,16,,160,7.0,9.0,0.8,4.5,4.3,,1014.3,2.4,5.1,,,
89,1,2,17,,170,8.0,10.0,0.8,4.5,4.3,,1012.4,2.8,5.0,,,
89,1,2,18,,180,7.0,9.0,0.8,4.5,4.3,,1010.9,3.1,5.0,,,
89,1,2,19,,200,7.0,9.0,0.8,5.0,4.4,,1009.9,3.2,5.0,,,
89,1,2,20,,250,3.0,5.0,0.9,5.0,4.6,,1008.7,3.1,5.0,,,
89,1,2,21,,260,1.0,2.0,0.9,5.3,4.9,,1008.5,3.1,5.0,,,
89,1,2,22,,250,4.0,5.0,0.9,5.9,5.1,,1008.0,2.7,5.0,,,
89,1,2,23,,230,8.0,10.0,1.0,5.9,5.2,,1007.3,3.4,5.0,,,
89,1,3,0,,240,7.0,8.0,1.0,6.2,5.3,,1007.1,2.7,5.0,,,
89,1,3,1,,230,6.0,7.0,1.0,6.2,5.4,,1007.0,2.4,4.9,,,
89,1,3,2,,250,7.0,8.0,0.9,6.7,5.4,,1006.3,1.9,4.8,,,
89,1,3,3,,270,7.0,9.0,1.0,6.7,5.5,,1005.5,1.6,4.7,,,
89,1,3,4,,280,4.0,5.0,1.0,7.1,5.7,,1004.9,1.1,4.7,,,
89,1,3,5,,280,3.0,4.0,1.0,7.1,5.9,,1004.8,0.8,4.7,,,
89,1,3,6,,270,4.0,6.0,1.0,7.1,6.0,,1004.1,1.3,4.7,,,
89,1,3,7,,270,5.0,7.0,1.0,7.1,5.9,,1004.1,1.5,4.7,,,
89,1,3,8,,260,8.0,11.0,1.0,7.7,5.9,,1003.4,1.6,4.7,,,
89,1,3,9,,270,8.0,10.0,1.0,7.7,5.4,,1002.7,1.9,4.7,,,
89,1,3,10,,330,4.0,6.0,1.0,6.7,5.9,,1003.2,1.0,4.7,,,
89,1,3,11,,320,5.0,6.0,1.0,7.1,6.1,,1003.3,0.7,4.7,,,
89,1,3,12,,280,8.0,10.0,0.9,7.7,6.1,,1003.3,0.8,4.9,,,
89,1,3,13,,320,10.0,12.0,0.9,7.1,5.9,,1003.9,0.9,5.0,,,
89,1,3,14,,330,7.0,9.0,0.9,7.7,5.7,,1004.7,0.0,5.0,,,
89,1,3,15,,310,11.0,13.0,0.8,7.7,6.1,,1004.6,0.5,5.1,,,
89,1,3,16,,310,8.0,10.0,0.8,7.7,5.8,,1004.2,1.2,5.1,,,
89,1,3,17,,320,9.0,10.0,1.0,9.1,6.0,,1003.5,0.8,5.0,,,
89,1,3,18,,340,7.0,9.0,0.9,9.1,7.1,,1003.2,1.1,5.0,,,
89,1,3,19,,350,6.0,8.0,1.0,9.1,7.0,,1002.5,0.8,5.0,,,
89,1,3,20,,340,4.0,6.0,1.0,8.3,7.7,,1003.1,0.7,5.0,,,
89,1,3,21,,330,6.0,8.0,1.1,9.1,7.9,,1003.7,-0.2,5.1,,,
89,1,3,22,,360,7.0,9.0,1.1,8.3,7.5,,1003.3,-1.3,5.1,,,
89,1,3,23,,10,8.0,10.0,1.2,9.1,6.8,,1002.9,-2.5,5.1,,,
89,1,4,0,,10,8.0,10.0,1.1,9.1,6.2,,1002.2,-3.5,5.1,,,
89,1,4,1,,10,8.0,10.0,0.9,10.0,6.1,,1002.2,-4.1,5.0,,,
89,1,4,2,,10,8.0,10.0,1.0,9.1,6.2,,1002.1,-4.9,4.9,,,
89,1,4,3,,10,7.0,10.0,1.1,10.0,6.4,,1002.5,-5.5,4.7,,,
89,1,4,4,,360,9.0,10.0,1.0,10.0,6.0,,1002.5,-6.0,4.7,,,
89,1,4,5,,10,10.0,11.0,1.3,10.0,6.2,,1001.6,-6.5,4.7,,,
89,1,4,7,,20,10.0,12.0,1.7,10.0,6.6,,1002.4,-7.8,4.8,,,
89,1,4,8,,30,9.0,11.0,1.7,10.0,6.8,,1002.9,-8.5,4.8,,,
89,1,4,9,,10,12.0,15.0,1.4,10.0,5.6,,1001.8,-9.3,5.0,,,
89,1,4,10,,10,12.0,15.0,1.6,10.0,5.7,,1001.8,-10.3,4.9,,,
89,1,4,11,,350,15.0,18.0,1.5,4.3,4.9,,1002.1,-10.3,5.0,,,
89,1,4,12,,350,14.0,18.0,1.5,4.5,4.8,,1002.9,-11.5,5.0,,,
89,1,4,13,,350,14.0,17.0,1.6,4.5,4.8,,1003.5,-13.0,5.0,,,
89,1,4,14,,350,14.0,18.0,1.5,4.3,4.7,,1004.9,-13.4,5.1,,,
89,1,4,15,,340,14.0,18.0,1.3,10.0,4.8,,1004.7,-13.1,5.1,,,
89,1,4,16,,330,11.0,16.0,1.2,10.0,4.7,,1004.3,-12.7,5.1,,,
89,1,4,17,,350,13.0,16.0,1.3,11.1,4.9,,1003.9,-12.4,5.1,,,
89,1,4,18,,340,15.0,18.0,1.4,10.0,5.0,,1003.3,-11.9,5.1,,,
89,1,4,19,,340,15.0,20.0,1.5,4.5,4.8,,1003.4,-13.0,5.1,,,
89,1,4,20,,330,17.0,22.0,1.5,4.5,4.8,,1003.6,-13.1,5.1,,,
89,1,4,21,,340,17.0,21.0,1.6,5.0,4.7,,1004.3,-13.4,5.1,,,
89,1,4,22,,320,17.0,22.0,1.4,4.5,4.6,,1005.1,-14.8,5.0,,,
89,1,4,23,,330,16.0,21.0,1.4,4.8,4.7,,1005.6,-14.9,5.0,,,
89,1,5,0,,330,17.0,21.0,1.4,4.8,4.6,,1006.7,-15.8,,,,
89,1,5,1,,330,16.0,21.0,1.4,4.8,4.5,,1007.7,-16.3,4.6,,,
89,1,5,2,,330,16.0,21.0,1.3,4.5,4.2,,1007.6,-15.6,4.7,,,
89,1,5,3,,310,15.0,19.0,1.1,4.0,4.2,,1007.2,-15.4,4.7,,,
89,1,5,4,,300,10.0,13.0,1.1,4.3,4.1,,1007.3,-16.0,4.7,,,
89,1,5,5,,310,11.0,16.0,0.7,3.8,4.0,,1006.9,-16.3,4.7,,,
89,1,5,6,,300,11.0,16.0,0.7,3.6,3.9,,1006.3,-16.4,4.7,,,
89,1,5,7,,310,12.0,15.0,0.8,4.0,4.1,,1006.3,-15.6,4.7,,,
89,1,5,8,,310,13.0,16.0,1.0,4.2,4.0,,1005.7,-15.5,4.7,,,
89,1,5,9,,320,16.0,21.0,0.9,4.3,4.1,,1005.5,-14.5,4.6,,,
89,1,5,10,,310,15.0,17.0,1.0,4.8,4.2,,1005.6,-14.2,4.4,,,
89,1,5,11,,320,12.0,16.0,0.9,4.3,4.0,,1006.7,-13.6,4.3,,,
89,1,5,12,,300,12.0,15.0,0.9,4.3,4.0,,1007.2,-13.8,4.3,,,
89,1,5,13,,310,10.0,13.0,0.9,3.8,3.9,,1007.8,-13.9,4.4,,,
89,1,5,14,,290,13.0,16.0,0.9,4.0,4.0,,1008.0,-12.6,4.4,,,
