YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
95 01 01 00 215 08.4 11.6 01.10 04.80 04.00 999 1021.2  04.7  06.3 999.0 99.0
95 01 01 01 214 08.5 12.2 01.20 05.00 04.10 999 1020.5  04.7  06.4 999.0 99.0
95 01 01 02 228 08.0 12.3 01.40 05.30 04.40 999 1020.3  04.3  06.4 999.0 99.0
95 01 01 03 237 08.3 11.2 01.40 05.90 04.50 999 1019.0  03.3  06.4 999.0 99.0
95 01 01 04 237 06.4 09.6 01.30 05.60 04.50 999 1018.9  02.9  06.6 999.0 99.0
95 01 01 05 234 07.3 10.7 01.30 05.90 04.60 999 1018.3  03.2  06.4 999.0 99.0
95 01 01 06 230 06.9 08.7 01.30 06.20 04.80 999 1018.2  02.8  06.4 999.0 99.0
95 01 01 07 236 05.6 07.4 01.30 06.20 04.90 999 1018.2  02.4  06.4 999.0 99.0
95 01 01 08 231 05.0 07.2 01.20 06.20 04.60 999 1016.8  01.9  06.4 999.0 99.0
95 01 01 09 240 04.5 05.9 01.00 05.90 04.70 999 1016.6  01.5  06.3 999.0 99.0
95 01 01 10 260 03.1 04.0 00.90 05.60 04.60 999 1015.9  01.3  06.3 999.0 99.0
95 01 01 11 298 01.5 02.6 00.90 06.20 04.80 999 1015.6  01.3  06.3 999.0 99.0
95 01 01 12 003 01.9 03.0 00.80 05.90 04.70 999 1014.5  00.9  06.2 999.0 99.0
95 01 01 13 023 03.3 05.9 00.70 05.30 04.60 999 1013.8  01.3  06.3 999.0 99.0
95 01 01 14 036 04.3 06.6 00.60 05.60 04.50 999 1013.1  01.3  05.9 999.0 99.0
95 01 01 15 037 05.9 07.9 00.60 05.00 04.00 999 1011.8  01.7  05.9 999.0 99.0
95 01 01 16 026 05.9 08.5 00.70 03.20 03.60 999 1009.6  01.7  06.2 999.0 99.0
95 01 01 17 017 06.3 08.6 00.70 03.70 03.70 999 1007.2  01.6  06.3 999.0 99.0
95 01 01 18 004 06.2 09.5 00.80 04.00 03.70 999 1005.2  01.2  06.3 999.0 99.0
95 01 01 19 357 06.4 09.5 00.80 04.00 03.60 999 1004.9  01.0  06.3 999.0 99.0
95 01 01 20 346 06.0 09.0 00.80 04.30 03.80 999 1005.0  01.2  06.3 999.0 99.0
95 01 01 21 349 06.2 08.6 00.80 04.50 04.00 999 1005.0  00.9  06.6 999.0 99.0
95 01 01 22 339 05.1 07.3 00.80 04.50 03.80 999 1005.6  00.8  06.4 999.0 99.0
95 01 01 23 325 04.8 07.5 00.80 05.00 04.10 999 1006.5  00.5  06.2 999.0 99.0
95 01 02 00 327 04.8 07.0 00.80 05.30 04.30 999 1007.2  00.4  06.3 999.0 99.0
