YY,MM,DD,hh,mm_mn,WD,WSPD,GST,WVHT,DPD,APD,MWD,BAR,ATMP,WTMP,DEWP,VIS,TIDE_ft
94,1,1,0,,264,10.6,12.6,1.0,6.2,4.7,,1020.9,-1.6,4.9,,,
94,1,1,1,,267,11.1,13.4,1.0,5.9,4.6,,1021.2,-1.7,4.8,,,
94,1,1,2,,257,10.4,13.0,1.1,5.6,4.5,,1021.9,-2.0,5.2,,,
94,1,1,3,,264,10.3,12.2,1.2,6.2,4.7,,1022.3,-2.5,4.8,,,
94,1,1,4,,260,12.0,14.3,1.3,5.9,4.8,,1022.7,-2.3,4.7,,,
94,1,1,5,,264,11.9,14.6,1.2,5.6,4.6,,1023.3,-2.5,4.7,,,
94,1,1,6,,269,10.3,12.0,1.1,5.6,4.5,,1023.5,-2.4,5.1,,,
94,1,1,7,,284,10.7,12.8,1.0,5.6,4.5,,1024.1,-2.2,4.9,,,
94,1,1,8,,281,8.1,9.3,1.0,5.6,4.6,,1024.3,-2.0,4.8,,,
94,1,1,9,,291,5.5,6.8,1.0,5.9,4.6,,1025.2,-2.1,4.9,,,
94,1,1,10,,259,5.0,6.3,0.8,5.6,4.6,,1025.2,-1.8,4.8,,,
94,1,1,11,,248,7.6,9.3,0.8,5.0,4.3,,1025.7,-1.7,4.8,,,
94,1,1,12,,249,8.7,10.9,0.8,4.3,4.1,,1026.5,-2.0,5.1,,,
94,1,1,13,,249,9.9,12.0,1.0,4.5,4.3,,1025.9,-1.9,5.1,,,
94,1,1,14,,250,8.3,9.7,1.0,5.3,4.3,,1025.9,-1.1,5.1,,,
94,1,1,15,,245,8.5,10.1,0.9,4.8,4.2,,1025.7,-1.0,5.1,,,
94,1,1,16,,237,8.2,10.4,0.8,4.8,4.0,,1024.3,0.0,5.3,,,
94,1,1,17,,216,9.7,12.0,,,,,1022.7,1.2,5.5,,,
94,1,1,18,,221,10.5,12.9,1.0,4.5,4.2,,1021.2,1.2,5.2,,,
94,1,1,19,,224,10.6,13.3,1.1,5.3,4.4,,1020.5,1.1,5.4,,,
94,1,1,20,,222,10.9,13.6,,,,,1019.6,1.6,5.2,,,
94,1,1,21,,218,9.0,11.0,1.3,5.6,4.8,,1019.4,2.2,5.2,,,
94,1,1,22,,212,11.0,13.4,1.4,5.9,4.9,,1018.4,3.6,5.1,,,
94,1,1,23,,220,13.7,17.0,1.7,6.2,4.9,,1018.0,4.4,5.4,,,
94,1,2,0,,218,14.4,18.1,2.0,6.7,5.2,,1017.1,4.7,5.5,,,
94,1,2,1,,208,15.7,19.3,2.3,6.7,5.4,,1014.9,5.1,5.5,,,
94,1,2,2,,206,16.0,21.0,2.1,6.2,5.1,,1013.4,5.5,5.6,,,
94,1,2,3,,211,13.7,17.3,2.6,7.1,5.4,,1012.5,5.6,5.5,,,
94,1,2,4,,218,15.0,20.3,2.5,7.1,5.4,,1010.9,5.6,5.5,,,
94,1,2,5,,225,14.6,17.8,2.3,6.7,5.3,,1010.1,5.4,5.3,,,
94,1,2,6,,234,13.6,18.1,2.2,7.1,5.3,,1010.0,5.1,5.3,,,
94,1,2,7,,242,12.2,15.1,2.2,7.1,5.4,,1010.5,4.7,5.4,,,
94,1,2,8,,239,11.6,14.9,1.8,7.1,5.4,,1010.2,4.5,5.5,,,
94,1,2,9,,236,11.4,14.2,1.6,7.1,5.1,,1009.6,4.3,5.5,,,
94,1,2,10,,240,9.6,11.9,1.6,6.7,5.0,,1009.3,4.0,5.5,,,
94,1,2,11,,237,8.7,10.8,1.5,6.7,5.2,,1009.5,4.1,5.5,,,
94,1,2,12,,235,9.0,11.3,1.3,6.7,5.0,,1010.6,3.9,5.4,,,
94,1,2,13,,242,9.8,12.0,1.4,7.7,5.0,,1011.0,3.6,5.4,,,
94,1,2,14,,240,9.6,11.6,1.4,7.1,4.8,,1011.8,3.4,5.5,,,
94,1,2,15,,243,9.0,10.8,1.3,5.9,4.6,,1012.1,3.3,5.5,,,
94,1,2,16,,249,7.8,8.9,1.2,6.7,4.7,,1011.2,3.4,5.4,,,
94,1,2,17,,260,6.9,8.4,1.1,6.7,4.7,,1011.0,4.3,5.4,,,
94,1,2,18,,257,4.5,5.3,1.1,5.6,4.8,,1010.1,5.6,5.5,,,
94,1,2,19,,268,3.8,4.7,0.9,6.2,4.8,,1011.0,6.1,5.5,,,
94,1,2,20,,299,3.5,4.3,0.8,5.3,4.8,,1011.8,6.4,5.5,,,
94,1,2,21,,357,7.1,9.6,0.6,5.6,4.9,,1013.1,6.1,5.6,,,
94,1,2,22,,350,5.9,7.1,0.6,6.2,5.1,,1014.3,5.3,5.6,,,
94,1,2,23,,6,8.9,11.4,0.5,5.9,5.1,,1016.0,4.0,5.6,,,
