YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
91 01 01 00 342 06.9 08.6 00.70 09.10 04.80 999 1029.5 -06.3  05.9 999.0 99.0
91 01 01 01 349 07.7 10.5 00.70 09.10 05.80 999 1030.8 -07.0  05.8 999.0 99.0
91 01 01 02 355 06.9 09.1 00.60 11.10 05.30 999 1031.3 -07.4  05.6 999.0 99.0
91 01 01 03 349 06.4 08.2 00.60 12.50 05.30 999 1032.2 -07.6  05.6 999.0 99.0
91 01 01 04 349 06.0 08.1 00.50 11.10 05.40 999 1032.4 -07.8  05.6 999.0 99.0
91 01 01 05 350 05.3 07.4 00.60 11.10 05.50 999 1033.0 -08.2  05.6 999.0 99.0
91 01 01 06 345 04.9 07.2 00.60 10.00 05.30 999 1033.7 -08.1  05.5 999.0 99.0
91 01 01 07 356 05.0 06.6 00.60 11.10 06.00 999 1034.5 -08.2  05.5 999.0 99.0
91 01 01 08 007 04.9 06.3 00.60 10.00 06.20 999 1035.4 -08.6  05.6 999.0 99.0
91 01 01 09 360 03.1 04.8 00.60 10.00 06.00 999 1035.4 -08.8  05.6 999.0 99.0
91 01 01 10 356 02.0 03.6 00.60 11.10 07.00 999 1035.8 -08.8  05.6 999.0 99.0
91 01 01 11 999 99.0 99.0 00.50 10.00 07.00 999 1036.9 -08.8  05.5 999.0 99.0
91 01 01 12 027 01.8 03.7 00.60 09.10 07.60 999 1037.1 -08.8  05.5 999.0 99.0
91 01 01 13 023 00.9 02.2 00.50 10.00 07.20 999 1037.3 -08.0  05.5 999.0 99.0
91 01 01 14 029 00.6 01.0 00.50 10.00 07.20 999 1037.9 -05.5  05.5 999.0 99.0
91 01 01 15 145 01.6 02.6 00.40 09.10 06.80 999 1038.5 -05.5  05.5 999.0 99.0
91 01 01 16 271 03.0 04.0 00.40 10.00 06.50 999 1037.8 -04.9  05.5 999.0 99.0
91 01 01 17 233 02.6 04.3 00.40 11.10 07.10 999 1037.1 -05.5  05.5 999.0 99.0
91 01 01 18 215 02.9 05.1 00.40 10.00 07.40 999 1036.2 -04.5  05.5 999.0 99.0
91 01 01 19 261 02.3 03.3 00.40 10.00 07.50 999 1036.0 -04.3  05.6 999.0 99.0
91 01 01 20 249 01.5 02.6 00.40 10.00 08.00 999 1036.1 -03.9  05.5 999.0 99.0
91 01 01 21 188 02.0 03.8 00.40 10.00 08.00 999 1035.6 -04.2  05.5 999.0 99.0
91 01 01 22 198 05.4 07.1 00.40 11.10 07.90 999 1035.6 -03.1  05.5 999.0 99.0
91 01 01 23 211 06.1 07.8 00.40 09.10 07.00 999 1035.5 -02.3  05.6 999.0 99.0
91 01 02 00 221 08.3 10.6 00.40 10.00 04.70 999 1035.0 -01.5  05.6 999.0 99.0
91 01 02 01 211 07.4 09.2 00.60 03.60 04.00 999 1034.4 -01.1  05.6 999.0 99.0
91 01 02 02 201 08.3 10.8 00.70 03.80 04.00 999 1033.2 -00.4  05.6 999.0 99.0
91 01 02 03 195 10.0 12.5 00.80 04.20 04.00 999 1031.5  00.0  05.5 999.0 99.0
91 01 02 04 216 10.4 13.3 01.00 04.50 04.20 999 1031.4  00.4  05.6 999.0 99.0
91 01 02 05 221 10.7 13.4 01.30 05.00 04.50 999 1031.1  00.1  05.6 999.0 99.0
91 01 02 06 227 10.7 13.5 01.30 05.30 04.60 999 1029.9  00.1  05.6 999.0 99.0
91 01 02 07 233 14.0 17.6 01.40 05.60 04.80 999 1029.2  00.5  05.6 999.0 99.0
91 01 02 08 221 13.8 18.0 01.50 05.60 04.80 999 1028.4  01.2  05.8 999.0 99.0
91 01 02 09 221 12.8 15.6 01.60 05.90 04.90 999 1027.4  02.0  05.9 999.0 99.0
91 01 02 10 223 13.6 17.0 01.60 05.90 05.00 999 1026.3  02.7  05.8 999.0 99.0
91 01 02 11 239 14.2 17.7 01.70 05.90 04.90 999 1026.0  02.8  05.9 999.0 99.0
91 01 02 12 234 14.3 17.5 01.60 05.90 04.80 999 1025.2  02.6  05.9 999.0 99.0
91 01 02 13 240 12.3 15.2 01.70 06.20 04.90 999 1025.5  02.4  05.9 999.0 99.0
91 01 02 14 244 10.8 13.4 01.70 06.20 05.00 999 1025.3  02.1  05.8 999.0 99.0
91 01 02 15 241 10.1 12.2 01.50 06.20 05.00 999 1025.0  02.0  05.9 999.0 99.0
91 01 02 16 237 09.1 10.6 01.30 06.70 04.90 999 1024.6  02.4  05.8 999.0 99.0
91 01 02 17 233 08.6 09.8 01.20 06.20 04.80 999 1023.5  03.2  05.6 999.0 99.0
91 01 02 18 232 07.4 09.0 01.00 06.20 04.70 999 1023.0  03.9  05.7 999.0 99.0
91 01 02 19 227 05.9 07.1 00.90 05.90 04.90 999 1022.2  04.4  05.6 999.0 99.0
91 01 02 20 228 05.6 06.7 00.80 05.60 04.70 999 1022.6  04.7  05.6 999.0 99.0
91 01 02 21 273 02.9 03.9 00.70 05.30 04.80 999 1023.1  05.1  05.6 999.0 99.0
91 01 02 22 004 02.3 03.0 00.70 05.30 04.80 999 1023.2  05.1  05.6 999.0 99.0
91 01 02 23 337 03.7 05.0 00.70 04.80 04.90 999 1023.6  04.4  05.6 999.0 99.0
91 01 03 00 034 04.5 05.5 00.60 05.00 04.80 999 1023.7  03.6  05.7 999.0 99.0
91 01 03 01 058 04.5 05.3 00.50 04.80 04.80 999 1023.5  03.2  05.9 999.0 99.0
91 01 03 02 026 04.8 05.6 00.40 04.30 04.70 999 1022.9  03.2  05.9 999.0 99.0
91 01 03 03 046 03.8 04.7 00.40 07.70 04.90 999 1022.8  02.8  05.8 999.0 99.0
91 01 03 04 058 04.0 05.4 00.40 08.30 05.10 999 1022.8  02.8  05.7 999.0 99.0
91 01 03 05 032 05.0 06.0 00.40 10.00 05.30 999 1022.1  02.7  05.6 999.0 99.0
91 01 03 06 035 07.6 09.2 00.40 07.70 04.10 999 1022.0  02.4  05.6 999.0 99.0
91 01 03 07 047 06.9 08.2 00.50 06.20 04.00 999 1022.2  01.7  05.6 999.0 99.0
91 01 03 08 060 07.1 09.0 00.50 06.20 04.30 999 1022.1  01.3  05.6 999.0 99.0
91 01 03 09 064 05.1 06.5 00.60 06.20 04.70 999 1022.6  01.6  05.6 999.0 99.0
91 01 03 10 051 06.5 08.2 00.50 06.70 04.70 999 1022.9  01.2  05.6 999.0 99.0
91 01 03 11 033 07.0 08.9 00.60 10.00 04.60 999 1023.0  00.1  05.5 999.0 99.0
91 01 03 12 032 07.1 08.9 00.60 03.80 04.20 999 1023.7 -01.2  05.6 999.0 99.0
91 01 03 13 029 07.9 09.6 00.70 04.20 04.30 999 1024.5 -01.9  05.5 999.0 99.0
91 01 03 14 022 09.4 11.2 00.80 04.20 04.20 999 1025.0 -02.6  05.5 999.0 99.0
91 01 03 15 035 06.8 08.3 00.80 04.00 04.20 999 1025.9 -03.0  05.5 999.0 99.0
91 01 03 16 022 06.5 08.5 00.70 04.30 04.20 999 1025.6 -03.1  05.5 999.0 99.0
91 01 03 17 012 05.3 07.1 00.70 06.20 04.30 999 1025.3 -03.1  05.5 999.0 99.0
91 01 03 18 006 04.2 05.9 00.70 05.90 04.50 999 1025.1 -03.4  05.5 999.0 99.0
91 01 03 19 028 03.3 05.3 00.60 05.00 04.60 999 1025.1 -02.0  05.5 999.0 99.0
91 01 03 20 024 01.4 02.9 00.60 06.20 05.00 999 1025.1 -01.1  05.5 999.0 99.0
91 01 03 21 031 02.4 03.7 00.70 05.00 05.30 999 1025.4 -01.9  05.5 999.0 99.0
91 01 03 22 027 00.3 01.1 00.60 05.60 05.20 999 1026.2 -02.7  05.5 999.0 99.0
91 01 03 23 090 00.7 01.6 00.60 08.30 05.60 999 1026.4 -02.3  05.5 999.0 99.0
91 01 04 00 345 01.5 02.4 00.60 09.10 06.00 999 1026.7 -02.0  05.5 999.0 99.0
91 01 04 01 306 06.9 08.7 00.60 07.70 06.10 999 1027.0 -02.2  05.5 999.0 99.0
