#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 01 03 01 50 317 12.3 15.1  1.39 10.00  5.09  94  986.8  -2.9   5.3 999.0 99.0 99.00
2010 01 03 02 50 316 13.3 16.3  1.35 10.00  4.56  77  984.9  -2.8   5.3 999.0 99.0 99.00
2010 01 03 03 50 308 12.9 16.8  1.25 10.81  4.58  88  983.1  -3.5   5.3 999.0 99.0 99.00
2010 01 03 04 50 305 13.0 17.2  1.24 10.00  4.10 105  981.6  -3.8   5.4 999.0 99.0 99.00
2010 01 03 05 50 306 13.4 16.8  1.26 10.81  4.07 106  980.3  -3.9   5.4 999.0 99.0 99.00
2010 01 03 06 50 307 13.6 16.6  1.18 10.00  4.04  82  979.7  -3.5   5.4 999.0 99.0 99.00
2010 01 03 07 50 310 14.0 18.1  1.09  3.57  3.67 307  979.3  -3.5   5.3 999.0 99.0 99.00
2010 01 03 08 50 309 13.7 17.7  1.11 10.00  3.73  58  979.2  -3.8   5.3 999.0 99.0 99.00
2010 01 03 09 50 314 12.6 16.7  1.02 10.00  3.57  76  979.4  -4.0   5.2 999.0 99.0 99.00
2010 01 03 10 50 322 13.1 15.9  0.94 10.00  3.69  72  979.8  -3.5   5.1 999.0 99.0 99.00
2010 01 03 11 50 329 11.3 14.3  1.05 10.81  4.05 333  980.6  -2.7   5.0 999.0 99.0 99.00
2010 01 03 12 50 335 10.5 12.2  1.15 13.79  4.63 302  981.4  -1.4   5.0 999.0 99.0 99.00
2010 01 03 13 50 343 11.2 12.9  1.18 12.90  4.83  83  982.3   0.1   5.0 999.0 99.0 99.00
2010 01 03 14 50 354 10.5 12.3  1.17 12.90  4.74  59  983.5   0.8   5.1 999.0 99.0 99.00
2010 01 03 15 50  13 11.8 13.7  1.09 12.12  4.36  99  983.6   2.6   5.1 999.0 99.0 99.00
2010 01 03 16 50 342  8.9 10.4  1.30 12.90  4.36  85  983.8   1.3   5.2 999.0 99.0 99.00
2010 01 03 17 50 339 10.0 11.7  1.27 12.12  4.68  79  984.3   0.9   5.4 999.0 99.0 99.00
2010 01 03 18 50 336  9.2 10.9  1.21 11.43  4.72  65  985.1   0.9   5.5 999.0 99.0 99.00
2010 01 03 19 50 349  9.1 10.9  1.27 11.43  5.19  73  986.1   2.4   5.5 999.0 99.0 99.00
2010 01 03 20 50 332  9.1 10.5  1.28 11.43  4.98  73  987.0   1.3   5.5 999.0 99.0 99.00
2010 01 03 21 50 333 10.0 12.3  1.34 11.43  5.50  72  987.8   1.6   5.5 999.0 99.0 99.00
2010 01 03 22 50 333  9.4 11.4  1.48 10.81  5.89  57  988.8   1.8   5.5 999.0 99.0 99.00
2010 01 03 23 50 343 10.7 13.0  1.35 10.81  5.44  82  989.5   2.2   5.5 999.0 99.0 99.00
2010 01 04 00 50 341  9.7 12.2  1.41 12.12  5.42 106  989.9   2.7   5.5 999.0 99.0 99.00
2010 01 04 01 50 323  8.9 10.7  1.39 12.90  6.15 111  990.1   1.8   5.5 999.0 99.0 99.00
2010 01 04 02 50 325  9.1 11.5  1.25 11.43  5.61 102  990.4   1.9   5.5 999.0 99.0 99.00
