YY,MM,DD,hh,mm_mn,WD,WSPD,GST,WVHT,DPD,APD,MWD,BAR,ATMP,WTMP,DEWP,VIS,TIDE_ft
88,1,1,1,,220,12.0,14.0,1.9,6.7,5.4,,1018.0,2.0,4.6,,,
88,1,1,2,,220,12.0,14.0,2.0,6.7,5.6,,1017.7,2.3,4.7,,,
88,1,1,3,,220,10.0,12.0,1.8,6.7,5.4,,1017.5,2.4,4.7,,,
88,1,1,4,,220,10.0,12.0,1.5,6.7,5.1,,1017.1,2.7,4.7,,,
88,1,1,5,,220,10.0,11.0,1.6,6.7,5.3,,1016.4,2.8,4.7,,,
88,1,1,6,,210,10.0,12.0,1.2,6.2,5.0,,1015.8,3.1,4.7,,,
88,1,1,7,,220,9.0,11.0,1.5,6.2,5.2,,1015.9,3.4,4.8,,,
88,1,1,8,,210,10.0,12.0,1.5,6.7,5.2,,1015.6,3.6,4.7,,,
88,1,1,9,,210,11.0,13.0,1.4,5.9,5.1,,1015.4,3.9,4.7,,,
88,1,1,10,,220,9.0,11.0,1.5,6.2,5.1,,1015.4,3.9,4.7,,,
88,1,1,11,,220,9.0,10.0,1.5,5.9,5.2,,1015.7,3.9,4.7,,,
88,1,1,12,,210,8.0,9.0,1.4,6.2,5.3,,1015.7,3.9,4.6,,,
88,1,1,13,,210,8.0,10.0,1.3,5.9,5.2,,1015.5,4.0,4.6,,,
88,1,1,14,,210,7.0,8.0,1.3,5.9,5.2,,1016.0,4.2,4.6,,,
88,1,1,15,,220,6.0,7.0,1.1,5.9,5.1,,1016.3,4.3,4.6,,,
88,1,1,16,,220,5.0,6.0,1.0,6.2,5.1,,1016.3,4.6,4.4,,,
88,1,1,17,,210,7.0,8.0,0.9,5.9,5.2,,1015.0,4.7,4.3,,,
88,1,1,18,,210,7.0,8.0,1.0,5.6,5.2,,1014.8,5.1,4.4,,,
88,1,1,19,,200,6.0,8.0,1.0,5.6,5.2,,1014.7,5.4,4.3,,,
88,1,1,20,,200,7.0,8.0,1.1,5.3,5.2,,1014.8,5.8,4.3,,,
